"site","plot","species","event","temptype","tbase","gdd.est","gdd.est.se","modaic","X","temptreat","preciptreat"
"bace","1","Quercus.rubra","lod","soilgdd","0","939.76","122.265","1274.453",1,"0","-1"
"bace","1","Acer.rubrum","lod","soilgdd","2","725.132","79.264","1129.846",1,"0","-1"
"bace","1","Quercus.rubra","lod","soilgdd","8","151.25","68.057","1166.656",1,"0","-1"
"bace","1","Acer.rubrum","lod","soilgdd","8","150.151","49.362","1047.44",1,"0","-1"
"bace","1","Quercus.rubra","lod","soilgdd","4","543.395","97.945","1233.643",1,"0","-1"
"bace","1","Betula.lenta","lod","soilgdd","6","294.951","64.433","824.477",1,"0","-1"
"bace","1","Betula.lenta","lod","soilgdd","10","27603.014","5906.959","1402.815",1,"0","-1"
"bace","1","Betula.lenta","lod","soilgdd","2","636.182","81.987","855.317",1,"0","-1"
"bace","1","Acer.rubrum","lod","soilgdd","0","935.558","87.911","1147.862",1,"0","-1"
"bace","1","Acer.rubrum","lod","soilgdd","4","540.527","70.643","1109.811",1,"0","-1"
"bace","1","Quercus.rubra","lod","soilgdd","10","33594.528","7796.524","2039.017",1,"0","-1"
"bace","1","Betula.lenta","lod","soilgdd","8","113.293","53","799.475",1,"0","-1"
"bace","1","Acer.rubrum","lod","soilgdd","10","32899.054","5294.604","1860.935",1,"0","-1"
"bace","1","Quercus.rubra","lod","soilgdd","6","362.436","85.581","1208.814",1,"0","-1"
"bace","1","Betula.lenta","lod","soilgdd","4","463.41","73.231","840.86",1,"0","-1"
"bace","1","Acer.rubrum","lod","soilgdd","6","360.234","61.734","1086.355",1,"0","-1"
"bace","1","Betula.lenta","lod","soilgdd","0","834.775","90.749","868.313",1,"0","-1"
"bace","1","Quercus.rubra","lod","soilgdd","2","728.668","110.095","1255.16",1,"0","-1"
"bace","10","Quercus.rubra","lod","soilgdd","4","531.086","84.822","1233.643",2,"2","1"
"bace","10","Acer.rubrum","lod","soilgdd","2","778.715","97.078","1129.846",2,"2","1"
"bace","10","Betula.lenta","lod","soilgdd","10","29995.347","6820.768","1402.815",2,"2","1"
"bace","10","Acer.rubrum","lod","soilgdd","10","35350.778","6484.539","1860.935",2,"2","1"
"bace","10","Quercus.rubra","lod","soilgdd","6","355.977","74.115","1208.814",2,"2","1"
"bace","10","Quercus.rubra","lod","soilgdd","10","31754.636","6751.988","2039.017",2,"2","1"
"bace","10","Acer.rubrum","lod","soilgdd","6","396.249","75.608","1086.355",2,"2","1"
"bace","10","Betula.lenta","lod","soilgdd","8","155.003","61.2","799.475",2,"2","1"
"bace","10","Acer.rubrum","lod","soilgdd","8","211.502","60.456","1047.44",2,"2","1"
"bace","10","Quercus.rubra","lod","soilgdd","2","721.975","95.345","1255.16",2,"2","1"
"bace","10","Quercus.rubra","lod","soilgdd","8","192.004","58.939","1166.656",2,"2","1"
"bace","10","Quercus.rubra","lod","soilgdd","0","932.161","105.885","1274.453",2,"2","1"
"bace","10","Betula.lenta","lod","soilgdd","2","678.104","94.671","855.317",2,"2","1"
"bace","10","Betula.lenta","lod","soilgdd","4","490.715","84.56","840.86",2,"2","1"
"bace","10","Acer.rubrum","lod","soilgdd","0","996.401","107.668","1147.862",2,"2","1"
"bace","10","Betula.lenta","lod","soilgdd","6","317.638","74.401","824.477",2,"2","1"
"bace","10","Betula.lenta","lod","soilgdd","0","884.79","104.788","868.313",2,"2","1"
"bace","10","Acer.rubrum","lod","soilgdd","4","580.326","86.519","1109.811",2,"2","1"
"bace","11","Acer.rubrum","lod","soilgdd","2","651.988","79.264","1129.846",3,"1","1"
"bace","11","Quercus.rubra","lod","soilgdd","10","37810.638","6751.988","2039.017",3,"1","1"
"bace","11","Acer.rubrum","lod","soilgdd","10","30603.405","5294.604","1860.935",3,"1","1"
"bace","11","Quercus.rubra","lod","soilgdd","4","569.757","84.822","1233.643",3,"1","1"
"bace","11","Betula.lenta","lod","soilgdd","10","31317.78","5906.959","1402.815",3,"1","1"
"bace","11","Acer.rubrum","lod","soilgdd","6","302.077","61.734","1086.355",3,"1","1"
"bace","11","Quercus.rubra","lod","soilgdd","6","379.711","74.115","1208.814",3,"1","1"
"bace","11","Betula.lenta","lod","soilgdd","2","665.101","81.987","855.317",3,"1","1"
"bace","11","Quercus.rubra","lod","soilgdd","2","757.622","95.345","1255.16",3,"1","1"
"bace","11","Acer.rubrum","lod","soilgdd","4","478.123","70.643","1109.811",3,"1","1"
"bace","11","Quercus.rubra","lod","soilgdd","0","992.3","105.885","1274.453",3,"1","1"
"bace","11","Quercus.rubra","lod","soilgdd","8","155.749","58.939","1166.656",3,"1","1"
"bace","11","Betula.lenta","lod","soilgdd","8","118.468","53","799.475",3,"1","1"
"bace","11","Betula.lenta","lod","soilgdd","0","887.28","90.749","868.313",3,"1","1"
"bace","11","Betula.lenta","lod","soilgdd","4","489.736","73.231","840.86",3,"1","1"
"bace","11","Acer.rubrum","lod","soilgdd","0","872.667","87.911","1147.862",3,"1","1"
"bace","11","Acer.rubrum","lod","soilgdd","8","109.855","49.362","1047.44",3,"1","1"
"bace","11","Betula.lenta","lod","soilgdd","6","312.19","64.433","824.477",3,"1","1"
"bace","12","Acer.rubrum","lod","soilgdd","10","20997.648","4585.262","1860.935",4,"0","1"
"bace","12","Acer.rubrum","lod","soilgdd","6","214.57","53.463","1086.355",4,"0","1"
"bace","12","Quercus.rubra","lod","soilgdd","4","421.593","84.822","1233.643",4,"0","1"
"bace","12","Betula.lenta","lod","soilgdd","8","56.153","61.2","799.475",4,"0","1"
"bace","12","Betula.lenta","lod","soilgdd","10","19245.937","6820.768","1402.815",4,"0","1"
"bace","12","Acer.rubrum","lod","soilgdd","2","566.824","68.644","1129.846",4,"0","1"
"bace","12","Quercus.rubra","lod","soilgdd","6","220.331","74.115","1208.814",4,"0","1"
"bace","12","Quercus.rubra","lod","soilgdd","0","742.546","105.885","1274.453",4,"0","1"
"bace","12","Betula.lenta","lod","soilgdd","6","181.511","74.401","824.477",4,"0","1"
"bace","12","Acer.rubrum","lod","soilgdd","4","406.691","61.178","1109.811",4,"0","1"
"bace","12","Quercus.rubra","lod","soilgdd","10","22259.558","6751.988","2039.017",4,"0","1"
"bace","12","Quercus.rubra","lod","soilgdd","8","77.093","58.939","1166.656",4,"0","1"
"bace","12","Betula.lenta","lod","soilgdd","0","682.864","104.788","868.313",4,"0","1"
"bace","12","Betula.lenta","lod","soilgdd","2","532.543","94.671","855.317",4,"0","1"
"bace","12","Quercus.rubra","lod","soilgdd","2","585.226","95.345","1255.16",4,"0","1"
"bace","12","Acer.rubrum","lod","soilgdd","8","79.408","42.749","1047.44",4,"0","1"
"bace","12","Betula.lenta","lod","soilgdd","4","375.91","84.56","840.86",4,"0","1"
"bace","12","Acer.rubrum","lod","soilgdd","0","720.644","76.133","1147.862",4,"0","1"
"bace","13","Acer.rubrum","lod","soilgdd","6","432.432","61.734","1086.355",5,"3","0"
"bace","13","Quercus.rubra","lod","soilgdd","6","332.773","104.814","1208.814",5,"3","0"
"bace","13","Quercus.rubra","lod","soilgdd","0","911.003","149.744","1274.453",5,"3","0"
"bace","13","Acer.rubrum","lod","soilgdd","4","633.349","70.643","1109.811",5,"3","0"
"bace","13","Acer.rubrum","lod","soilgdd","2","839.343","79.264","1129.846",5,"3","0"
"bace","13","Acer.rubrum","lod","soilgdd","10","38024.603","5294.604","1860.935",5,"3","0"
