,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1949,28.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0
1950,24.0,27.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.0
1951,29.0,24.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0
1952,28.0,25.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,29.0
1953,29.0,24.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,31.0
1954,30.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,30.0
1955,31.0,27.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,30.0
1956,30.0,27.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,26.0
1957,31.0,24.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,26.0
1958,31.0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,30.0
1959,31.0,28.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0
1960,30.0,28.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0
1961,30.0,24.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,30.0
1962,31.0,27.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,27.0
1963,31.0,28.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0
1964,29.0,29.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,28.0
1965,27.0,26.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
1966,31.0,27.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0
1967,30.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,26.0
1968,31.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,29.0
1969,30.0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,31.0
1970,31.0,27.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,25.0
1971,31.0,27.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0
1972,30.0,27.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,30.0
1973,29.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,27.0
1974,28.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,30.0
1975,30.0,28.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,30.0
1976,31.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,31.0
1977,31.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,29.0
1978,31.0,28.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,29.0
