,TMEANcold,TMEANwarm,PRECamjjas,PRECondjfm,GDD0jfm,GDD0jfmam,GDD5jfm,GDD5jfmam,CHILLsond
augspurger,-3.5281190965475644,24.018164986601505,583.0824020706463,387.0669660783268,212.30292653729967,1083.6635355303392,55.45104754048066,624.109724672381,43.0
bace,-3.0561611624091283,22.260465744606062,560.835099448679,606.1666006571031,117.0234609296252,805.0973144531272,11.85263632497498,399.0735196021309,41.24193548387097
clarkduke,4.198476636174092,25.711410992450705,620.873848641387,519.6240227189753,623.6996663739619,1675.3211497645252,276.2921682050161,1023.087120991371,18.016129032258064
clarkharvard,-4.792231396408142,21.116987017612708,583.5840448262095,571.2146836416628,74.50381833968684,713.1223684987732,6.753251795614982,350.75833336614915,49.29032258064516
cleland,8.192375089425113,17.389314786055596,70.64455934074489,481.0787715982034,835.6529665054844,1606.4222657234486,387.0654795985098,852.8347788164741,1.8225806451612903
concord,-3.0561611624091283,22.260465744606062,560.835099448679,606.1666006571031,117.0234609296252,805.0973144531272,11.85263632497498,399.0735196021309,41.24193548387097
dunne,-11.841553161494048,12.17939292439314,231.65068080991642,227.6725008563315,0.6395260718561806,165.45056280320733,0.0,34.056339977633755,89.75806451612902
ellison,-5.58685147764777,20.68906915607118,583.6265825236032,560.3162285463243,61.7692327683974,675.8564069194198,5.6449494392642565,329.70724310105993,52.516129032258064
fargo,-14.11645546554897,21.039831180949633,427.02010270873,123.34267160201242,27.34592491888271,629.6694149878736,3.2081069454071116,332.8678165558861,66.46774193548387
farnsworth,-5.58685147764777,20.68906915607118,583.6265825236032,560.3162285463243,61.7692327683974,675.8564069194198,5.6449494392642565,329.70724310105993,52.516129032258064
force,-2.648898040739694,22.20174657402876,567.8677974436039,470.4942301389059,202.30467923072206,956.3645973451704,54.77077183877316,512.3862212150347,43.04838709677419
gothic,-11.677746051704945,11.96281638884771,230.86282066249046,204.62404640944067,0.6736756355532107,162.439735560264,0.0,33.43820692493098,89.0
harvard,-5.58685147764777,20.68906915607118,583.6265825236032,560.3162285463243,61.7692327683974,675.8564069194198,5.6449494392642565,329.70724310105993,52.516129032258064
hubbard,-9.155460645852274,18.128297876840346,608.2966740319914,555.6252481916661,18.555001043504333,477.3199841899271,1.2363137522052121,206.70510007796864,67.17741935483872
konza,-2.099399799263542,26.439454865232364,628.1039965139971,230.0611820288318,323.4027040543109,1281.279445032922,114.10099940146222,768.8087386592758,38.46774193548387
marchin,4.198476636174092,25.711410992450705,620.873848641387,519.6240227189753,623.6996663739619,1675.3211497645252,276.2921682050161,1023.087120991371,18.016129032258064
mikesell,-4.043752043502743,22.798250602857156,525.5517071706145,366.7891991439392,145.76692406439088,904.1168379260668,33.381469825006505,494.69711451376804,45.62903225806452
mohonk,-3.5409429575972413,22.41735785223322,621.8993266492259,538.767736905874,124.98997704290656,863.1578662503168,19.074032395885865,457.0112688618332,43.12903225806451
niwot,-5.490362826693663,17.391564989040376,247.92290153471384,118.64714501924333,36.95281096427748,427.06236808530934,1.8931996007120204,155.84204160628857,71.2741935483871
price,-11.841553161494048,12.17939292439314,231.65068080991642,227.6725008563315,0.6395260718561806,165.45056280320733,0.0,34.056339977633755,89.75806451612902
sherry,4.422123278440248,28.731488843713443,506.8776532940777,308.4741989244189,731.870023961223,1909.656058625255,365.1669419811635,1238.0425585346866,16.322580645161292
uwm,-7.346844341107369,21.859464275824568,525.392041633497,274.19195038645205,68.62113962481138,720.457624669231,11.735453156502187,375.781408100745,54.12903225806452
washdc,2.325748369770688,25.62948193346673,595.8229695749563,519.5563839887731,474.7726451258519,1447.6348202613112,190.4933864470459,859.1565666937075,23.61290322580645
