,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1949,28.0,26.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0
1950,25.0,28.0,29.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,30.0
1951,30.0,25.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0
1952,30.0,27.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,29.0
1953,30.0,27.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0
1954,29.0,25.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,31.0
1955,31.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,31.0
1956,31.0,29.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,25.0
1957,31.0,25.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,27.0
1958,31.0,28.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0
1959,31.0,26.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,25.0
1960,31.0,29.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,30.0
1961,30.0,23.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0
1962,31.0,27.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,30.0
1963,31.0,28.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0
1964,29.0,29.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,28.0
1965,30.0,28.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,25.0
1966,31.0,28.0,17.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,17.0,30.0
1967,28.0,28.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,26.0
1968,31.0,29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,30.0
1969,29.0,28.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,31.0
1970,31.0,26.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,28.0
1971,31.0,26.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,22.0
1972,31.0,29.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,30.0
