,site,genus,species,event,year,doy,GDD0,GDD5,ChillDaysOND,block,plt
2920,farnsworth,Fagus,grandifolia,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,1.0,1
2921,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,1
2922,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,1
2923,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,1
2924,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,1
2925,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,1
2926,farnsworth,Fagus,grandifolia,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,1
2927,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,1.0,1
2928,farnsworth,Acer,rubrum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,1
2929,farnsworth,Acer,pensylvanicum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,1.0,1
2930,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,2
2931,farnsworth,Acer,pensylvanicum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,1.0,2
2932,farnsworth,Acer,pensylvanicum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,1.0,2
2933,farnsworth,Acer,pensylvanicum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,1.0,2
2934,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,2
2935,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,2
2936,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,2
2937,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,2
2938,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,1.0,2
2939,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,2
2940,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,2
2941,farnsworth,Acer,rubrum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,2
2942,farnsworth,Acer,rubrum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,2
2943,farnsworth,Acer,rubrum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,2
2944,farnsworth,Fagus,grandifolia,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,1.0,2
2945,farnsworth,Amelanchier,grandifolia,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,2
2946,farnsworth,Vaccinium,corymbosum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,2
2947,farnsworth,Castanea,dentata,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,2
2948,farnsworth,Acer,pensylvanicum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,1.0,3
2949,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,3
2950,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,3
2951,farnsworth,Prunus,serotina,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,3
2952,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,3
2953,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,3
2954,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,3
2955,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,3
2956,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,3
2957,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,3
2958,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,3
2959,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,1.0,3
2960,farnsworth,Acer,rubrum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,1.0,3
2961,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,1.0,3
2962,farnsworth,Fagus,grandifolia,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,1.0,3
2963,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,4
2964,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,4
2965,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,4
2966,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,4
2967,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,4
2968,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,4
2969,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,4
2970,farnsworth,Acer,rubrum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,4
2971,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,4
2972,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,4
2973,farnsworth,Acer,pensylvanicum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,4
2974,farnsworth,Quercus,rubra,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,4
2975,farnsworth,Fagus,grandifolia,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,4
2976,farnsworth,Fagus,grandifolia,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,4
2977,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,5
2978,farnsworth,Acer,rubrum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,5
2979,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,5
2980,farnsworth,Vaccinium,corymbosum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,5
2981,farnsworth,Vaccinium,corymbosum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,5
2982,farnsworth,Fagus,grandifolia,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,5
2983,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,5
2984,farnsworth,Quercus,rubra,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,5
2985,farnsworth,Acer,rubrum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,5
2986,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,5
2987,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,5
2988,farnsworth,Amelanchier,grandifolia,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,5
2989,farnsworth,Amelanchier,grandifolia,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,5
2990,farnsworth,Vaccinium,vacillans,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,5
2991,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,5
2992,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,5
2993,farnsworth,Vaccinium,vacillans,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,6
2994,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,6
2995,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,6
2996,farnsworth,Fagus,grandifolia,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,6
2997,farnsworth,Acer,rubrum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,6
2998,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,6
2999,farnsworth,Fagus,grandifolia,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,6
3000,farnsworth,Fagus,grandifolia,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,6
3001,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,6
3002,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,6
3003,farnsworth,Sorbus,americana,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,6
3004,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,2.0,6
3005,farnsworth,Fagus,grandifolia,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,6
3006,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,6
3007,farnsworth,Sorbus,americana,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,6
3008,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,2.0,6
3009,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,3.0,7
3010,farnsworth,Fagus,grandifolia,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,3.0,7
3011,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,3.0,7
3012,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,3.0,7
3013,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,3.0,7
3014,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,3.0,7
3015,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,3.0,7
3016,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,3.0,7
3017,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,3.0,7
3018,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,3.0,7
3019,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,3.0,7
3020,farnsworth,Acer,pensylvanicum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,3.0,7
3021,farnsworth,Castanea,dentata,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,3.0,7
3022,farnsworth,Quercus,rubra,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,3.0,7
3023,farnsworth,Castanea,dentata,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,3.0,7
3024,farnsworth,Quercus,rubra,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,3.0,7
3025,farnsworth,Acer,rubrum,bbd,1993.0,113.0,199.61762084961208,54.9967041015646,63.0,3.0,8
3026,farnsworth,Acer,rubrum,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,3.0,8
3027,farnsworth,Fagus,grandifolia,bbd,1993.0,122.0,292.9729736328163,103.35205688476884,63.0,3.0,8
