,site,genus,species,event,year,doy,GDD0,GDD5,ChillDaysOND,block,plt
49950,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,1
49951,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,3
49952,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,4
49953,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,5
49954,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,6
49955,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,7
49956,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,8
49957,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,9
49958,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,10
49959,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,11
49960,sherry,Achillea,millefolium,ffd,2003.0,149.0,1794.4655090332049,1150.8190612792982,17.0,,12
49961,sherry,Achillea,millefolium,ffd,2003.0,141.0,1621.0949829101587,1017.448535156252,17.0,,13
49962,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,14
49963,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,16
49964,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,17
49965,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,18
49966,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,19
49967,sherry,Achillea,millefolium,ffd,2003.0,157.0,1981.1025146484403,1297.4560668945337,17.0,,20
49968,sherry,Ambrosia,psilostchya,ffd,2003.0,267.0,4942.717810058597,3709.07136230469,17.0,,2
49969,sherry,Ambrosia,psilostchya,ffd,2003.0,260.0,4793.722735595706,3595.076287841799,17.0,,2
49970,sherry,Ambrosia,psilostchya,ffd,2003.0,276.0,5115.832867431642,3837.186419677735,17.0,,2
49971,sherry,Ambrosia,psilostchya,ffd,2003.0,267.0,4942.717810058597,3709.07136230469,17.0,,2
49972,sherry,Ambrosia,psilostchya,ffd,2003.0,267.0,4942.717810058597,3709.07136230469,17.0,,2
49973,sherry,Ambrosia,psilostchya,ffd,2003.0,267.0,4942.717810058597,3709.07136230469,17.0,,2
49974,sherry,Ambrosia,psilostchya,ffd,2003.0,276.0,5115.832867431642,3837.186419677735,17.0,,2
49975,sherry,Ambrosia,psilostchya,ffd,2003.0,267.0,4942.717810058597,3709.07136230469,17.0,,6
49976,sherry,Ambrosia,psilostchya,ffd,2003.0,267.0,4942.717810058597,3709.07136230469,17.0,,6
49977,sherry,Ambrosia,psilostchya,ffd,2003.0,267.0,4942.717810058597,3709.07136230469,17.0,,6
49978,sherry,Ambrosia,psilostchya,ffd,2003.0,267.0,4942.717810058597,3709.07136230469,17.0,,6
49979,sherry,Ambrosia,psilostchya,ffd,2003.0,267.0,4942.717810058597,3709.07136230469,17.0,,6
49980,sherry,Ambrosia,psilostchya,ffd,2003.0,267.0,4942.717810058597,3709.07136230469,17.0,,6
49981,sherry,Ambrosia,psilostchya,ffd,2003.0,267.0,4942.717810058597,3709.07136230469,17.0,,6
49982,sherry,Ambrosia,psilostchya,ffd,2003.0,267.0,4942.717810058597,3709.07136230469,17.0,,6
