,site,genus,species,event,year,doy,GDD0,GDD5,ChillDaysOND,plt
13721,harvard,Acer,pensylvanicum,bbd,1990.0,118.0,316.1653015136725,80.10566406249961,52.0,
13722,harvard,Acer,pensylvanicum,bbd,1991.0,122.0,402.6789184570355,156.76614379883176,45.0,
13723,harvard,Acer,pensylvanicum,bbd,1992.0,135.0,356.89915161133047,120.80821533203067,49.0,
13724,harvard,Acer,pensylvanicum,bbd,1993.0,118.0,250.55267944336322,80.93176269531574,63.0,
13725,harvard,Acer,pensylvanicum,bbd,1994.0,124.0,318.20651855468515,115.58549194335887,59.0,
13726,harvard,Acer,pensylvanicum,bbd,1995.0,128.0,362.8670959472689,89.28217163085986,44.0,
13727,harvard,Acer,pensylvanicum,bbd,1996.0,128.0,315.9294250488284,112.15034179687677,56.0,
13728,harvard,Acer,pensylvanicum,bbd,1997.0,125.0,277.69221191406746,76.72857055664366,56.0,
13729,harvard,Acer,pensylvanicum,bbd,1998.0,114.0,317.07908935546743,92.11079101562359,61.0,
13730,harvard,Acer,pensylvanicum,bbd,1999.0,123.0,320.7183837890645,92.92595214843766,51.0,
13731,harvard,Acer,pensylvanicum,bbd,2000.0,126.0,386.5432983398488,120.40352783203497,38.0,
13732,harvard,Acer,pensylvanicum,bbd,2001.0,122.0,261.14281616211315,95.57527465820561,53.0,
13733,harvard,Acer,pensylvanicum,bbd,2002.0,109.0,278.68739013671944,77.07952270507849,39.0,
13734,harvard,Acer,pensylvanicum,bbd,2003.0,125.0,258.70141601562494,76.49437866210951,60.0,
13735,harvard,Acer,pensylvanicum,bbd,2004.0,121.0,309.1023132324243,97.6488098144547,52.0,
13736,harvard,Acer,pensylvanicum,bbd,2005.0,126.0,318.7370544433568,123.06448974608946,47.0,
13737,harvard,Acer,pensylvanicum,bbd,2006.0,124.0,378.9099792480454,134.2639831542968,46.0,
13738,harvard,Acer,pensylvanicum,bbd,2007.0,124.0,283.9866943359404,80.75985107422156,41.0,
13739,harvard,Acer,pensylvanicum,bbd,2008.0,118.0,257.32711181640695,93.81676025390641,53.0,
13740,harvard,Acer,pensylvanicum,bbd,2009.0,121.0,320.6764038085932,121.8135192871087,57.0,
13741,harvard,Acer,pensylvanicum,bbd,2010.0,103.0,122.8450500488276,22.006164550782387,45.0,
13742,harvard,Acer,pensylvanicum,bbd,2011.0,126.0,,,,
13743,harvard,Acer,pensylvanicum,bbd,2012.0,109.0,,,,
13744,harvard,Acer,pensylvanicum,bbd,2013.0,122.0,,,,
13745,harvard,Acer,pensylvanicum,bbd,2014.0,132.0,,,,
