"plot","year","site","exp_startyear","event","genus","species","doy","year.num","meltdate"
"1",1991,"price",1991,"ffd","Lathyrus","leucanthus",190,0,137
"1",1991,"price",1991,"ffd","Claytonia","lanceolata",161,0,137
"1",1991,"price",1991,"sd","Claytonia","lanceolata",175,0,137
"1",1991,"price",1991,"ffd","Ipomopsis","aggregata",204,0,137
"1",1991,"price",1991,"sd","Claytonia","lanceolata",175,0,137
"1",1991,"price",1991,"ffd","Lathyrus","leucanthus",182,0,137
"1",1991,"price",1991,"ffrd","Claytonia","lanceolata",161,0,137
"1",1991,"price",1991,"sd","Potentilla","gracilis",217,0,137
"1",1991,"price",1991,"ffd","Ipomopsis","aggregata",211,0,137
"1",1991,"price",1991,"sd","Potentilla","gracilis",225,0,137
"1",1991,"price",1991,"ffd","Mertensia","fusiformes",161,0,137
"1",1991,"price",1991,"sd","Delphinium","nelsonii",204,0,137
"1",1991,"price",1991,"ffd","Eriogonum","subalpinum",196,0,137
"1",1991,"price",1991,"ffd","Lathyrus","leucanthus",175,0,137
"1",1991,"price",1991,"ffd","Mertensia","fusiformes",161,0,137
"1",1991,"price",1991,"ffd","Eriogonum","subalpinum",190,0,137
"1",1991,"price",1991,"ffd","Mertensia","fusiformes",161,0,137
"1",1991,"price",1991,"ffd","Lathyrus","leucanthus",182,0,137
"1",1991,"price",1991,"ffd","Ipomopsis","aggregata",196,0,137
"1",1991,"price",1991,"ffd","Lathyrus","leucanthus",182,0,137
"1",1991,"price",1991,"ffd","Eriogonum","subalpinum",190,0,137
"1",1991,"price",1991,"ffrd","Mertensia","fusiformes",168,0,137
"1",1991,"price",1991,"ffrd","Ipomopsis","aggregata",204,0,137
"1",1991,"price",1991,"sd","Mertensia","fusiformes",182,0,137
"1",1991,"price",1991,"ffd","Potentilla","gracilis",196,0,137
"1",1991,"price",1991,"sd","Erythronium","grandiflorum",204,0,137
"1",1991,"price",1991,"sd","Mertensia","fusiformes",182,0,137
"1",1991,"price",1991,"sd","Claytonia","lanceolata",175,0,137
"1",1991,"price",1991,"ffrd","Mertensia","fusiformes",168,0,137
"1",1991,"price",1991,"ffrd","Eriogonum","subalpinum",217,0,137
"1",1991,"price",1991,"ffrd","Mertensia","fusiformes",168,0,137
"1",1991,"price",1991,"ffd","Potentilla","gracilis",190,0,137
"1",1991,"price",1991,"ffrd","Ipomopsis","aggregata",196,0,137
"1",1991,"price",1991,"sd","Erythronium","grandiflorum",211,0,137
"1",1991,"price",1991,"ffrd","Ipomopsis","aggregata",211,0,137
"1",1991,"price",1991,"ffrd","Potentilla","gracilis",204,0,137
"1",1991,"price",1991,"sd","Mertensia","fusiformes",182,0,137
"1",1991,"price",1991,"ffrd","Potentilla","gracilis",204,0,137
"1",1991,"price",1991,"ffd","Mertensia","fusiformes",161,0,137
"1",1991,"price",1991,"ffd","Eriogonum","subalpinum",190,0,137
"1",1991,"price",1991,"ffd","Eriogonum","subalpinum",190,0,137
"1",1991,"price",1991,"sd","Erythronium","grandiflorum",204,0,137
"1",1991,"price",1991,"ffrd","Potentilla","gracilis",204,0,137
"1",1991,"price",1991,"sd","Mertensia","fusiformes",182,0,137
"1",1991,"price",1991,"ffd","Potentilla","gracilis",196,0,137
"1",1991,"price",1991,"ffd","Potentilla","gracilis",196,0,137
"1",1991,"price",1991,"ffrd","Potentilla","gracilis",211,0,137
"1",1991,"price",1991,"sd","Erythronium","grandiflorum",211,0,137
"1",1991,"price",1991,"sd","Mertensia","fusiformes",175,0,137
"1",1991,"price",1991,"ffd","Potentilla","gracilis",190,0,137
"1",1992,"price",1991,"ffrd","Mertensia","fusiformes",153,1,120
"1",1992,"price",1991,"sd","Mertensia","fusiformes",160,1,120
"1",1992,"price",1991,"sd","Mertensia","fusiformes",167,1,120
"1",1992,"price",1991,"ffrd","Potentilla","gracilis",195,1,120
"1",1992,"price",1991,"ffrd","Erythronium","grandiflorum",153,1,120
"1",1992,"price",1991,"sd","Ipomopsis","aggregata",249,1,120
"1",1992,"price",1991,"ffrd","Potentilla","gracilis",195,1,120
"1",1992,"price",1991,"ffrd","Erythronium","grandiflorum",146,1,120
"1",1992,"price",1991,"sd","Mertensia","fusiformes",167,1,120
"1",1992,"price",1991,"sd","Mertensia","fusiformes",167,1,120
"1",1992,"price",1991,"ffrd","Eriogonum","subalpinum",203,1,120
"1",1992,"price",1991,"ffrd","Ipomopsis","aggregata",188,1,120
"1",1992,"price",1991,"ffrd","Erythronium","grandiflorum",146,1,120
"1",1992,"price",1991,"ffrd","Erythronium","grandiflorum",153,1,120
"1",1992,"price",1991,"ffrd","Erythronium","grandiflorum",153,1,120
"1",1992,"price",1991,"ffd","Potentilla","gracilis",177,1,120
"1",1992,"price",1991,"ffrd","Eriogonum","subalpinum",203,1,120
