"site","block","plot","temptreat","target","reported","temptreat_units","preciptreat","preciptreat_amt","preciptreat_units"
"exp01","1","1","0",NA,NA,NA,"-1",50,"perc"
"exp01","1","10","2",2.7,2.7,"C","1",150,"perc"
"exp01","1","11","1",1,1,"C","1",150,"perc"
"exp01","1","12","0",NA,NA,NA,"1",150,"perc"
"exp01","1","2","1",1,1,"C","-1",50,"perc"
"exp01","1","3","2",2.7,2.7,"C","-1",50,"perc"
"exp01","1","4","3",4,4,"C","-1",50,"perc"
"exp01","1","5","3",4,4,"C","0",NA,NA
"exp01","1","6","2",2.7,2.7,"C","0",NA,NA
"exp01","1","7","1",1,1,"C","0",NA,NA
"exp01","1","8","0",NA,NA,NA,"0",NA,NA
"exp01","1","9","3",4,4,"C","1",150,"perc"
"exp01","2","13","3",4,4,"C","0",NA,NA
"exp01","2","14","2",2.7,2.7,"C","0",NA,NA
"exp01","2","15","1",1,1,"C","0",NA,NA
"exp01","2","16","0",NA,NA,NA,"0",NA,NA
"exp01","2","17","0",NA,NA,NA,"1",150,"perc"
"exp01","2","18","1",1,1,"C","1",150,"perc"
"exp01","2","19","2",2.7,2.7,"C","1",150,"perc"
"exp01","2","20","3",4,4,"C","1",150,"perc"
"exp01","2","21","3",4,4,"C","-1",50,"perc"
"exp01","2","22","2",2.7,2.7,"C","-1",50,"perc"
"exp01","2","23","1",1,1,"C","-1",50,"perc"
"exp01","2","24","0",NA,NA,NA,"-1",50,"perc"
"exp01","3","25","0",NA,NA,NA,"1",150,"perc"
"exp01","3","26","1",1,1,"C","1",150,"perc"
"exp01","3","27","2",2.7,2.7,"C","1",150,"perc"
"exp01","3","28","3",4,4,"C","1",150,"perc"
"exp01","3","29","3",4,4,"C","0",NA,NA
"exp01","3","30","2",2.7,2.7,"C","0",NA,NA
"exp01","3","31","1",1,1,"C","0",NA,NA
"exp01","3","32","0",NA,NA,NA,"0",NA,NA
"exp01","3","33","0",NA,NA,NA,"-1",50,"perc"
"exp01","3","34","1",1,1,"C","-1",50,"perc"
"exp01","3","35","2",2.7,2.7,"C","-1",50,"perc"
"exp01","3","36","3",4,4,"C","-1",50,"perc"
"exp02","a","a1","1",1.5,1.5,"C","0",NA,NA
"exp02","a","a2","2",3,3,"C","-1",70,"perc"
"exp02","a","a3","ambient",NA,NA,NA,"-1",70,"perc"
"exp02","a","a4","2",3,3,"C","0",NA,NA
"exp02","a","a5","ambient",NA,NA,NA,"0",NA,NA
"exp02","a","a6","1",1.5,1.5,"C","-1",70,"perc"
