"","est.","se","est.","se","est.","se"
"(Intercept)","4.13","0.47","10.38","1.07","14.44","1.37"
"target","0.02","0.07","0.72","0.1","0.75","0.09"
"site random effects","int","target","int","target","int","target"
"exp01","6.45","0.24","10.29","0.79","16.29","0.96"
"exp03","2.83","-0.01","12.35","0.74","15.24","0.74"
"exp04","2.13","0.06","9.17","0.87","11.12","0.92"
"exp06","4.19","0.02","7.97","0.68","12.02","0.76"
"exp07","2.72","0.05","7.28","0.41","10.27","0.51"
"exp09","3.62","-0.27","9.48","1.16","13.07","0.9"
"exp10","5.14","0.06","12.35","0.43","17.72","0.51"
"exp11","3.97","0.02","6.12","0.66","9.92","0.78"
"exp12","4.05","0.24","12.16","0.69","15.53","0.84"
"exp14","6.15","-0.22","16.66","0.76","23.17","0.55"
