plot,date,Day of year,year,decimal year,day,VWC,comments
1,10-Apr-08,101,2008,2008.273224,101,0.299,
2,10-Apr-08,101,2008,2008.273224,101,0.238,
3,10-Apr-08,101,2008,2008.273224,101,0.262,
4,10-Apr-08,101,2008,2008.273224,101,0.281,
5,10-Apr-08,101,2008,2008.273224,101,0.254,
6,10-Apr-08,101,2008,2008.273224,101,0.259,
7,10-Apr-08,101,2008,2008.273224,101,0.277,
8,10-Apr-08,101,2008,2008.273224,101,0.276,
9,10-Apr-08,101,2008,2008.273224,101,0.299,
10,10-Apr-08,101,2008,2008.273224,101,0.275,
11,10-Apr-08,101,2008,2008.273224,101,0.291,
12,10-Apr-08,101,2008,2008.273224,101,0.268,
13,10-Apr-08,101,2008,2008.273224,101,0.275,
14,10-Apr-08,101,2008,2008.273224,101,0.225,
15,10-Apr-08,101,2008,2008.273224,101,0.202,
16,10-Apr-08,101,2008,2008.273224,101,0.218,
17,10-Apr-08,101,2008,2008.273224,101,0.211,
18,10-Apr-08,101,2008,2008.273224,101,0.270,
19,10-Apr-08,101,2008,2008.273224,101,0.271,
20,10-Apr-08,101,2008,2008.273224,101,0.292,
21,10-Apr-08,101,2008,2008.273224,101,0.286,
22,10-Apr-08,101,2008,2008.273224,101,0.278,
23,10-Apr-08,101,2008,2008.273224,101,0.273,
24,10-Apr-08,101,2008,2008.273224,101,0.242,
25,10-Apr-08,101,2008,2008.273224,101,0.239,
26,10-Apr-08,101,2008,2008.273224,101,0.216,
27,10-Apr-08,101,2008,2008.273224,101,0.216,
28,10-Apr-08,101,2008,2008.273224,101,0.213,
29,10-Apr-08,101,2008,2008.273224,101,0.247,
30,10-Apr-08,101,2008,2008.273224,101,0.243,
31,10-Apr-08,101,2008,2008.273224,101,0.246,
32,10-Apr-08,101,2008,2008.273224,101,0.251,
33,10-Apr-08,101,2008,2008.273224,101,0.223,
34,10-Apr-08,101,2008,2008.273224,101,0.228,
35,10-Apr-08,101,2008,2008.273224,101,0.212,
36,10-Apr-08,101,2008,2008.273224,101,0.263,
1,25-Apr-08,116,2008,2008.314208,116,0.268,
2,25-Apr-08,116,2008,2008.314208,116,0.251,
3,25-Apr-08,116,2008,2008.314208,116,0.246,
4,25-Apr-08,116,2008,2008.314208,116,0.243,
5,25-Apr-08,116,2008,2008.314208,116,0.224,
6,25-Apr-08,116,2008,2008.314208,116,0.232,
7,25-Apr-08,116,2008,2008.314208,116,0.263,
8,25-Apr-08,116,2008,2008.314208,116,0.287,
9,25-Apr-08,116,2008,2008.314208,116,0.301,
10,25-Apr-08,116,2008,2008.314208,116,0.275,
11,25-Apr-08,116,2008,2008.314208,116,0.300,
12,25-Apr-08,116,2008,2008.314208,116,0.291,
13,25-Apr-08,116,2008,2008.314208,116,0.242,
14,25-Apr-08,116,2008,2008.314208,116,0.204,
15,25-Apr-08,116,2008,2008.314208,116,0.205,
16,25-Apr-08,116,2008,2008.314208,116,0.175,
17,25-Apr-08,116,2008,2008.314208,116,0.159,
18,25-Apr-08,116,2008,2008.314208,116,0.274,
19,25-Apr-08,116,2008,2008.314208,116,0.260,
20,25-Apr-08,116,2008,2008.314208,116,0.286,
21,25-Apr-08,116,2008,2008.314208,116,0.250,
22,25-Apr-08,116,2008,2008.314208,116,0.292,
