year,month,day,plot #,warming treatment,precip treatment,avg temp,min temp,max temp
2010,January,1,1,0,0,0.835686657,-1.750372,2.470117
2010,January,1,4,3,0,4.247133104,1.367761,6.78893
2010,January,1,5,3,1,4.114514661,0.910636,8.22827
2010,January,1,8,0,1,0.052480796,-2.926984,1.750352
2010,January,1,9,3,2,3.729850282,0.608657,7.581138
2010,January,1,12,0,2,-0.460374146,-3.354842,1.030532
2010,January,1,13,3,1,3.922732825,1.065151,6.148359
2010,January,1,16,0,1,0.149815246,-2.838251,1.921514
2010,January,1,17,0,2,1.639005871,-1.393149,3.364163
2010,January,1,20,3,2,5.572860039,2.425698,9.251335
2010,January,1,21,3,0,4.099567761,1.392482,6.583998
2010,January,1,24,0,0,0.240870314,-2.324633,1.809059
2010,January,1,25,0,2,0.110926296,-2.792,1.832995
2010,January,1,28,3,2,4.443937218,1.120495,10.100732
2010,January,1,29,3,1,4.757041382,1.583268,9.727645
2010,January,1,32,0,1,0.468646393,-2.35434,2.249968
2010,January,1,33,0,0,0.164237721,-2.493826,1.870919
2010,January,1,36,3,0,4.231597061,1.419748,6.627625
2010,January,2,1,0,0,-0.8830093,-4.668922,1.060564
2010,January,2,4,3,0,1.164316907,-3.758012,4.42357
2010,January,2,5,3,1,1.208324193,-3.429978,4.487619
2010,January,2,8,0,1,-1.646771154,-5.429706,0.305304
2010,January,2,9,3,2,1.316247154,-3.07719,3.895695
2010,January,2,12,0,2,-2.111018396,-5.821753,-0.249085
2010,January,2,13,3,1,1.214901682,-3.417457,4.178305
2010,January,2,16,0,1,-1.557821357,-5.21223,0.312611
2010,January,2,17,0,2,-0.0666146,-3.752787,1.873586
2010,January,2,20,3,2,2.423496989,-2.115368,5.497053
2010,January,2,21,3,0,1.323483732,-3.178804,4.28058
2010,January,2,24,0,0,-1.47042865,-5.163656,0.465708
2010,January,2,25,0,2,-1.591097046,-5.235681,0.299693
2010,January,2,28,3,2,2.072172443,-2.229956,4.47746
2010,January,2,29,3,1,2.486563111,-1.840941,4.929156
2010,January,2,32,0,1,-1.162945,-4.778985,0.610351
2010,January,2,33,0,0,-1.512005911,-5.348739,0.427742
2010,January,2,36,3,0,2.292973921,-1.68056,4.6593
2010,January,3,1,0,0,-3.309622354,-7.040279,0.064149
2010,January,3,4,3,0,-1.201471404,-5.578746,1.617151
2010,January,3,5,3,1,-1.134240304,-5.446644,1.773626
2010,January,3,8,0,1,-4.010285671,-7.703364,-0.389943
2010,January,3,9,3,2,-1.087099243,-4.992822,1.812951
2010,January,3,12,0,2,-4.405006561,-8.050707,-1.485309
2010,January,3,13,3,1,-1.072138604,-4.730987,1.989531
2010,January,3,16,0,1,-3.909601586,-7.584654,-0.823093
2010,January,3,17,0,2,-2.440372396,-6.074978,0.621598
2010,January,3,20,3,2,-0.339118121,-4.572781,3.103201
2010,January,3,21,3,0,-0.798652739,-4.617015,2.258906
2010,January,3,24,0,0,-3.752815082,-7.375131,-0.588961
2010,January,3,25,0,2,-3.884171789,-7.486499,-0.973749
2010,January,3,28,3,2,-0.478224139,-4.527187,2.082366
2010,January,3,29,3,1,-0.217156211,-4.524653,2.446434
2010,January,3,32,0,1,-3.398846125,-7.045623,-0.059652
2010,January,3,33,0,0,-4.009230118,-7.808338,-0.691866
2010,January,3,36,3,0,-0.467763589,-5.011981,2.454954
2010,January,4,1,0,0,-1.728164064,-7.418036,3.054557
2010,January,4,4,3,0,0.957270971,-3.333944,4.501582
2010,January,4,5,3,1,0.148961861,-5.735533,3.823908
2010,January,4,8,0,1,-3.101935207,-10.048487,2.218082
2010,January,4,9,3,2,-0.41989725,-6.132755,2.606329
2010,January,4,12,0,2,-3.902954239,-11.098546,1.318807
2010,January,4,13,3,1,0.189235086,-5.916616,4.685279
2010,January,4,16,0,1,-3.360546521,-10.860117,2.196138
2010,January,4,17,0,2,-1.801040939,-9.215456,3.693863
