BACE Fall 2012 tree phenology,,,,,,,,,,
Plot,loc,Tr_id,species,1st fall sign,>50% colored,"all 
colored",">50%  
fallen","all 
fallen",dead?,comments
1,1,9000,Q. rubra,268,285,297,318,331,,
1,2,9001,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
1,3,9002,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
1,4,9003,Q. rubra,268,282,292,314,314,,
1,1,9300,U. americana,268,282,304,304,307,,
1,2,9301,U. americana,268,278,297,297,300,,
1,3,9302,U. americana,268,275,304,304,314,,
1,4,9303,U. americana,268,275,297,304,300,,
1,1,9600,A. rubrum,268,268,282,292,300,,
1,2,9601,A. rubrum,268,278,297,304,304,,
1,3,9602,A. rubrum,268,268,285,297,297,,
1,4,9603,A. rubrum,268,282,292,297,304,,
1,5,9004,Q. rubra,275,285,289,300,300,,
1,6,9005,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
1,7,9006,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
1,8,9007,Q. rubra,268,278,307,321,331,,
1,5,9604,A. rubrum,268,275,289,300,300,,
1,6,9605,A. rubrum,268,268,285,304,304,,
1,7,9606,A. rubrum,268,268,289,297,300,,
1,8,9607,A. rubrum,268,278,285,304,324,,
1,5,9304,U. americana,268,285,297,300,300,,
1,6,9305,U. americana,268,275,292,297,297,,
1,7,9306,U. americana,268,289,297,297,300,,
1,8,9307,U. americana,268,285,297,297,300,,
2,1,9008,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
2,2,9009,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
2,3,9010,Q. rubra,275,300,314,331,334,,
2,4,9011,Q. rubra,275,297,314,331,331,,
2,1,9308,U. americana,268,285,297,297,304,,
2,2,9309,U. americana,268,275,292,297,300,,
2,3,9310,U. americana,268,289,297,297,307,,
2,4,9311,U. americana,268,297,321,311,321,,
2,1,9608,A. rubrum,268,268,292,304,304,,
2,2,9609,A. rubrum,268,275,289,297,300,,
2,3,9610,A. rubrum,268,275,289,297,307,,
2,4,9611,A. rubrum,268,268,292,297,300,,
2,5,9012,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
2,6,9013,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
2,7,9014,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
2,8,9015,Q. rubra,275,289,307,314,314,,
2,5,9612,A. rubrum,268,282,289,300,304,,
2,6,9613,A. rubrum,268,282,318,321,331,,
2,7,9614,A. rubrum,268,282,304,307,334,,
2,8,9615,A. rubrum,268,268,297,311,331,,
2,5,9312,U. americana,275,314,318,311,321,,
2,6,9313,U. americana,268,285,304,289,304,,
2,7,9314,U. americana,275,289,318,311,318,,
2,8,9315,U. americana,268,289,318,304,321,,
3,1,9016,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
3,2,9017,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
3,3,9018,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
3,4,9019,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
3,1,9316,U. americana,268,311,318,311,321,,
3,2,9317,U. americana,268,297,307,304,307,,
3,3,9318,U. americana,268,304,318,314,321,,
3,4,9319,U. americana,268,311,318,318,324,,
3,1,9616,A. rubrum,268,278,289,300,300,,
3,2,9617,A. rubrum,268,268,275,307,321,,
3,3,9618,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
3,4,9619,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
3,5,9020,Q. rubra,268,311,318,334,334,,
3,6,9021,Q. rubra,268,300,314,321,331,,
3,7,9022,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
3,8,9023,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
3,5,9620,A. rubrum,268,304,321,307,331,,
3,6,9621,A. rubrum,268,311,314,331,331,,
3,7,9622,A. rubrum,268,285,292,318,331,,
3,8,9623,A. rubrum,268,282,314,318,331,,
3,5,9320,U. americana,268,297,314,304,318,,
3,6,9321,U. americana,268,292,318,304,321,,
3,7,9322,U. americana,268,292,318,304,331,,
3,8,9323,U. americana,268,297,304,304,307,,
4,1,9024,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
4,2,9025,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
4,3,9026,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
4,4,9027,Q. rubra,268,278,307,307,311,m,"leaves 90% dry, 10% green day 261"
4,1,9324,U. americana,268,307,311,307,311,,
4,2,9325,U. americana,268,297,297,300,304,,
4,3,9326,U. americana,268,289,318,300,318,,
4,4,9327,U. americana,268,304,.,304,331,,
4,1,9624,A. rubrum,268,278,289,314,331,,
4,2,9625,A. rubrum,268,268,289,311,314,,
4,3,9626,A. rubrum,268,275,292,311,314,,
4,4,9627,A. rubrum,268,278,297,321,331,,
4,5,9028,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
4,6,9029,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
4,7,9030,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
