BACE spring 2012 tree phenology,,,,,,,,,,,
Plot,TP,loc,Tr_id,species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,comments
1,N,1,6201,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
1,N,2,6401,P. serotina,86,93,102,102,107,,
1,N,3,6400,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
1,N,4,6601,U. americana,.,102,102,102,107,,resprout
1,N,5,6600,U. americana,.,.,.,.,152,n,very chewed. Missed all its phenology
1,N,6,6200,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
1,N,7,6313,B. popul,102,107,107,107,115,,
1,N,8,6001,B. popul,102,104,107,107,111,,
1,S,1,6003,B. popul,xxx,xxx,xxx,xxx,xxx,eaten,eaten from below
1,S,2,6202,P. grand,xxx,xxx,xxx,xxx,xxx,y,
1,S,3,6002,B. popul,xxx,xxx,xxx,xxx,xxx,y,gone
1,S,4,6403,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
1,S,5,6402,P. serotina,xxx,xxx,xxx,xxx,xxx,dried,
1,S,6,6602,U. americana,106,115,115,115,121,,
1,S,7,6603,U. americana,xxx,xxx,xxx,xxx,xxx,dried,
1,S,8,6203,P. grand,xxx,xxx,xxx,xxx,xxx,,
2,N,1,6605,U. americana,107,109,109,111,117,,
2,N,2,6604,U. americana,104,.,107,109,111,,tiny resprout
2,N,3,6004,B. popul,<<<117,<<117,<117,117,121,,tiny bud at base
2,N,4,6205,P. grand,xxx,xxx,xxx,xxx,xxx,yes,dried
2,N,5,6204,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
2,N,6,6405,P. serotina,93,93,<115,<115,<115,,tiny resprout
2,N,7,6005,B. popul,83,83,95,95,107,,
2,N,8,6404,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
2,S,1,6407,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
2,S,2,6406,P. serotina,xxx,xxx,xxx,xxx,xxx,y,eaten from below
2,S,3,6006,B. popul,xxx,xxx,xxx,xxx,xxx,y,eaten from below
2,S,4,6007,B. popul,xxx,xxx,xxx,xxx,xxx,y,gone
2,S,5,6607,U. americana,100,102,104,107,109,,tiny resprout
2,S,6,6606,U. americana,104,107,109,109,115,,
2,S,7,6206,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
2,S,8,6207,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
3,N,1,6608,U. americana,102,107,102,107,111,,resprout
3,N,2,6408,P. serotina,<86,<86,86,86,104,,
3,N,3,6208,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
3,N,4,6409,P. serotina,.,.,.,.,93,,
3,N,5,6009,B. popul,95,100,107,107,111,,
3,N,6,6008,B. popul,xxx,xxx,xxx,xxx,xxx,y,
3,N,7,6609,U. americana,.,.,.,.,152,,bark stripped at base. Missed all its phenology
3,N,8,6209,P. grand,xxx,xxx,xxx,xxx,xxx,y,"base barl chewed, top chopped or chewed"
