BACE spring 2012 Tree Phenology,,,,,,,,,,,,,,
Plot,TP,loc,Tr_id,species,"1st bud 
bolted","all buds 
bolted",1st green,"all 
green","1st needle 
bundle",all needle bundles,"1st young 
needles","all young
needles",Comments,
1,W,4,4400,P. strobus,104,109,95,109,132,135,156,184,"stopped checking pine phenology on day 219_2012 ""only freak trees remain""",
1,W,7,4401,P. strobus,109,109,109,109,135,137,170,191,,
1,E,1,4403,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
1,E,3,4402,P. strobus,102,109,95,109,121,139,178,198,,
2,W,3,4404,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
2,W,8,4405,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
2,E,1,4406,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
2,E,6,4407,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
3,W,5,4409,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
3,W,7,4408,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
3,E,6,4410,P. strobus,109,111,104,109,135,139,.,.,,
3,E,8,4411,P. strobus,.,.,102,111,135,135,158,198,,
4,W,3,4412,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
4,W,7,4413,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
4,E,1,4414,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
4,E,2,4415,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
5,W,6,4416,P. strobus,100,102,111,111,121,128,156,167,,
5,W,8,4417,P. strobus,102,102,109,111,124,132,170,184,,
5,E,2,4418,P. strobus,.,.,.,111,128,128,.,.,top of tree dead <156,
5,E,6,4419,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
6,W,2,4420,P. strobus,.,.,.,.,.,.,.,.,dying? Day 130.,
6,W,6,4421,P. strobus,109,109,95,104,121,128,156,165,,
6,E,2,4423,P. strobus,100,104,95,109,121,130,156,184,,
6,E,5,4422,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
7,W,4,4424,P. strobus,104,109,95,109,121,132,165,184,,
7,W,8,4425,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
7,E,2,4426,P. strobus,102,109,95,109,132,135,167,184,,
7,E,6,4427,P. strobus,102,109,109,111,130,135,163,184,,
8,W,1,4429,P. strobus,100,109,95,111,135,137,167,184,,
8,W,3,4428,P. strobus,104,111,109,111,135,137,167,184,,
8,E,2,4573,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
8,E,6,4431,P. strobus,104,109,95,109,135,137,167,184,,
9,W,5,4433,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
9,W,8,4432,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
9,E,2,4434,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
9,E,4,4435,P. strobus,104,104,95,109,121,128,165,184,,
10,W,4,4436,P. strobus,100,109,102,109,121,132,160,184,,
10,W,8,4437,P. strobus,100,104,93,102,121,128,178,198,,
10,E,4,4438,P. strobus,111,115,88,115,142,144,167,184,,
10,E,6,4439,P. strobus,100,109,95,102,121,130,167,184,,
11,W,1,4441,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
11,W,6,4440,P. strobus,109,111,88,111,135,137,167,184,,
11,E,3,4442,P. strobus,109,111,109,109,135,137,178,198,,
11,E,7,4443,P. strobus,.,.,115,115,142,144,170,198,,
12,W,2,4445,P. strobus,100,115,102,115,135,142,178,184,,
12,W,5,4559,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
12,E,3,4447,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
12,E,6,4446,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
13,W,2,4449,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
13,W,7,4448,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
13,E,4,4451,P. strobus,.,.,.,.,.,.,.,.,,
13,E,8,4450,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
14,W,1,4453,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
14,W,3,4452,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
14,E,3,4455,P. strobus,100,100,88,109,124,135,163,184,,
14,E,6,4454,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
15,W,3,4456,P. strobus,104,109,88,111,128,139,170,191,,
15,W,7,4457,P. strobus,111,115,109,111,135,142,178,191,,
15,E,4,4459,P. strobus,115,130,102,135,137,142,170,184,,
15,E,8,4458,P. strobus,.,.,.,.,.,.,.,.,,
16,W,1,4460,P. strobus,109,111,111,111,135,137,184,205,,
16,W,3,4461,P. strobus,.,111,111,130,146,150,170,184,,
16,E,6,4474,P. strobus,109,95,95,111,135,142,165,184,,
16,E,8,4475,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
17,W,1,4477,P. strobus,109,111,111,111,142,150,191,212,,
17,W,3,4476,P. strobus,115,115,111,115,142,144,184,212,,
17,E,1,4478,P. strobus,115,115,109,109,135,137,178,191,,
17,E,6,4479,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
18,W,3,4480,P. strobus,139,139,128,135,.,.,184,205,,
18,W,7,4481,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
18,E,1,4482,P. strobus,115,115,95,102,144,146,184,.,,
18,E,4,4567,P. strobus,115,115,95,102,135,135,156,167,,
19,W,1,4485,P. strobus,111,115,95,109,139,142,167,191,,
19,W,7,4484,P. strobus,.,.,.,.,.,.,.,.,gone,
19,E,4,4570,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
19,E,8,4486,P. strobus,135,135,115,117,142,150,184,191,,
20,W,3,4488,P. strobus,109,111,109,111,137,137,184,191,,
20,W,5,4489,P. strobus,109,115,115,115,139,146,184,198,,
20,E,2,4491,P. strobus,.,.,.,.,.,.,.,.,gone,
20,E,7,4490,P. strobus,100,100,88,109,121,130,160,184,,
21,W,1,4493,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
21,W,4,4492,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
21,E,1,4561,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
21,E,4,4564,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
22,W,4,4496,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
22,W,6,4497,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
22,E,1,4462,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
22,E,2,4463,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
23,W,2,4465,P. strobus,.,.,.,.,.,.,.,.,dead,
23,W,3,4464,P. strobus,100,115,109,109,135,135,184,219,,
23,E,3,4466,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
23,E,4,4467,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
24,W,3,4468,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
24,W,6,4572,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
24,E,3,4470,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
