BACE 2013 herbaceous phenology,,,,,,,,,,
Plot,Species,% cover ,"# of 
plants",floral buds,"buds and 
flowers",open flowers,"flowers and 
dry flowers",dry flowers,Comment,general comments
1,Achillea millefolium,,4,127,,179,,,,
1,Asclepias syriaca ,,,149,179,,,<300,,
1,Berteroa incana,,,,,,,,,
1,Capsella bursa-pastoris ,,,,,,,,,
1,Cerastium fontanum ,,,,134,,,179,,
1,Chenopodium album,,,,,,,,,
1,conyza canadensis,,,,,,,,,
1,Dactylis glomerata ,,,134,149,149,,179,,
1,Draba verna ,,,,,,,,,
1,Elymus repens ,,,,,,,,,
1,Erigeron annuus ,,,,,,,,,
1,Festuca spp. ,,,143,,179,,<300,,
1,Oxalis stricta ,,,,,,,,,
1,Phleum pratense ,,,,,179,,<300,,
1,Plantago lanceolata ,,,,,,,,,
1,Poa trivialis,15,,127,,143,,179,,
1,Potentilla argentea ,,,,,,,,,
1,Rumex crispus ,,,143,,,,179,,
1,Setaria glauca,,,,,179,,<300,,
1,Silene alba ,,1,,149,,179,<300,,
1,Tanacetum vulgare ,,1,,,,,,,
1,Taraxacum officinale ,,,,,,,,,
1,Trifolium pratense ,,,,,,,,,
1,Trifolium repens ,,,,,,,,,
1,Veronica arvensis ,,4,,119,127,143,149,,
1,Digitaria ischaemum,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
2,Achillea millefolium,,,,,179,,<300,,
2,Asclepias syriaca ,,,,150,,179,<300,,
2,Berteroa incana,,,,,,,,,
2,Capsella bursa-pastoris ,,,,,,,,,
2,Cerastium fontanum ,,,,134,,,<300,,
2,Chenopodium album,,,,,,,,,
2,Conyza canadensis,,,,,,,,,
2,Dactylis glomerata ,5,,127,143,149,,179,,
2,Digitaria ischaemum,,,,,,,,,
2,Draba verna ,,,,,,,,,
2,Elymus repens ,,,,,179,,<300,,
2,Erigeron annuus ,,,,,,,,,
2,Festuca spp. ,,,,,,,,,
2,lepidium virginicum,,,,,179,,<300,,
2,Lotus corniculatus,,,,,,,,,
2,Oxalis stricta ,,,,134,143,,179,,
2,Phleum pratense ,,,,,,,,,
2,Plantago lanceolata ,,,,,,,,,
2,Poa trivialis,8,,127,143,149,,179,,
2,Potentilla argentea ,,,,,,,,,
2,Rumex crispus ,,,143,149,149,,179,,
2,Setaria glauca,,,,,,179,<300,,
2,Silene alba ,,,,,179,,<300,,
2,Solanum nigrum,,,,,,,,,
2,Tanacetum vulgare ,,,,,,,,,
2,Taraxacum officinale ,,,,,,,,,
2,Trifolium pratense ,,,,,,,,,
2,Trifolium repens ,,,,,,,,,
2,Veronica arvensis ,20,,,119,127,143,149,,
2,Sonchus asper,,,,,,,,,
2,Setaria viridens,,,,,,,,,
2,,,,,,,,,,
2,,,,,,,,,,
3,Achillea millefolium,2,,119,143,149,179,<300,,
3,Asclepias syriaca ,,,,,,,<300,,
3,Berteroa incana,,,,,,,,,
3,Capsella bursa-pastoris ,,,,,,,,,
3,Cerastium fontanum ,,,,,,,,,
3,conyza canadensis,,,,,,,<300,,
3,Dactylis glomerata ,,,134,143,149,,179,,
3,Digitaria ischaemum,,,,,,,,,
3,Draba verna ,,,,,,,,,
3,Elymus repens ,,,149,,179,,<300,,
3,Erigeron annuus ,,,,,,,,,
3,Festuca spp. ,3,,127,143,149,,179,,
3,lepidium virginicum,,,,,179,,<300,,
3,Oxalis stricta ,,,,134,,,179,,
3,Phleum pratense ,,,,,,,,,
3,Plantago lanceolata ,,,,,,,,,
3,Poa trivialis,5,,119,134,,149,179,,
3,Potentilla argentea ,,,,143,,,<300,,
3,Rumex crispus ,,,,,,,,,
3,Setaria glauca,,,,,,,,,
3,Silene alba ,,,,143,,179,<300,,
3,Tanacetum vulgare ,,,,,,,,,
3,Taraxacum officinale ,,,,,,,,,
3,Trifolium pratense ,,,,,,,,,
3,Trifolium repens ,,,,,,,,,
3,Veronica arvensis ,10,,,,112,,143,,
3,Lamium amplexicaula,1,,,119,,,<300,,
3,,,,,,,,,,
3,,,,,,,,,,
4,Achillea millefolium,,,,,,,,,
4,Asclepias syriaca ,,,,,,,,,
4,Berteroa incana,,,,,,,,,
4,Capsella bursa-pastoris ,,,,,,,,,
4,Cerastium fontanum ,1,,,128,134,143,149,,
4,Conyza canadensis,,,,179,,,<300,,
4,Dactylis glomerata ,1,,127,,,149,179,,
4,Digitaria ischaemum,,,,,,,,,
4,Draba verna ,,,,,,,,,
4,Elymus repens ,,,143,,179,,<300,,
4,Erigeron annuus ,,,,,,,,,
4,Festuca spp. ,,,,143,149,,179,,
4,Lepidium virginicum,,,,,179,,<300,,
4,Oxalis stricta ,5,,119,134,,143,179,,
4,Phleum pratense ,,,,,,,,,
4,Plantago lanceolata ,,,,,,,,,
4,Poa trivialis,,,,,,,,,
4,Polygonum aviculare,,,,,,,,,
4,Polygonum aviculare,,,,,,,,,
4,Portulaca oleracea,,,,,,,,,
4,Potentilla argentea ,,,,,,,,,
4,Rumex crispus ,1,127,,,,,143,,
4,Setaria glauca,,,,,,,,,
4,Silene alba ,10,,119,,134,149,,,
4,Solanum nigrum,,,,,,,,,
4,Tanacetum vulgare ,,,,,,,,,
4,Taraxacum officinale ,,,,,,,,,
4,Trifolium pratense ,,,,,,,,,
4,Trifolium repens ,,,,,,,,,
4,Veronica arvensis ,10,,,,112,134,143,,
4,,,,,,,,,,
4,,,,,,,,,,
5,Achillea millefolium,,,,,150,179,<300,,
5,Asclepias syriaca ,,,,,,,,,
5,Berteroa incana,,,,,,,,,
5,Capsella bursa-pastoris ,,2,,,,143,<300,,
5,Cardamine hirsuta,2,,,112,,119,134,,
5,Cerastium fontanum ,2,,,128,134,143,179,,
5,Chenopodium album,,,,,,,,,
5,Conyza canadensis,,,,,,,,,
5,Dactylis glomerata ,8,,127,,143,149,179,,
5,Digitaria ischaemum,,,,,,,<300,,
5,Draba verna ,2,,,112,,119,127,,
5,Elymus repens ,,,,,,,,,
5,Erigeron annuus ,,,,,,,,,
5,Festuca sp.,2,,143,,149,,<300,,
5,Lepidium virginicum,,,,179,,,<300,,
5,Oenothera biennis,,,,,,,,,
5,Oxalis stricta ,,,,,,,,,
5,Phleum pratense ,,,,,,,,,
5,Phytolacca americana,,,,,,,,,
5,Plantago lanceolata ,,,,,,,,,
5,Poa trivialis,3,,127,,143,149,179,,
5,Potentilla argentea ,,,,,,,,,
5,Rumex crispus ,,,143,,,143,<300,,
5,Senecio vulgaris,,,,,,,,,
5,Setaria glauca,,,,,,,,,
5,Silene alba ,,,,,,,,,
5,Tanacetum vulgare ,,,,,,,,,
5,Taraxacum officinale ,,,,,,,,,
5,Trifolium pratense ,,,,,,,,,
5,Trifolium repens ,,,,,,,,,
5,Veronica arvensis ,2,,,,127,,134,,
5,Linneria vulgaris,,,179,,,,<300,,
5,Setaria viridens,,,,,,,,,
5,,,,,,,,,,
5,,,,,,,,,,
6,Achillea millefolium,,,,,,,,,
6,Asclepias syriaca ,,10,143,,,179,<300,,
6,Berteroa incana,,,,,,,,,
6,Capsella bursa-pastoris ,,,,,,,,,
6,Cerastium fontanum ,,,,134,,143,150,,
6,Conyza canadensis,,,,,,,,,
6,Dactylis glomerata ,2,,127,143,,,179,,
6,Digitaria ischaemum,,,,,,,,,
6,Draba verna ,,,,,,,,,
6,Elymus repens ,,,143,,179,,<300,,
6,Erigeron annuus ,,,,,,,,,
6,Festuca spp. ,,,,,,,,,
6,Lepidium virginicum,,,,,,,,,
6,Linneria vulgaris,,,,,,,<300,,
6,Oenothera biennis,,,,,,,,,
6,Oxalis stricta ,,,,,,,,,
6,Phleum pratense ,,,,,,,,,
6,Plantago lanceolata ,,,,,,,,,
6,Poa trivialis,,,,143,150,,179,,
6,Potentilla argentea ,,,,,,,,,
6,Rumex crispus ,,,,,,,,,
6,Setaria glauca,,,,,,,<300,,
6,Silene alba ,,,,,,,,,
6,Tanacetum vulgare ,,,,,,,,,
6,Taraxacum officinale ,,,,,,,,,
6,Trifolium pratense ,,,,,,,,,
6,Trifolium repens ,,,,,,,,,
6,Veronica arvensis ,15,,,119,,134,143,,
6,,,,,,,,,,
6,,,,,,,,,,
7,Achillea millefolium,,,,,,,,,
7,Asclepias syriaca ,,,,,,,,,
7,Berteroa incana,,,,,,,,,
7,Capsella bursa-pastoris ,,,,,,,,,
7,Cerastium fontanum ,,,,150,,,179,,
7,Conyza canadensis,,,,,,,,,
7,Dactylis glomerata ,,,,,,,,,
7,Draba verna ,,,,,,,,,
7,Elymus repens ,,,,,,,,,
7,Erigeron annuus ,,,,,,,,,
7,Festuca spp. ,,,,,,,,,
7,Lepidium virginicum,,,,,,,,,
7,Linneria vulgaris,,,,,,,,,
7,Oxalis stricta ,2,,,143,,,<300,,
7,Phleum pratense ,,,,,,,,,
7,Plantago lanceolata ,5,,127,143,150,,179,,
7,Poa trivialis,,,,,,,,,
7,Potentilla argentea ,,,,,,,,,
7,Rumex crispus ,,,,,,,,,
7,Setaria glauca,,,,,,,,,
7,Silene alba ,,,,,,,,,
7,Tanacetum vulgare ,,,,,,,,,
7,Taraxacum officinale ,,3,,127,,134,150,,
7,Trifolium pratense ,,,,,,,,,
7,Trifolium repens ,,,,,,,,,
7,Veronica arvensis ,4,,,128,,134,150,,
7,Oenothera biennis,,,,,,,,,
7,,,,,,,,,,
7,,,,,,,,,,
8,Achillea millefolium,,,,,,,,,
8,Asclepias syriaca ,,,,150,150,,<300,,
8,Berteroa incana,,,,,,,,,
8,Capsella bursa-pastoris ,,,,,,,,,
8,Cerastium fontanum ,,,,,,,,,
8,Conyza canadensis,,,,,,,,,
8,Dactylis glomerata ,,150,,,150,,<300,"Datasheet had 150 under # of plants, probably goes to floral buds",
8,Draba verna ,,,,,,,,,
8,Elymus repens ,,,,,,,,,
8,Erigeron annuus ,,,,,,,,,
8,Festuca spp. ,,,,,,,,,
8,Lepidium virginicum,,,,,,,,,
8,Oenothera biennis,,,,,,,,,
8,Oxalis stricta ,,,,,,,,,
8,Phleum pratense ,,,,,,,,,
8,Plantago lanceolata ,,,,,,179,<300,,
8,Poa trivialis,20,,127,,143,,179,,
8,Potentilla argentea ,,,,,,,,,
8,Rumex crispus ,,2,143,,,,150,,
8,Setaria glauca,,,,,,,,,
8,Silene alba ,,,,150,,,<300,,
8,Tanacetum vulgare ,,,,,,,,,
8,Taraxacum officinale ,,5,,127,,,134,,
8,Trifolium pratense ,,,,,,,,,
8,Trifolium repens ,,,,,,,,,
8,Veronica arvensis ,3,,,127,,134,143,,
8,,,,,,,,,,
8,,,,,,,,,,
9,Achillea millefolium,,,,,,,,,
9,Asclepias syriaca ,,,134,143,,,<300,,
9,Berteroa incana,,,,,,,,,
9,Capsella bursa-pastoris ,,,,,,,,,
9,Cerastium fontanum ,,,,134,,,<300,,
