plot,date,day of year,year,decimal year,day,VWC
1,1/8/13,8,2013,,1834,0.227
2,1/8/13,8,2013,,1834,0.251
3,1/8/13,8,2013,,1834,0.23
4,1/8/13,8,2013,,1834,0.235
5,1/8/13,8,2013,,1834,0.258
6,1/8/13,8,2013,,1834,0.238
7,1/8/13,8,2013,,1834,0.273
8,1/8/13,8,2013,,1834,0.276
9,1/8/13,8,2013,,1834,0.283
10,1/8/13,8,2013,,1834,0.285
11,1/8/13,8,2013,,1834,0.282
12,1/8/13,8,2013,,1834,0.294
13,1/8/13,8,2013,,1834,0.238
14,1/8/13,8,2013,,1834,0.275
15,1/8/13,8,2013,,1834,0.314
16,1/8/13,8,2013,,1834,0.288
17,1/8/13,8,2013,,1834,0.275
18,1/8/13,8,2013,,1834,0.298
19,1/8/13,8,2013,,1834,0.275
20,1/8/13,8,2013,,1834,0.292
21,1/8/13,8,2013,,1834,0.294
22,1/8/13,8,2013,,1834,0.173
23,1/8/13,8,2013,,1834,0.211
24,1/8/13,8,2013,,1834,0.233
25,1/8/13,8,2013,,1834,0.273
26,1/8/13,8,2013,,1834,0.28
27,1/8/13,8,2013,,1834,0.247
28,1/8/13,8,2013,,1834,0.274
29,1/8/13,8,2013,,1834,0.206
30,1/8/13,8,2013,,1834,0.258
31,1/8/13,8,2013,,1834,0.247
32,1/8/13,8,2013,,1834,0.287
33,1/8/13,8,2013,,1834,0.256
34,1/8/13,8,2013,,1834,0.279
35,1/8/13,8,2013,,1834,0.229
36,1/8/13,8,2013,,1834,0.189
1,2/20/13,51,2013,,1877,0.267
2,2/20/13,51,2013,,1877,0.27
3,2/20/13,51,2013,,1877,0.251
4,2/20/13,51,2013,,1877,0.259
5,2/20/13,51,2013,,1877,0.265
6,2/20/13,51,2013,,1877,0.242
7,2/20/13,51,2013,,1877,0.284
8,2/20/13,51,2013,,1877,0.291
9,2/20/13,51,2013,,1877,0.3
10,2/20/13,51,2013,,1877,0.298
11,2/20/13,51,2013,,1877,0.296
12,2/20/13,51,2013,,1877,0.265
13,2/20/13,51,2013,,1877,0.238
14,2/20/13,51,2013,,1877,.
15,2/20/13,51,2013,,1877,0.274
16,2/20/13,51,2013,,1877,0.262
17,2/20/13,51,2013,,1877,.
18,2/20/13,51,2013,,1877,0.247
19,2/20/13,51,2013,,1877,0.249
20,2/20/13,51,2013,,1877,0.264
21,2/20/13,51,2013,,1877,0.204
22,2/20/13,51,2013,,1877,.
23,2/20/13,51,2013,,1877,0.187
24,2/20/13,51,2013,,1877,0.258
25,2/20/13,51,2013,,1877,0.247
26,2/20/13,51,2013,,1877,0.254
27,2/20/13,51,2013,,1877,0.226
28,2/20/13,51,2013,,1877,.
29,2/20/13,51,2013,,1877,.
30,2/20/13,51,2013,,1877,.
31,2/20/13,51,2013,,1877,0.217
32,2/20/13,51,2013,,1877,0.26
33,2/20/13,51,2013,,1877,0.248
34,2/20/13,51,2013,,1877,0.267
35,2/20/13,51,2013,,1877,0.235
36,2/20/13,51,2013,,1877,.
1,3/26/13,85,2013,,1911,0.285
2,3/26/13,85,2013,,1911,0.248
3,3/26/13,85,2013,,1911,0.236
4,3/26/13,85,2013,,1911,0.24
5,3/26/13,85,2013,,1911,0.26
6,3/26/13,85,2013,,1911,0.237
7,3/26/13,85,2013,,1911,0.285
8,3/26/13,85,2013,,1911,0.23
9,3/26/13,85,2013,,1911,0.262
10,3/26/13,85,2013,,1911,0.272
11,3/26/13,85,2013,,1911,0.262
12,3/26/13,85,2013,,1911,0.28
13,3/26/13,85,2013,,1911,0.203
14,3/26/13,85,2013,,1911,0.265
15,3/26/13,85,2013,,1911,0.288
16,3/26/13,85,2013,,1911,0.252
17,3/26/13,85,2013,,1911,0.125
18,3/26/13,85,2013,,1911,0.23
19,3/26/13,85,2013,,1911,0.185
20,3/26/13,85,2013,,1911,0.198
21,3/26/13,85,2013,,1911,0.24
