plot,date,day of year,year,decimal year,day,VWC,comments,
1,3/1/11,60,2011,2011.161644,1156,0.301,,
2,3/1/11,60,2011,2011.161644,1156,0.226,,
3,3/1/11,60,2011,2011.161644,1156,0.288,,
4,3/1/11,60,2011,2011.161644,1156,0.294,,
5,3/1/11,60,2011,2011.161644,1156,0.292,,
6,3/1/11,60,2011,2011.161644,1156,0.29,,
7,3/1/11,60,2011,2011.161644,1156,0.333,,
8,3/1/11,60,2011,2011.161644,1156,0.29,,
9,3/1/11,60,2011,2011.161644,1156,0.27,,
10,3/1/11,60,2011,2011.161644,1156,0.308,,
11,3/1/11,60,2011,2011.161644,1156,.,,
12,3/1/11,60,2011,2011.161644,1156,.,,
13,3/1/11,60,2011,2011.161644,1156,0.291,,
14,3/1/11,60,2011,2011.161644,1156,0.254,,
15,3/1/11,60,2011,2011.161644,1156,0.304,,
16,3/1/11,60,2011,2011.161644,1156,0.244,,
17,3/1/11,60,2011,2011.161644,1156,0.223,,
18,3/1/11,60,2011,2011.161644,1156,0.295,,
19,3/1/11,60,2011,2011.161644,1156,0.259,,
20,3/1/11,60,2011,2011.161644,1156,0.269,,
21,3/1/11,60,2011,2011.161644,1156,0.31,,
22,3/1/11,60,2011,2011.161644,1156,.,,
23,3/1/11,60,2011,2011.161644,1156,0.301,,
24,3/1/11,60,2011,2011.161644,1156,0.307,,
25,3/1/11,60,2011,2011.161644,1156,.,,
26,3/1/11,60,2011,2011.161644,1156,.,,
27,3/1/11,60,2011,2011.161644,1156,.,,
28,3/1/11,60,2011,2011.161644,1156,.,,
29,3/1/11,60,2011,2011.161644,1156,.,,
30,3/1/11,60,2011,2011.161644,1156,.,,
31,3/1/11,60,2011,2011.161644,1156,.,,
32,3/1/11,60,2011,2011.161644,1156,.,,
33,3/1/11,60,2011,2011.161644,1156,.,,
34,3/1/11,60,2011,2011.161644,1156,.,,
35,3/1/11,60,2011,2011.161644,1156,.,,
36,3/1/11,60,2011,2011.161644,1156,.,,
1,3/2/11,61,2011,2011.164384,1157,.,,
2,3/2/11,61,2011,2011.164384,1157,.,,
3,3/2/11,61,2011,2011.164384,1157,.,,
4,3/2/11,61,2011,2011.164384,1157,.,,
5,3/2/11,61,2011,2011.164384,1157,.,,
6,3/2/11,61,2011,2011.164384,1157,.,,
7,3/2/11,61,2011,2011.164384,1157,.,,
8,3/2/11,61,2011,2011.164384,1157,.,,
9,3/2/11,61,2011,2011.164384,1157,.,,
10,3/2/11,61,2011,2011.164384,1157,.,,
11,3/2/11,61,2011,2011.164384,1157,.,,
12,3/2/11,61,2011,2011.164384,1157,.,,
13,3/2/11,61,2011,2011.164384,1157,.,,
14,3/2/11,61,2011,2011.164384,1157,.,,
15,3/2/11,61,2011,2011.164384,1157,.,,
16,3/2/11,61,2011,2011.164384,1157,.,,
17,3/2/11,61,2011,2011.164384,1157,.,,
18,3/2/11,61,2011,2011.164384,1157,.,,
19,3/2/11,61,2011,2011.164384,1157,.,,
20,3/2/11,61,2011,2011.164384,1157,.,,
21,3/2/11,61,2011,2011.164384,1157,.,,
22,3/2/11,61,2011,2011.164384,1157,.,,
23,3/2/11,61,2011,2011.164384,1157,.,,
24,3/2/11,61,2011,2011.164384,1157,.,,
25,3/2/11,61,2011,2011.164384,1157,0.19,,
26,3/2/11,61,2011,2011.164384,1157,.,,
27,3/2/11,61,2011,2011.164384,1157,0.211,,
28,3/2/11,61,2011,2011.164384,1157,0.23,,
29,3/2/11,61,2011,2011.164384,1157,0.218,,
30,3/2/11,61,2011,2011.164384,1157,0.251,,
31,3/2/11,61,2011,2011.164384,1157,0.256,,
32,3/2/11,61,2011,2011.164384,1157,0.25,,
33,3/2/11,61,2011,2011.164384,1157,0.249,,
34,3/2/11,61,2011,2011.164384,1157,0.257,,
35,3/2/11,61,2011,2011.164384,1157,.,,
36,3/2/11,61,2011,2011.164384,1157,0.269,,
1,3/14/11,73,2011,2011.19726,1169,0.211,,
2,3/14/11,73,2011,2011.19726,1169,0.25,,
3,3/14/11,73,2011,2011.19726,1169,0.248,,
4,3/14/11,73,2011,2011.19726,1169,0.267,,
5,3/14/11,73,2011,2011.19726,1169,0.264,,
6,3/14/11,73,2011,2011.19726,1169,0.266,,
7,3/14/11,73,2011,2011.19726,1169,0.294,,
8,3/14/11,73,2011,2011.19726,1169,0.256,,
9,3/14/11,73,2011,2011.19726,1169,0.246,,
10,3/14/11,73,2011,2011.19726,1169,0.276,,
11,3/14/11,73,2011,2011.19726,1169,.,,
12,3/14/11,73,2011,2011.19726,1169,0.282,,
13,3/14/11,73,2011,2011.19726,1169,0.24,,
14,3/14/11,73,2011,2011.19726,1169,0.238,,
15,3/14/11,73,2011,2011.19726,1169,0.274,,
16,3/14/11,73,2011,2011.19726,1169,0.222,,
17,3/14/11,73,2011,2011.19726,1169,0.206,,
18,3/14/11,73,2011,2011.19726,1169,0.252,,
19,3/14/11,73,2011,2011.19726,1169,0.241,,
20,3/14/11,73,2011,2011.19726,1169,0.257,,
21,3/14/11,73,2011,2011.19726,1169,0.285,,
22,3/14/11,73,2011,2011.19726,1169,.,,
23,3/14/11,73,2011,2011.19726,1169,0.243,,
24,3/14/11,73,2011,2011.19726,1169,0.253,,
25,3/14/11,73,2011,2011.19726,1169,0.242,,
26,3/14/11,73,2011,2011.19726,1169,.,,
27,3/14/11,73,2011,2011.19726,1169,0.187,,
28,3/14/11,73,2011,2011.19726,1169,0.205,,
29,3/14/11,73,2011,2011.19726,1169,0.211,,
30,3/14/11,73,2011,2011.19726,1169,0.239,,
31,3/14/11,73,2011,2011.19726,1169,0.239,,
32,3/14/11,73,2011,2011.19726,1169,0.219,,
33,3/14/11,73,2011,2011.19726,1169,0.234,,
34,3/14/11,73,2011,2011.19726,1169,0.248,,
35,3/14/11,73,2011,2011.19726,1169,.,,
36,3/14/11,73,2011,2011.19726,1169,0.249,,
1,3/17/11,77,2011,2011.208219,1173,.,,
2,3/17/11,77,2011,2011.208219,1173,.,,
3,3/17/11,77,2011,2011.208219,1173,.,,
4,3/17/11,77,2011,2011.208219,1173,.,,
5,3/17/11,77,2011,2011.208219,1173,.,,
6,3/17/11,77,2011,2011.208219,1173,.,,
7,3/17/11,77,2011,2011.208219,1173,.,,
8,3/17/11,77,2011,2011.208219,1173,.,,
9,3/17/11,77,2011,2011.208219,1173,.,,
10,3/17/11,77,2011,2011.208219,1173,.,,
11,3/17/11,77,2011,2011.208219,1173,0.289,,
12,3/17/11,77,2011,2011.208219,1173,.,,
13,3/17/11,77,2011,2011.208219,1173,.,,
14,3/17/11,77,2011,2011.208219,1173,.,,
15,3/17/11,77,2011,2011.208219,1173,.,,
16,3/17/11,77,2011,2011.208219,1173,.,,
17,3/17/11,77,2011,2011.208219,1173,.,,
18,3/17/11,77,2011,2011.208219,1173,.,,
19,3/17/11,77,2011,2011.208219,1173,.,,
20,3/17/11,77,2011,2011.208219,1173,.,,
21,3/17/11,77,2011,2011.208219,1173,.,,
22,3/17/11,77,2011,2011.208219,1173,0.235,,
23,3/17/11,77,2011,2011.208219,1173,.,,
24,3/17/11,77,2011,2011.208219,1173,.,,
25,3/17/11,77,2011,2011.208219,1173,.,,
26,3/17/11,77,2011,2011.208219,1173,0.241,,
27,3/17/11,77,2011,2011.208219,1173,.,,
28,3/17/11,77,2011,2011.208219,1173,.,,
29,3/17/11,77,2011,2011.208219,1173,.,,
30,3/17/11,77,2011,2011.208219,1173,.,,
31,3/17/11,77,2011,2011.208219,1173,.,,
32,3/17/11,77,2011,2011.208219,1173,.,,
33,3/17/11,77,2011,2011.208219,1173,.,,
34,3/17/11,77,2011,2011.208219,1173,.,,
35,3/17/11,77,2011,2011.208219,1173,0.249,,
36,3/17/11,77,2011,2011.208219,1173,.,,
1,3/30/11,90,2011,2011.243836,1186,0.179,,
2,3/30/11,90,2011,2011.243836,1186,0.214,,
3,3/30/11,90,2011,2011.243836,1186,0.262,,
4,3/30/11,90,2011,2011.243836,1186,0.251,,
5,3/30/11,90,2011,2011.243836,1186,0.249,,
6,3/30/11,90,2011,2011.243836,1186,0.244,,
