block,Plot,humidity treatment,temperature treatment,line,column,species,population,transplanted following germination failure,sowing,9,55,65,85,95
a,1,H,T+,1,4,aa,1,1,15/4/02,13/5/02,4/9/02,20/9/02,1/11/02,26/11/02
a,1,H,T+,3,5,aa,2,1,15/4/02,13/5/02,4/9/02,19/9/02, ,26/11/02
a,1,H,T+,4,1,aa,3,1,15/4/02,13/5/02,4/9/02,1/10/02, ,26/11/02
a,1,H,T+,4,7,aa,3,1,15/4/02,13/5/02,4/9/02,25/9/02, ,26/11/02
a,1,H,T+,6,3,aa,2,0,15/4/02,2/5/02,4/9/02,20/9/02, ,26/11/02
a,1,H,T+,7,6,aa,1,0,15/4/02,2/5/02, , , ,
a,1,H,T+,9,3,aa,2,0,15/4/02,29/4/02,12/9/02,30/9/02, ,4/9*
a,1,H,T+,9,8,aa,1,1,15/4/02,13/5/02,4/9/02,20/9/02, ,26/11/02
a,1,H,T+,11,7,aa,2,0,15/4/02,8/5/02,17/9/02,1/10/02, ,26/11/02
a,1,H,T+,13,2,aa,1,0,15/4/02,29/4/02,4/9/02,25/9/02, ,26/11/02
a,1,H,T+,13,4,aa,3,1,15/4/02,13/5/02,4/9/02,25/9/02, ,26/11/02
a,1,H,T+,13,6,aa,3,0,,, , , ,
a,1,H,T+,1,5,ad,1,0,,, , , ,
a,1,H,T+,3,6,ad,2,0,15/4/02,2/5/02,26/7/02, , ,
a,1,H,T+,5,3,ad,2,0,15/4/02,20/5/02, , , ,
a,1,H,T+,5,8,ad,3,0,15/4/02,21/5/02, , , ,
a,1,H,T+,7,1,ad,3,0,15/4/02,17/5/02, , , ,
a,1,H,T+,7,4,ad,1,0,,, , , ,5/8/02
a,1,H,T+,9,2,ad,1,1,15/4/02,3/5/02, , , ,
a,1,H,T+,9,6,ad,4,0,,, , , ,
a,1,H,T+,10,4,ad,3,0,15/4/02,21/5/02, , , ,
a,1,H,T+,12,6,ad,2,0,,, , , ,
a,1,H,T+,13,3,ad,2,0,15/4/02,20/5/02, , , ,
a,1,H,T+,15,7,ad,1,1,15/4/02,3/5/02,21/6/02, , ,
a,1,H,T+,1,2,ar,2,0,15/4/02,25/4/02,* 02/07/2002,,* 01/08/2002,
a,1,H,T+,2,5,ar,3,1,15/4/02,21/5/02, , , ,
a,1,H,T+,3,7,ar,1,1,15/4/02,21/5/02, , , ,
a,1,H,T+,4,2,ar,3,1,15/4/02,3/5/02, , , ,
a,1,H,T+,5,1,ar,1,0,15/4/02,22/4/02,18/6/02,21/6/02,23/7/02,4/9/02
a,1,H,T+,5,5,ar,2,0,15/4/02,25/4/02,14/6/02,21/6/02,16/7/02,4/9*
a,1,H,T+,8,6,ar,2,0,,, , , ,
a,1,H,T+,10,2,ar,3,0,15/4/02,19/4/02, , , ,
a,1,H,T+,11,1,ar,1,0,15/4/02,19/4/02, , , ,
a,1,H,T+,12,4,ar,3,1,15/4/02,21/5/02, , , ,
a,1,H,T+,13,7,ar,1,0,15/4/02,19/4/02,28/6/02,2/7/02,23/7/02,4/9*
