Site,Tag,Species,SeedOrigin,Chamber,ChSide,ChRow,ChCol,GermDate,SpringSeeder,CensInDate,DatePlanted,DeathDate,PossibleDeathDate,CensorDate,Path_Harvest,MIA,Status,Phen_04.15.10,Phen_04.21.10,Phen_04.30.10,Phen_05.17.10,Phen_05.24.10,Phen_06.16.10,Phen_07.07.10,Phen_08.02.10,Phen_04.20.11,Phen_05.05.11,Phen_05.26.11,Phen_06.13.11,Phen_07.26.11,Phen_02.27.12,Phen_03.07.12,Phen_03.15.12,Phen_03.21.12,Phen_03.26.12,Phen_04.03.12,Phen_04.12.12,Phen_04.17.12,Phen_05.04.12,Phen_05.09.12,Phen_05.31.12,Phen_07.16.12,Phen_08.13.12,Phen_05.13.14
HF,8149,litu,KY_NA_Planted_C,G08_3,1,2,1,5/9/2012,NA,NA,5/16/2011,9/23/2013,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,6,NA
HF,11412,fram,PA_NA_Planted_A,G08_3,1,4,7,NA,NA,4/17/2012,10/14/2010,9/23/2013,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,5,6,6,NA
HF,2499,bele,MA_Worcester_Natural,G08_3,1,8,2,6/16/2010,NA,NA,NA,NA,NA,8/19/2011,NA,NA,0,NA,NA,NA,NA,NA,6,5,6,2,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,8129,acru,NC_Orange_Planted_B,G08_3,1,10,5,5/31/2012,NA,NA,5/16/2011,7/16/2012,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
HF,8828,acru,NC_Orange_Planted_B,G08_3,1,10,6,5/5/2011,NA,NA,6/17/2010,4/17/2012,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,6,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
HF,3371,qual,NC_Durham_Planted_A,G08_3,1,12,5,4/21/2010,NA,NA,10/1/2009,NA,NA,8/13/2012,NA,NA,0,NA,4,5,5,5,5,5,6,2,4,6,6,6,NA,1,1,1,2,2,3,4,4,5,6,6,6,NA
HF,10437,pist,MA_Worcester_Natural,G08_3,1,14,2,7/27/2009,NA,NA,NA,9/28/2009,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,10484,pist,MA_Worcester_Natural,G08_3,1,15,4,7/27/2009,NA,NA,NA,9/28/2009,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,8047,piun,MA_Worcester_Natural,G08_3,1,16,4,7/16/2012,NA,NA,NA,8/13/2012,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
HF,10739,pire,MA_Worcester_Natural,G08_3,1,17,3,9/28/2009,NA,NA,NA,8/13/2012,NA,NA,NA,NA,0,5,3,3,5,5,5,5,6,2,2,3,6,6,NA,1,1,2,1,2,2,2,2,3,4,4,NA,NA
HF,10457,acru,MA_Worcester_Natural,G08_3,1,17,5,7/27/2009,NA,NA,NA,NA,NA,7/16/2012,NA,NA,0,5,5,5,5,6,5,5,6,2,4,5,6,6,NA,2,1,2,2,2,3,4,4,6,6,6,NA,NA
HF,8099,pita,GA_NA_Planted_B,G08_3,1,17,7,7/16/2012,NA,NA,5/16/2011,9/23/2013,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA
HF,11444,prun,MA_Worcester_Natural,G08_3,1,19,5,NA,NA,4/17/2012,NA,5/9/2012,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA
HF,11494,prun,MA_Worcester_Natural,G08_3,1,19,5,NA,NA,4/17/2012,NA,5/9/2012,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA
HF,3128,litu,KY_NA_Planted_B,G08_3,1,21,5,6/16/2010,NA,NA,3/17/2010,NA,NA,8/19/2011,NA,NA,0,NA,NA,NA,NA,NA,2,5,4,2,4,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,9876,beun,MA_Worcester_Natural,G08_3,1,23,5,8/2/2010,NA,NA,NA,NA,NA,8/19/2011,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3,2,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,3182,litu,KY_NA_Planted_A,G08_3,1,25,2,6/16/2010,NA,NA,6/17/2009,NA,NA,8/13/2012,NA,NA,0,NA,NA,NA,NA,NA,4,5,5,2,4,3,6,6,NA,1,1,1,2,2,2,4,5,5,6,6,6,NA
