times,year,month,day,JD,JD2009,dayFraction,G01Q,G02Q,G03Q,G04Q,G05Q,G06Q,G07Q,G08Q,G09Q,G10Q,G11Q,G12Q,S01Q,S02Q,S03Q,S04Q,S05Q,S06Q,S07Q,S08Q,S09Q,S10Q,S11Q,S12Q
264.417,2009,9,22,-101,264,0.417,225,295.5,302.2,NA,361,NA,329.1,361,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.458,2009,9,22,-101,264,0.458,154.5,199.8,208.2,NA,213.2,NA,213.2,228.3,167.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.5,2009,9,22,-101,264,0.5,231.7,298.9,312.3,NA,315.6,NA,308.9,325.7,248.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.542,2009,9,22,-101,264,0.542,260.2,302.2,325.7,NA,330.8,NA,315.6,322.4,238.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.583,2009,9,22,-101,264,0.583,159.5,214.9,224.9,NA,224.9,NA,230,241.7,184.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.625,2009,9,22,-101,264,0.625,109.1,154.4,162.8,NA,142.7,NA,147.7,142.7,109.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.667,2009,9,22,-101,264,0.667,52.04,70.51,70.51,NA,75.54,NA,73.86,80.6,63.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.708,2009,9,22,-101,264,0.708,28.54,33.57,36.93,NA,35.25,NA,35.25,36.93,26.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.75,2009,9,22,-101,264,0.75,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.792,2009,9,22,-101,264,0.792,0,0,0,NA,0,NA,NA,0,1.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.833,2009,9,22,-101,264,0.833,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.875,2009,9,22,-101,264,0.875,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.917,2009,9,22,-101,264,0.917,0,0,0,NA,0,NA,1.679,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.958,2009,9,22,-101,264,0.958,0,0,0,NA,0,NA,1.679,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
