shortCode,longCode,genus,species,commonName
abfr,abieFras,Abies,fraseri,Fraser fir
abun,abieUNKN,Abies,spp,Maple
acfl,acerFlor,Acer,floridanum,southern sugar maple
acne,acerNegu,Acer,negundo,boxelder
acpe,acerPens,Acer,pensylvanicum,\
acru,acerRubr,Acer,rubrum,red maple
acsa,acerSacc,Acer,saccharum,sugar maple
acsp,acerSpic,Acer,spicatum,mountain maple
acun,acerUNKN,Acer,spp,unknown maple
aesy,aescSylv,Aesculus,sylvatica,painted buckeye
aepa,aescPavi,Aesculus,pavia,red buckeye
aeun,aescUNKN,Aesculus,spp,buckeye
aial,ailaAlti,Ailanthus,altissima,tree of heaven
amar,amelArbo,Amelanchier,arborea,common serviceberry
amla,amelLaev,Amelanchier,laevis,Allegheny serviceberry
amun,amelUNKN,Amelanchier ,spp,service berry
arsp,aralSpin,Aralia,spinosa,devil's walking stick
beal,betuAlle,Betula,alleghaniensis,yellow birch
bele,betuLent,Betula,lenta,sweet birch
bepa,betuPapy,Betula,papyrifera,paper birch
beun,betuUNKN,Betula,spp,Birch
caca,carpCaro,Carpinus,caroliniana,american hornbeam
caco,caryCord,Carya,cordiformis,bitternut hickory
cade,castDent,Castanea,dentata,american chestnut
cafl,calyFlor,Calycanthus,floridus,eastern sweetshrub
cagl,caryGlab,Carya,glabra,pignut hickory
caov,caryOvat,Carya,ovata,shagbark hickory
capu,castPumi,Castanea,pumila,chinkapin
cato,caryTome,Carya,tomentosa,mockernut hickory
caun,caryUNKN,Carya ,spp,Hickory
ceca,cercCana,Cercis,canadensis,eastern rudbud
cela,celtLaev,Celtis ,laevigata,sugarberry
chvi,chioVirg,Chionanthus,virginicus,white fringetree
coal,cornAlte,Cornus,alternifolia,alternateleaf dogwood
cofl,cornFlor,Cornus,florida,flowering dogwood
coam,coryAmer,Corylus,americana,american hazelnut
coco,coryCorn,Corylus,cornuta,beaked hazel
crma,cratMars,Crataegus,marshalli,parsley hawthorn
divi,diosVirg,Diospyros,virginiana,common persimmon
elum,elaeUmbe,Elaeagnus,umbellata,autumn olive
fagr,faguGran,Fagus,grandifolia,american beech
frca,franCaro,Frangula,caroliniana,carolina buckthorn
fram,fraxAmer,Fraxinus,americana,white ash
frpe,fraxPenn,Fraxinus,pennsylvanica,Red Ash
frun,fraxUNKN,Fraxinus,spp,Ash
gltr,gledTria,Gleditsia,triacanthos,honeylocust
haca,haleCaro,Halesia,carolina,carolina silverbell
hate,haleTetr,Halesia,tetraptera,mountian silverbell
havi,hamaVirg,Hamamelis,virginiana,american witchhazel
ilam,ilexAmbi,Ilex,ambigua,carolina holly
ilde,ilexDeci,Ilex,decidua,possumhaw
ilmo,ilexMont,Ilex,montana,mountain holly
ilop,ilexOpac,Ilex,opaca,american holly
ilve,ilexVert,Ilex,verticillata,winterberry
ilun,ilexUNKN,Ilex,spp,Holly
juni,juglNigr,Juglans,nigra_,black walnut
juvi,juniVirg,Juniperus,virginiana,eastern redcedar
kala,kalmLati,Kalmia,latifolia_,mountain laurel
libe,lindBenz,Lindera,benzoin  ,northern spicebush
list,liquStyr,Liquidambar,styraciflua,sweetgum
litu,liriTuli,Liriodendron,tulipifera,tuliptree
maac,magnAcum,Magnolia,acuminata,cucumber-tree
mafr,magnFras,Magnolia,fraseri,mountain magnolia
magr,magnGran,Magnolia,grandiflora,southern magnolia
matr,magnTrip,Magnolia,tripetala,umbrella tree
maun,magnUNKN,Magnolia,spp,Magnolia
mado,maluDome,Malus,domestica,domestic apple
moal,moruAlba,Morus,alba_,white mulberry
moru,moruRubr,Morus,rubra,red mulberry
moun,moruUNKN,Morus,spp,Mulberry
nysy,nyssSylv,Nyssa,sylvatica,blackgum
osvi,ostrVirg,Ostrya,virginiana,hophornbeam
oxar,oxydArbo,Oxydendrum,arboreum,sourwood
pato,paulTome,Paulownia,tomentosa,Princesstree
piec,pinuEchi,Pinus,echinata,shortleaf pine
pire,pinuResi,Pinus,resinosa,red pine
piri,pinuRigi,Pinus,rigida,pitch pine
piru,piceRube,Picea,rubens,spruce
pist,pinuStro,Pinus,strobus,eastern white pine
pita,pinuTaed,Pinus,taeda,loblolly pine
pivi,pinuVirg,Pinus,virginiana,virginia pine
piun,pinuUNKN,Pinus,spp,Pine
ploc,platOcci,Platanus,occidentalis,american sycamore
pogr,popuGran,Populus,grandidentata ,bigtooth aspen
prpe,prunPens,Prunus,pensylvanica,pin cherry
prse,prunSero,Prunus,serotina,black cherry
prun,prunUNKN,Prunus,spp,Cherry
pypu,pyruPube,Pyrularia,pubera_,buffalo nut
qual,querAlba,Quercus,alba,white oak
quco,querCocc,Quercus,coccinea,scarlet oak
qufa,querFalc,Quercus,falcata,southern red oak
qumo,querMont,Quercus,montana,chestnut oak
quma,querMari,Quercus,marilandica,blackjack oak
qumi,querMich,Quercus,michauxii,swamp chestnut oak
quph,querPhel,Quercus,phellos,willow oak
quru,querRubr,Quercus,rubra,northern red oak
qust,querStel,Quercus,stellata,post oak
quve,querVelu,Quercus,velutina,black oak
quun,querUNKN,Quercus,spp,Oak
rhco,rhusCopa,Rhus,copallinum,winged sumac
rhca,rhodCata,Rhododendron,catawbiense,purple laurel
rhma,rhodMaxi,Rhododendron,maximum,great laurel
rops,robiPseu,Robinia,pseudoacacia_,black locust
saca,sambCana,Sambucus,canadensis,american elderberry
saal,sassAlbi,Sassafras,albidum,sassafras
soam,sorbAmer,Sorbus,americana,American mountain ash
syti,sympTinc,Symplocos,tinctoria,common sweetleaf
tiam,tiliAmer,Tilia,americana,american basswood
tihe,tiliHeter,Tilia,heterophylla,white basswood
tsca,tsugCana,Tsuga,canadensis,eastern hemlock
ulal,ulmuAlat,Ulmus,alata,winged elm
ulam,ulmuAmer,Ulmus,americana,american elm
ulru,ulmuRubr,Ulmus,rubra Muh,slippery elm
ulun,ulmaUNKN,Ulmus,spp,Elm
vaar,vaccArbo,Vaccinium,arboreum ,sparkleberry
vaco,vaccCory,Vaccinium,corymbosum,highbush blueberry
vaun,vaccUNKN,Vaccinium,spp,berry bush
vide,vibuDent,Viburnum,dentatum,southern arrowwood
vila,vibuLant,Viburnum,lantanoides,hobblebush
vipr,vibuPrun,Viburnum,prunifolium_,blackhaw
vira,vibuRafi,Viburnum,rafinesqueanum,downy arrowwood
viru,vibuRufi,Viburnum,rufidulum,rusty blackhaw
viun,vibuUNKN,Viburnum,spp,Viburnum
unkn,unknUNKN,Unknown,Unknown,unknown
acba,,Acer,barbatum,southern sugar maple
pipa,,Pinus,palustris,
mavi,,Magnolia,virginiana,
ilvo,,Ilex,vomitoria,yaupon holly
quni,,Quercus,nigra,water oak
qula,,Quercus,laurifolia,(laurel oak
obst,,Ob,st,
lele,,Le,le,
acun,,Acer,spp,
acru ,acerRubr,Acer,rubrum,red maple
