CO2	Heat	Water	Nutrient	plot	quad	year	species	relabund	flowerdate	funcgroup
1	1	2	1	1	1	2000	Avena	0.282608696	90	1
1	1	2	1	1	1	2000	Bromusd	0		1
1	1	2	1	1	1	2000	Bromush	0.086956522	74	1
1	1	2	1	1	1	2000	Lolium	0.391304348		1
1	1	2	1	1	1	2000	Vulpia	0		1
1	1	2	1	1	1	2000	Crepis	0		2
1	1	2	1	1	1	2000	Erodium	0		2
1	1	2	1	1	1	2000	Geranium	0.152173913	93	2
1	1	2	1	1	1	2000	Vicia	0.086956522	98	2
1	1	1	2	1	2	2000	Avena	0.186046512	90	1
1	1	1	2	1	2	2000	Bromusd	0		1
1	1	1	2	1	2	2000	Bromush	0.023255814	79	1
1	1	1	2	1	2	2000	Lolium	0.604651163		1
1	1	1	2	1	2	2000	Vulpia	0		1
1	1	1	2	1	2	2000	Crepis	0		2
1	1	1	2	1	2	2000	Erodium	0		2
1	1	1	2	1	2	2000	Geranium	0.139534884	93	2
1	1	1	2	1	2	2000	Vicia	0.046511628	90	2
1	1	1	1	1	3	2000	Avena	0.386363636	79	1
1	1	1	1	1	3	2000	Bromusd	0.022727273		1
1	1	1	1	1	3	2000	Bromush	0.068181818	74	1
1	1	1	1	1	3	2000	Lolium	0.181818182		1
1	1	1	1	1	3	2000	Vulpia	0		1
1	1	1	1	1	3	2000	Crepis	0		2
1	1	1	1	1	3	2000	Erodium	0.204545455		2
1	1	1	1	1	3	2000	Geranium	0.068181818	93	2
1	1	1	1	1	3	2000	Vicia	0.068181818	93	2
1	1	2	2	1	4	2000	Avena	0.311111111	79	1
1	1	2	2	1	4	2000	Bromusd	0.044444444	82	1
1	1	2	2	1	4	2000	Bromush	0.133333333	66	1
1	1	2	2	1	4	2000	Lolium	0.311111111		1
1	1	2	2	1	4	2000	Vulpia	0		1
1	1	2	2	1	4	2000	Crepis	0		2
1	1	2	2	1	4	2000	Erodium	0		2
1	1	2	2	1	4	2000	Geranium	0.111111111	93	2
1	1	2	2	1	4	2000	Vicia	0.088888889	98	2
2	2	2	2	2	1	2000	Avena	0.14	90	1
2	2	2	2	2	1	2000	Bromusd	0		1
2	2	2	2	2	1	2000	Bromush	0.18	79	1
2	2	2	2	2	1	2000	Lolium	0.56		1
2	2	2	2	2	1	2000	Vulpia	0		1
2	2	2	2	2	1	2000	Crepis	0		2
2	2	2	2	2	1	2000	Erodium	0		2
2	2	2	2	2	1	2000	Geranium	0.1	82	2
2	2	2	2	2	1	2000	Vicia	0.02	93	2
2	2	1	2	2	2	2000	Avena	0.06122449	87	1
2	2	1	2	2	2	2000	Bromusd	0		1
2	2	1	2	2	2	2000	Bromush	0.346938776	69	1
2	2	1	2	2	2	2000	Lolium	0.510204082		1
2	2	1	2	2	2	2000	Vulpia	0		1
2	2	1	2	2	2	2000	Crepis	0.020408163		2
2	2	1	2	2	2	2000	Erodium	0		2
2	2	1	2	2	2	2000	Geranium	0.06122449	87	2
2	2	1	2	2	2	2000	Vicia	0	87	2
2	2	2	1	2	3	2000	Avena	0.153846154	79	1
2	2	2	1	2	3	2000	Bromusd	0		1
2	2	2	1	2	3	2000	Bromush	0.358974359	69	1
2	2	2	1	2	3	2000	Lolium	0.230769231		1
2	2	2	1	2	3	2000	Vulpia	0		1
2	2	2	1	2	3	2000	Crepis	0.025641026		2
2	2	2	1	2	3	2000	Erodium	0		2
2	2	2	1	2	3	2000	Geranium	0.179487179	87	2
2	2	2	1	2	3	2000	Vicia	0.051282051	90	2
2	2	1	1	2	4	2000	Avena	0.1	90	1
2	2	1	1	2	4	2000	Bromusd	0		1
2	2	1	1	2	4	2000	Bromush	0.38	74	1
2	2	1	1	2	4	2000	Lolium	0.32		1
2	2	1	1	2	4	2000	Vulpia	0.06		1
2	2	1	1	2	4	2000	Crepis	0.02		2
2	2	1	1	2	4	2000	Erodium	0		2
2	2	1	1	2	4	2000	Geranium	0.12	79	2
2	2	1	1	2	4	2000	Vicia	0	90	2
1	2	1	2	3	1	2000	Avena	0.177777778	85	1
1	2	1	2	3	1	2000	Bromusd	0	74	1
1	2	1	2	3	1	2000	Bromush	0.577777778	59	1
1	2	1	2	3	1	2000	Lolium	0.022222222		1
1	2	1	2	3	1	2000	Vulpia	0.022222222		1
1	2	1	2	3	1	2000	Crepis	0		2
1	2	1	2	3	1	2000	Erodium	0		2
1	2	1	2	3	1	2000	Geranium	0.2	98	2
1	2	1	2	3	1	2000	Vicia	0	93	2
1	2	2	1	3	2	2000	Avena	0.104166667	79	1
1	2	2	1	3	2	2000	Bromusd	0.0625	69	1
1	2	2	1	3	2	2000	Bromush	0.520833333	59	1
1	2	2	1	3	2	2000	Lolium	0.104166667		1
1	2	2	1	3	2	2000	Vulpia	0		1
1	2	2	1	3	2	2000	Crepis	0		2
1	2	2	1	3	2	2000	Erodium	0		2
1	2	2	1	3	2	2000	Geranium	0.208333333	98	2
1	2	2	1	3	2	2000	Vicia	0		2
1	2	2	2	3	3	2000	Avena	0.063829787	79	1
1	2	2	2	3	3	2000	Bromusd	0.042553191	74	1
1	2	2	2	3	3	2000	Bromush	0.425531915	59	1
1	2	2	2	3	3	2000	Lolium	0.340425532		1
1	2	2	2	3	3	2000	Vulpia	0		1
1	2	2	2	3	3	2000	Crepis	0		2
1	2	2	2	3	3	2000	Erodium	0		2
1	2	2	2	3	3	2000	Geranium	0.127659574	93	2
1	2	2	2	3	3	2000	Vicia	0	82	2
1	2	1	1	3	4	2000	Avena	0.08	79	1
1	2	1	1	3	4	2000	Bromusd	0.04	69	1
1	2	1	1	3	4	2000	Bromush	0.52	59	1
1	2	1	1	3	4	2000	Lolium	0.02		1
1	2	1	1	3	4	2000	Vulpia	0		1
1	2	1	1	3	4	2000	Crepis	0		2
1	2	1	1	3	4	2000	Erodium	0.18		2
