year,site,plot,date,rep,stage1,stage2,stage3,average
5.00,4.00,4.00,186.00,1.00,0.00,,,0.00
5.00,4.00,4.00,193.00,1.00,1.00,,,1.00
5.00,4.00,4.00,200.00,1.00,1.00,,,1.00
5.00,4.00,4.00,207.00,1.00,2.00,3.00,,2.50
5.00,4.00,4.00,214.00,1.00,4.00,,,4.00
5.00,4.00,4.00,172.00,2.00,0.00,,,0.00
5.00,4.00,4.00,179.00,2.00,1.00,,,1.00
5.00,4.00,4.00,186.00,2.00,1.00,,,1.00
5.00,4.00,4.00,193.00,2.00,1.00,2.00,,1.50
5.00,4.00,4.00,200.00,2.00,1.00,3.00,4.00,2.67
5.00,4.00,4.00,207.00,2.00,2.00,5.00,,3.50
5.00,4.00,4.00,214.00,2.00,5.00,,,5.00
5.00,4.00,4.00,221.00,2.00,5.00,,,5.00
5.00,4.00,7.00,179.00,4.00,0.00,,,0.00
5.00,4.00,7.00,186.00,4.00,1.00,,,1.00
5.00,4.00,7.00,193.00,4.00,1.00,,,1.00
5.00,4.00,7.00,200.00,4.00,1.00,2.00,,1.50
5.00,4.00,7.00,207.00,4.00,2.00,,,2.00
5.00,4.00,7.00,214.00,4.00,4.00,,,4.00
