year,site,plot,date,rep,stage1,stage2,average,overall
6,1,1,182,1,0,,0,0
6,1,1,190,1,1,2,1.5,1.25
6,1,1,196,1,1,2,1.5,1.5
6,1,1,203,1,2,3,2.5,2.25
6,1,1,210,1,3,,3,3
6,1,1,217,1,2,3,2.5,2.75
6,1,1,224,1,3,4,3.5,3.75
6,1,1,232,1,3,4,3.5,3.75
6,1,1,239,1,3,4,3.5,3.75
6,1,1,245,1,4,,4,4
6,1,1,182,2,0,,0,0
6,1,1,190,2,1,,1,1
6,1,1,196,2,1,2,1.5,1.5
6,1,1,203,2,2,3,2.5,2.75
6,1,1,210,2,3,,3,3
6,1,1,224,2,3,4,3.5,3.25
6,1,1,232,2,3,4,3.5,3.5
6,1,1,239,2,3,4,3.5,3.75
6,1,1,245,2,3,4,3.5,3.75
6,1,1,182,3,0,,0,0
6,1,1,190,3,1,2,1.5,1.5
6,1,1,196,3,1,2,1.5,1.5
6,1,1,203,3,2,3,2.5,2.75
6,1,1,210,3,3,,3,3
6,1,1,217,3,3,,3,3
6,1,1,224,3,3,4,3.5,3.25
6,1,1,232,3,3,4,3.5,3.75
6,1,2,182,1,0,,0,0
6,1,2,190,1,1,2,1.5,1.5
6,1,2,196,1,1,2,1.5,1.75
6,1,2,203,1,2,3,2.5,2.5
6,1,2,210,1,2,3,2.5,2.75
6,1,2,217,1,3,,3,3
6,1,2,224,1,3,,3,3
6,1,2,232,1,3,4,3.5,3.25
6,1,2,239,1,3,4,3.5,3.5
6,1,2,245,1,3,4,3.5,3.75
6,1,2,182,2,0,,0,0
6,1,2,190,2,1,2,1.5,1.25
6,1,2,196,2,1,2,1.5,1.75
6,1,2,203,2,2,3,2.5,2.25
6,1,2,210,2,2,3,2.5,2.75
6,1,2,217,2,3,,3,3
6,1,2,182,3,0,,0,0
6,1,2,190,3,1,2,1.5,1.25
6,1,2,196,3,1,2,1.5,1.5
6,1,2,203,3,2,3,2.5,2.5
6,1,2,210,3,3,,3,3
6,1,2,217,3,3,,3,3
6,1,2,224,3,3,,3,3
6,1,2,232,3,3,4,3.5,3.25
6,1,2,239,3,3,4,3.5,3.5
6,1,2,245,3,3,4,3.5,3.75
6,1,2,182,4,0,,0,0
6,1,2,190,4,1,2,1.5,1.25
6,1,2,196,4,1,2,1.5,1.75
6,1,2,203,4,2,3,2.5,2.75
6,1,2,210,4,3,,3,3
6,1,2,224,4,3,,3,3
6,1,2,232,4,3,4,3.5,3.25
6,1,2,239,4,3,4,3.5,3.25
6,1,2,245,4,3,4,3.5,3.5
6,1,2,182,5,0,,0,0
6,1,2,190,5,1,2,1.5,1.25
6,1,2,196,5,1,2,1.5,1.75
6,1,2,203,5,2,3,2.5,2.75
6,1,2,210,5,3,,3,3
6,1,2,224,5,3,,3,3
6,1,2,232,5,3,4,3.5,3.25
6,1,2,239,5,3,4,3.5,3.5
6,1,2,245,5,3,4,3.5,3.75
6,1,3,182,1,0,,0,0
6,1,3,190,1,1,2,1.5,1.25
6,1,3,196,1,1,2,1.5,1.5
6,1,3,203,1,3,,3,3
6,1,3,182,2,0,,0,0
6,1,3,190,2,1,2,1.5,1.25
6,1,3,196,2,2,,2,2
6,1,3,203,2,2,3,2.5,2.75
6,1,3,210,2,3,,3,3
6,1,3,217,2,3,,3,3
6,1,3,224,2,3,4,3.5,3.75
6,1,3,232,2,3,4,3.5,3.75
6,1,3,239,2,3,4,3.5,3.75
6,1,3,245,2,3,4,3.5,3.45
6,1,3,182,4,0,,0,0
6,1,3,190,4,1,,1,1
6,1,3,196,4,1,2,1.5,1.75
6,1,3,203,4,2,3,2.5,2.75
6,1,3,210,4,3,,3,3
6,1,3,182,5,0,,0,0
6,1,3,190,5,1,,1,1
6,1,3,196,5,1,2,1.5,1.75
6,1,3,203,5,2,3,2.5,2.5
6,1,3,210,5,3,,3,3
6,1,3,217,5,3,,3,3
6,1,3,224,5,3,4,3.5,3.25
6,1,3,232,5,3,4,3.5,3.25
6,1,3,239,5,3,4,3.5,3.75
6,1,3,245,5,4,,4,4
6,1,4,175,2,0,,0,0
6,1,4,182,2,1,,1,1
6,1,4,190,2,1,,1,1
6,1,4,196,2,1,2,1.5,1.25
6,1,4,203,2,2,3,2.5,2.75
6,1,4,210,2,3,,3,3
6,1,4,217,2,3,,3,3
6,1,4,224,2,3,,3,3
6,1,4,232,2,3,4,3.5,3.25
6,1,4,239,2,3,4,3.5,3.25
6,1,4,245,2,3,4,3.5,3.25
6,1,4,175,3,0,,0,0
6,1,4,182,3,1,,1,1
6,1,4,190,3,1,,1,1
6,1,4,196,3,1,2,1.5,1.75
6,1,4,203,3,2,3,2.5,2.25
6,1,4,210,3,3,,3,3
6,1,4,217,3,3,,3,3
6,1,4,224,3,3,,3,3
6,1,4,232,3,3,,3,3
6,1,4,239,3,3,4,3.5,3.5
6,1,4,245,3,3,4,3.5,3.5
6,1,4,175,4,0,,0,0
6,1,4,182,4,0,,0,0
6,1,4,190,4,1,2,1.5,1.75
6,1,4,196,4,1,2,1.5,1.5
6,1,4,203,4,2,3,2.5,2.75
6,1,4,224,4,3,4,3.5,3.25
6,1,4,232,4,3,4,3.5,3.25
6,1,4,239,4,3,4,3.5,3.25
6,1,4,245,4,3,4,3.5,3.5
6,1,4,182,5,0,,0,0
6,1,4,190,5,1,2,1.5,1.5
6,1,4,196,5,1,2,1.5,1.25
6,1,4,203,5,2,3,2.5,2.75
6,1,4,210,5,3,,3,3
6,1,4,217,5,3,,3,3
6,1,4,224,5,3,,3,3
6,1,4,232,5,3,4,3.5,3.25
6,1,4,239,5,3,4,3.5,3.75
6,1,4,245,5,3,4,3.5,3.75
6,1,7,175,1,1,,1,1
6,1,7,182,1,1,,1,1
6,1,7,190,1,1,2,1.5,1.25
6,1,7,196,1,2, ,2,2
6,1,7,203,1,2,3,2.5,2.75
6,1,7,210,1,3,,3,3
6,1,7,217,1,3,,3,3
6,1,7,224,1,3,4,3.5,3.25
6,1,7,232,1,3,4,3.5,3.5
6,1,7,239,1,3,4,3.5,3.25
6,1,7,245,1,3,4,3.5,3.75
6,1,7,182,2,0,,0,0
6,1,7,190,2,1,2,1.5,1.5
6,1,7,196,2,1,2,1.5,1.25
6,1,7,203,2,2,3,2.5,2.75
6,1,7,210,2,3,,3,3
6,1,7,217,2,3,,3,3
6,1,7,224,2,3,4,3.5,3.5
6,1,7,232,2,3,4,3.5,3.75
6,1,7,239,2,3,4,3.5,3.75
6,1,7,245,2,4,,4,4
6,1,8,175,1,1,,1,1
6,1,8,182,1,1,,1,1
6,1,8,190,1,1,,1,1
6,1,8,196,1,1,2,1.5,1.5
6,1,8,203,1,2,3,2.5,2.75
6,1,8,210,1,3,,3,3
6,1,8,217,1,3,,3,3
6,1,8,224,1,3,4,3.5,3.25
6,1,8,232,1,3,4,3.5,3.75
6,1,8,239,1,3,4,3.5,3.75
6,1,8,245,1,3,4,3.5,3.25
6,1,8,175,2,0,,0,0
6,1,8,182,2,1,,1,1
6,1,8,190,2,1,,1,1
6,1,8,196,2,1,2,1.5,1.25
6,1,8,203,2,2,3,2.5,2.25
6,1,8,210,2,3,,3,3
6,1,8,217,2,3,,3,3
6,1,8,224,2,3,,3,3
6,1,8,239,2,3,4,3.5,3.5
6,1,8,245,2,3,4,3.5,3.75
6,1,8,175,3,0,,0,0
6,1,8,182,3,1,,1,1
6,1,8,190,3,1,,1,1
6,1,8,196,3,1,2,1.5,1.25
6,1,8,203,3,2,3,2.5,2.25
6,1,8,210,3,3,,3,3
6,1,8,217,3,3,,3,3
6,1,8,224,3,3,,3,3
6,1,8,232,3,3,4,3.5,3.75
6,1,8,239,3,3,4,3.5,3.75
6,1,8,245,3,3,4,3.5,3.25
6,1,8,175,4,0,,0,0
6,1,8,182,4,1,,1,1
6,1,8,190,4,1,,1,1
6,1,8,196,4,1,2,1.5,1.5
6,1,8,203,4,2,3,2.5,2.25
6,1,8,210,4,2,3,2.5,3
6,1,8,217,4,3,,3,3
6,1,8,224,4,3,4,3.5,3.25
6,1,8,232,4,3,4,3.5,3.75
6,1,8,239,4,3,4,3.5,3.75
6,1,8,245,4,4,,4,4
6,1,8,182,5,0,,0,0
6,1,8,190,5,1,,1,1
6,1,8,196,5,1,2,1.5,1.75
6,1,8,210,5,2,3,2.5,3
6,1,8,217,5,3,,3,3
6,1,8,224,5,3,,3,3
6,1,9,190,1,0,,0,0
6,1,9,196,1,1,2,1.5,1.75
6,1,9,203,1,2,3,2.5,2.5
6,1,9,210,1,3,,3,3
6,1,9,217,1,3,,3,3
