year,site,plot,date,rep,stage1,stage2,stage3,stage4,average,overall
7,3,1,170,1,0,,,,0,0
7,3,1,177,1,1,,,,1,1
7,3,1,183,1,1,,,,1,1
7,3,1,191,1,1,2,,,1.5,1.5
7,3,1,198,1,1,2,3,,2,1.75
7,3,1,205,1,2,3,4,5,3.5,3
7,3,1,213,1,2,3,4,5,3.5,3.5
7,3,1,220,1,3,4,5,,4,4.5
7,3,1,227,1,3,4,5,,4,3.75
7,3,1,233,1,3,4,5,,4,4.25
7,3,1,240,1,3,4,5,,4,4.5
7,3,1,247,1,5,6,,,5.5,5.25
7,3,1,254,1,6, ,,,6,6
7,3,1,170,2,0,,,,0,0
7,3,1,177,2,1,,,,1,1
7,3,1,183,2,1,,,,1,1
7,3,1,191,2,1,2,,,1.5,1.25
7,3,1,198,2,2,3,,,2.5,2.5
7,3,1,205,2,1,3,4,5,3.25,3
7,3,1,213,2,2,3,4,5,3.5,3.25
7,3,1,220,2,3,4,5,,4,4
7,3,1,227,2,3,4,5,,4,4.5
7,3,1,233,2,3,4,5,,4,4.75
7,3,1,240,2,5,,,,5,5
7,3,1,247,2,6,,,,6,6
7,3,1,170,3,0,,,,0,0
7,3,1,177,3,1,,,,1,1
7,3,1,183,3,1,,,,1,1
7,3,1,191,3,1,,,,1,1
7,3,1,198,3,1,2,,,1.5,1.25
7,3,1,205,3,2,3,4,5,3.5,3.25
7,3,1,213,3,3,4,5,,4,3.75
7,3,1,220,3,3,4,5,,4,4.5
7,3,1,170,4,0,,,,0,0
7,3,1,177,4,1,,,,1,1
7,3,1,183,4,1,,,,1,1
7,3,1,191,4,1,2,,,1.5,1.5
7,3,1,198,4,1,2,3,,2,1.5
7,3,1,205,4,2,3,4,5,3.5,3
7,3,1,213,4,3,4,5,,4,3.75
7,3,1,220,4,3,4,5,,4,4.25
7,3,1,227,4,3,4,5,,4,4.25
7,3,1,233,4,3,4,5,,4,4.5
7,3,1,240,4,4,5,,,4.5,4.75
7,3,1,247,4,4,5,,,4.5,4.75
7,3,1,254,4,5,6,,,5.5,5.75
7,3,1,170,5,0,,,,0,0
7,3,1,177,5,1,,,,1,1
7,3,1,183,5,1,,,,1,1
7,3,1,191,5,1,2,,,1.5,1.25
7,3,1,198,5,1,2,,,1.5,1.25
7,3,1,205,5,2,3,4,,3,2.75
7,3,1,213,5,3,4,5,,4,3.75
7,3,1,220,5,3,4,5,,4,4.5
7,3,1,227,5,3,4,5,6,4.5,4.75
7,3,1,233,5,3,4,5,6,4.5,4.75
7,3,1,240,5,4,5,6,,5,4.75
7,3,1,247,5,6,,,,6,6
7,3,2,170,1,0,,,,0,0
7,3,2,177,1,1,,,,1,1
7,3,2,183,1,1,,,,1,1
7,3,2,191,1,1,,,,1,1
7,3,2,198,1,2,,,,2,2
7,3,2,205,1,2,3,,,2.5,2.5
7,3,2,213,1,3,4,5,,4,4.25
7,3,2,220,1,4,5, ,,4.5,4.5
7,3,2,170,2,0,,,,0,0
7,3,2,177,2,1,,,,1,1
7,3,2,183,2,1,,,,1,1
7,3,2,191,2,1,,,,1,1
7,3,2,198,2,2,,,,2,2
7,3,2,205,2,2,3,,,2.5,2.25
7,3,2,213,2,2,3,4,5,3.5,3.5
7,3,2,220,2,3,4,5,,4,3.75
7,3,2,227,2,3,4,5,,4,4
7,3,2,233,2,3,4,5,,4,4.25
7,3,2,240,2,4,5,,,4.5,4.5
7,3,2,247,2,5,6,,,5.5,5.25
7,3,2,254,2,6, ,,,6,6
7,3,2,170,3,0,,,,0,0
7,3,2,177,3,1,,,,1,1
7,3,2,183,3,1,,,,1,1
7,3,2,191,3,1,,,,1,1
7,3,2,198,3,2,,,,2,2
7,3,2,205,3,2,3,,,2.5,2.5
7,3,2,213,3,3,4,5,,4,4
7,3,2,220,3,2,3,4,5,3.5,3.5
7,3,2,227,3,3,4,5,,4,4.5
7,3,2,170,4,0,,,,0,0
7,3,2,177,4,1,,,,1,1
7,3,2,183,4,1,,,,1,1
7,3,2,191,4,1,,,,1,1
7,3,2,198,4,1,2,,,1.5,1.25
7,3,2,205,4,1,2,3,,2,1.75
7,3,2,213,4,2,3,4,,3,2.75
7,3,2,220,4,2,3,4,5,3.5,3.5
7,3,2,227,4,3,4,5,,4,3.75
7,3,2,233,4,3,4,5,,4,4.5
7,3,2,240,4,4,5,,,4.5,4.5
7,3,2,247,4,5,,,,5,5
7,3,2,254,4,6,,,,6,6
7,3,2,170,5,0,,,,0,0
7,3,2,177,5,1,,,,1,1
7,3,2,183,5,1,,,,1,1
7,3,2,191,5,1,,,,1,1
7,3,2,198,5,2,,,,2,2
7,3,2,205,5,2,3,,,2.5,2.75
7,3,2,213,5,3,4,5,,4,4.5
7,3,2,220,5,4,5, ,,4.5,4.25
7,3,3,177,1,0,,,,0,0
7,3,3,183,1,1,,,,1,1
7,3,3,191,1,2,,,,2,2
7,3,3,198,1,3,4,,,3.5,3.25
7,3,3,205,1,3,4,,,3.5,3.5
7,3,3,213,1,3,4,5,,4,4.5
7,3,3,220,1,3,4,5,,4,4.75
7,3,3,177,2,0,,,,0,0
7,3,3,183,2,1,,,,1,1
7,3,3,191,2,1,,,,1,1
7,3,3,198,2,2,,,,2,2
7,3,3,205,2,2,3,,,2.5,2.5
7,3,3,213,2,3,4,,,3.5,3.25
7,3,3,220,2,3,4,5,,4,4.5
7,3,3,247,2,6,,,,6,6
7,3,3,177,3,0,,,,0,0
7,3,3,183,3,1,,,,1,1
7,3,3,191,3,2,,,,2,2
7,3,3,198,3,2,3,,,2.5,2.25
7,3,3,205,3,3,4,,,3.5,3.5
7,3,3,213,3,3,4,,,3.5,3.75
7,3,3,220,3,3,4,5,,4,4.25
7,3,3,177,4,0,,,,0,0
7,3,3,183,4,1,,,,1,1
7,3,3,191,4,1,,,,1,1
7,3,3,198,4,1,,,,1,1
7,3,3,205,4,2,,,,2,2
7,3,3,213,4,2,3,4,,3,3
7,3,3,220,4,3,4,5,,4,4.25
7,3,3,177,5,0,,,,0,0
7,3,3,183,5,1,,,,1,1
7,3,3,191,5,1,,,,1,1
7,3,3,198,5,2,,,,2,2
7,3,3,205,5,2,3,4,,3,2.75
7,3,3,213,5,2,3,4,5,3.5,3.5
7,3,3,220,5,3,4,5,,4,4.25
7,3,3,227,5,3,4,5,,4,4
7,3,3,233,5,3,4,5,,4,4.25
7,3,3,240,5,4,5,,,4.5,4.25
7,3,3,247,5,5,6,,,5.5,5.25
7,3,3,254,5,5,6,,,5.5,5.75
7,3,4,170,1,0,,,,0,0
7,3,4,177,1,1,,,,1,1
7,3,4,183,1,1,,,,1,1
7,3,4,191,1,1,,,,1,1
7,3,4,198,1,2,,,,2,2
7,3,4,205,1,2,3,,,2.5,2.75
7,3,4,213,1,3,4,5,,4,4
7,3,4,220,1,3,4,5,,4,4
7,3,4,227,1,3,4,5,,4,4.25
7,3,4,233,1,3,4,5,,4,4.5
7,3,4,170,2,0,,,,0,0
7,3,4,177,2,1,,,,1,1
7,3,4,183,2,1,,,,1,1
7,3,4,191,2,2,,,,2,2
7,3,4,198,2,2,,,,2,2
7,3,4,205,2,3,4,,,3.5,3.5
7,3,4,213,2,3,4,5,,4,4.25
7,3,4,220,2,3,4,5,,4,4
7,3,4,227,2,3,4,5,,4,4.25
7,3,4,170,3,0,,,,0,0
7,3,4,177,3,1,,,,1,1
7,3,4,183,3,1,,,,1,1
7,3,4,191,3,2,,,,2,2
7,3,4,198,3,2,,,,2,2
7,3,4,205,3,3,4,,,3.5,3.5
7,3,4,213,3,3,4,5,,4,4.25
7,3,4,220,3,3,4,5,,4,4.5
7,3,4,170,4,0,,,,0,0
7,3,4,177,4,1,,,,1,1
7,3,4,183,4,1,,,,1,1
7,3,4,191,4,1,2,,,1.5,1.25
7,3,4,198,4,2,3,,,2.5,2.25
