year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,
7,1,1,133,1,1,,,,,1,1, 
7,1,1,143,1,1,2,3,4,,2.5,1.75,
7,1,1,148,1,1,2,3,4,,2.5,2.5,
7,1,1,156,1,1,2,3,4,,2.5,3.5,
7,1,1,162,1,2,4,5,,,3.666666667,4.25,
7,1,1,169,1,4,5,6,,,5,5,
7,1,1,176,1,5,6,,,,5.5,5.75,
7,1,1,184,1,6,,,,,6,6,
7,1,1,133,2,1,,,,,1,1,
7,1,1,143,2,1,,,,,1,1,
7,1,1,148,2,1,3,,,,2,2.25,
7,1,1,156,2,2,3,4,,,3,3,
7,1,1,162,2,2,3,4,,,3,3,
7,1,1,169,2,3,4,,,,3.5,3.5,
7,1,1,176,2,6,,,,,6,6,
7,1,1,133,3,1,,,,,1,1,
7,1,1,143,3,1,2,,,,1.5,1.25,
7,1,1,148,3,1,2,3,,,2,2,
7,1,1,156,3,3,4,,,,3.5,3.25,
7,1,1,162,3,3,4,,,,3.5,3.5,
7,1,1,169,3,3,4,5,,,4,3.75,
7,1,1,176,3,5,6,,,,5.5,5.75,
7,1,1,184,3,6,,,,,6,6,
7,1,1,133,4,1,,,,,1,1,
7,1,1,143,4,1,2,3,4,,2.5,3,
7,1,1,148,4,1,2,3,4,,2.5,2.75,
7,1,1,156,4,2,3,4,5,,3.5,3.75,
7,1,1,162,4,4,,,,,4,4,
7,1,1,169,4,4,,,,,4,4,
7,1,1,176,4,6,,,,,6,6,
7,1,1,133,5,1,,,,,1,1,
7,1,1,143,5,1,2,3,4,,2.5,3,
7,1,1,148,5,1,2,3,4,,2.5,2,
7,1,1,156,5,2,3,4,,,3,3.5,
7,1,1,162,5,3,4,,,,3.5,3.75,
7,1,1,169,5,4,,,,,4,4,
7,1,2,133,1,1,2,,,,1.5,1.5,
7,1,2,143,1,1,2,3,,,2,4,
7,1,2,148,1,1,2,3,4,5,3,3.25,
7,1,2,156,1,1,2,3,4,5,3,4.25,
7,1,2,162,1,2,4,5,,,3.666666667,4.25,
7,1,2,169,1,6,,,,,6,6,
7,1,2,176,1,5,6,,,,5.5,5.5,
7,1,2,133,2,1,2,,,,1.5,1.25,
7,1,2,143,2,1,2,3,4,,2.5,3,
7,1,2,148,2,1,2,3,4,,2.5,3,
7,1,2,156,2,1,2,3,4,5,3,4,
7,1,2,162,2,2,4,5,,,3.666666667,4.25,
7,1,2,169,2,3,4,5,6,,4.5,4.75,
7,1,2,176,2,5,6,,,,5.5,5.5,
7,1,2,184,2,6,,,,,6,6,
7,1,2,133,3,1,3,,,,2,1.75,
7,1,2,143,3,1,2,3,4,,2.5,3,
7,1,2,148,3,1,2,3,4,,2.5,2.75,
7,1,2,156,3,2,3,4,5,,3.5,4,
7,1,2,162,3,4,5,6,,,5,4.5,
7,1,2,169,3,4,5,6,,,5,5,
7,1,2,176,3,5,6,,,,5.5,5.5,
7,1,2,184,3,6,,,,,6,6,
7,1,2,133,4,1,2,3,4,,2.5,2,
7,1,2,143,4,1,2,3,4,,2.5,3,
7,1,2,148,4,1,2,3,4,5,3,3.5,
7,1,2,156,4,1,2,3,4,5,3,3.75,
7,1,2,162,4,2,4,5,,,3.666666667,4.25,
7,1,2,169,4,3,4,5,6,,4.5,5,
7,1,2,176,4,5,6,,,,5.5,5.75,
7,1,2,184,4,6,,,,,6,6,
7,1,2,133,5,1,2,3,,,2,1.5,
7,1,2,143,5,1,2,3,4,,2.5,3,
7,1,2,148,5,1,2,3,4,,2.5,3,
7,1,2,156,5,2,3,4,,,3,3.5,
7,1,2,162,5,2,3,4,,,3,3.75,
7,1,2,169,5,3,4,5,,,4,4,
7,1,2,176,5,5,6,,,,5.5,5.75,
7,1,2,184,5,6,,,,,6,6,
7,1,3,133,1,1,2,,,,1.5,1.25,
7,1,3,143,1,1,2,3,4,,2.5,2.75,
7,1,3,148,1,1,2,3,4,,2.5,3.25,
7,1,3,156,1,3,4,,,,3.5,3.75,
7,1,3,162,1,4,5,,,,4.5,4.25,
