year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
8,1,1,229,2,1,,,,,1,1
8,1,1,243,2,1,2,,,,1.5,1.75
8,1,1,251,2,4,5,,,,4.5,4.25
8,1,1,257,2,4,5,,,,4.5,4.75
8,1,1,222,4,1,,,,,1,1
8,1,1,229,4,1,2,,,,1.5,1.25
8,1,1,243,4,1,2,,,,1.5,1.25
8,1,1,251,4,3,4,5,,,4,3.75
8,1,1,257,4,3,4,5,,,4,4.25
8,1,1,229,5,1,,,,,1,1
8,1,1,243,5,1,2,,,,1.5,1.25
8,1,1,251,5,4,5,,,,4.5,4.25
8,1,1,257,5,4,5,,,,4.5,4.75
8,1,2,229,1,1,,,,,1,1
8,1,2,243,1,2,,,,,2,2
8,1,2,251,1,3,4,,,,3.5,3.25
8,1,2,257,1,4,5,,,,4.5,4.75
8,1,4,229,1,1,,,,,1,1
8,1,4,243,1,1,2,,,,1.5,1.5
8,1,4,251,1,3,4,,,,3.5,3.5
8,1,4,257,1,4,5,,,,4.5,4.75
8,2,1,224,1,1,,,,,1,1
8,2,1,231,1,1,2,,,,1.5,1.25
8,2,1,237,1,2,,,,,2,2
8,2,1,244,1,2,,,,,2,2
8,2,1,251,1,3,4,5,,,4,4.25
8,2,1,257,1,4,5,,,,4.5,4.75
8,2,1,224,2,1,,,,,1,1
8,2,1,231,2,1,2,,,,1.5,1.25
8,2,1,237,2,2,,,,,2,2
8,2,1,244,2,2,,,,,2,2
8,2,1,251,2,3,4,,,,3.5,3.75
8,2,1,257,2,4,5,,,,4.5,4.25
8,2,1,231,3,1,,,,,1,1
8,2,1,237,3,2,,,,,2,2
8,2,1,244,3,2,,,,,2,2
8,2,1,251,3,3,4,,,,3.5,3.5
8,2,1,257,3,4,5,,,,4.5,4.25
8,2,1,224,4,1,,,,,1,1
8,2,1,231,4,1,2,,,,1.5,1.25
8,2,1,237,4,2,,,,,2,2
8,2,1,244,4,2,,,,,2,2
8,2,1,251,4,3,4,,,,3.5,3.75
8,2,1,257,4,4,5,,,,4.5,4.25
8,2,2,224,1,1,,,,,1,1
8,2,2,231,1,1,2,,,,1.5,1.75
8,2,2,237,1,2,,,,,2,2
8,2,2,244,1,2,3,,,,2.5,2.5
8,2,2,251,1,4,5,,,,4.5,4.25
8,2,2,257,1,4,5,,,,4.5,4.75
8,2,2,224,2,1,,,,,1,1
8,2,2,231,2,2,,,,,2,2
8,2,2,237,2,2,,,,,2,2
8,2,2,244,2,2,3,,,,2.5,2.5
8,2,2,251,2,4,5,,,,4.5,4.5
8,2,2,257,2,4,5,,,,4.5,4.75
8,2,2,224,3,1,,,,,1,1
8,2,2,231,3,2,,,,,2,2
8,2,2,237,3,2,,,,,2,2
8,2,2,244,3,2,3,,,,2.5,2.5
8,2,2,251,3,4,5,,,,4.5,4.75
8,2,2,257,3,5,6,,,,5.5,4.25
8,2,2,224,5,1,,,,,1,1
8,2,2,231,5,1,2,,,,1.5,1.25
8,2,2,237,5,1,2,,,,1.5,1.25
8,2,2,244,5,1,2,,,,1.5,1.5
8,2,2,251,5,1,2,3,4,5,3,2.25
8,2,2,257,5,4,5,,,,4.5,4.25
8,2,3,231,2,1,,,,,1,1
8,2,3,237,2,2,,,,,2,2
8,2,3,244,2,2,,,,,2,2
8,2,3,251,2,3,4,,,,3.5,3.75
8,2,3,257,2,4,5,,,,4.5,4.75
8,2,3,231,5,1,,,,,1,1
8,2,3,237,5,1,2,,,,1.5,1.75
8,2,3,244,5,1,2,,,,1.5,1.75
8,2,3,251,5,3,4,,,,3.5,3.5
8,2,3,257,5,4,5,,,,4.5,4.25
8,2,4,231,4,1,,,,,1,1
8,2,4,237,4,1,2,,,,1.5,1.75
8,2,4,244,4,1,2,,,,1.5,1.75
8,2,4,251,4,3,4,,,,3.5,3.75
8,2,4,257,4,4,5,,,,4.5,4.25
8,2,5,224,1,1,,,,,1,1
8,2,5,231,1,1,2,,,,1.5,1.5
8,2,5,237,1,2,,,,,2,2
8,2,5,244,1,2,,,,,2,2
8,2,5,251,1,3,4,,,,3.5,3.5
8,2,5,257,1,4,5,,,,4.5,4.25
8,2,5,224,2,1,,,,,1,1
8,2,5,231,2,1,2,,,,1.5,1.75
8,2,5,237,2,1,2,3,,,2,1.75
8,2,5,244,2,1,2,3,,,2,1.75
8,2,5,251,2,3,4,,,,3.5,3.25
8,2,5,257,2,4,5,,,,4.5,4.25
8,2,5,224,3,1,,,,,1,1
8,2,5,231,3,1,2,,,,1.5,1.5
8,2,5,237,3,1,2,,,,1.5,1.5
8,2,5,244,3,1,2,,,,1.5,1.75
8,2,5,251,3,4,5,,,,4.5,4.25
8,2,5,257,3,4,5,,,,4.5,4.75
8,2,5,218,4,1,,,,,1,1
8,2,5,224,4,1,2,,,,1.5,1.25
8,2,5,231,4,1,2,,,,1.5,1.75
8,2,5,237,4,1,2,,,,1.5,1.75
8,2,5,244,4,2,,,,,2,2
8,2,5,251,4,3,4,,,,3.5,3.75
8,2,5,257,4,4,5,,,,4.5,4.5
8,2,5,218,5,1,,,,,1,1
8,2,5,224,5,1,2,,,,1.5,1.25
8,2,5,231,5,1,2,,,,1.5,1.75
8,2,5,237,5,1,2,,,,1.5,1.75
8,2,5,244,5,2,,,,,2,2
8,2,5,251,5,3,4,,,,3.5,3.75
8,2,5,257,5,4,5,,,,4.5,4.25
8,2,6,231,1,1, ,,,,1,1
8,2,6,237,1,2,,,,,2,2
8,2,6,244,1,3,4,,,,3.5,3.25
8,2,6,251,1,3,4,5,,,4,4.25
8,2,6,257,1,4,5,,,,4.5,4.75
8,2,6,224,2,1,,,,,1,1
8,2,6,231,2,1,2,,,,1.5,1.75
8,2,6,237,2,1,2,,,,1.5,1.75
8,2,6,244,2,3,4,,,,3.5,3.5
8,2,6,251,2,3,4,,,,3.5,3.25
8,2,6,257,2,4,5,,,,4.5,4.5
8,2,6,231,3,1, ,,,,1,1
8,2,6,237,3,1,2,,,,1.5,1.5
8,2,6,244,3,3,4,,,,3.5,3.25
8,2,6,251,3,3,4,,,,3.5,3.5
8,2,6,257,3,4,5,,,,4.5,4.25
8,2,6,231,4,1,,,,,1,1
