year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
8,1,2,147,3,0,,,,,0,0
8,1,2,152,3,1,,,,,1,1
8,1,2,160,3,1,2,,,,1.5,1.25
8,1,2,166,3,1,2,,,,1.5,1.75
8,1,2,173,3,2,3,,,,2.5,2.5
8,1,2,181,3,1,2,3,4,5,3,2.25
8,1,2,189,3,3,4,5,,,4,4.5
8,1,8,152,4,0,,,,,0,0
8,1,8,160,4,1,,,,,1,1
8,1,8,166,4,1,2,,,,1.5,1.75
8,1,8,173,4,3,,,,,3,3
8,1,8,181,4,3,4,,,,3.5,3.75
8,3,4,146,1,0,,,,,0,0
8,3,4,153,1,1,,,,,1,1
8,3,4,159,1,1,,,,,1,1
8,3,4,170,1,1,2,,,,1.5,1.25
8,3,4,175,1,2,3,,,,2.5,2.5
8,3,4,180,1,3,4,5,,,4,3.75
8,3,4,188,1,3,4,5,,,4,4.25
8,3,4,146,2,0,,,,,0,0
8,3,4,153,2,1,,,,,1,1
8,3,4,159,2,1,,,,,1,1
8,3,4,170,2,1,2,,,,1.5,1.25
8,3,4,175,2,2,3,,,,2.5,2.5
8,3,4,180,2,3,4,,,,3.5,3.75
8,4,10,146,4,1,,,,,1,1
8,4,10,153,4,1,2,,,,1.5,1.5
8,4,10,159,4,1,2,,,,1.5,1.75
8,4,10,167,4,1,5,,,,3,4.75
8,4,10,174,4,4,,,,,4,4
