Plot,Quad,ID,depth,date,soilm,dateav
1,1,1,30,1/4/01,29.68173356,1/5/01
1,2,2,30,1/4/01,26.40462481,1/5/01
1,3,3,30,1/4/01,27.48221425,1/5/01
1,4,4,30,1/4/01,29.30953598,1/5/01
2,1,5,30,1/4/01,29.12440586,1/5/01
2,2,6,30,1/4/01,27.3018954,1/5/01
2,3,7,30,1/4/01,24.44191904,1/5/01
2,4,8,30,1/4/01,28.02540833,1/5/01
3,1,9,30,1/4/01,26.58359653,1/5/01
3,2,10,30,1/4/01,28.57255149,1/5/01
3,3,11,30,1/4/01,27.12190244,1/5/01
3,4,12,30,1/4/01,23.54700812,1/5/01
4,1,13,30,1/4/01,28.57255149,1/5/01
4,2,14,30,1/4/01,27.48221425,1/5/01
4,3,15,30,1/4/01,26.94220712,1/5/01
4,4,16,30,1/4/01,23.54700812,1/5/01
5,1,17,30,1/4/01,27.12190244,1/5/01
5,2,18,30,1/4/01,29.30953598,1/5/01
5,3,19,30,1/4/01,27.3018954,1/5/01
5,4,20,30,1/4/01,28.93988389,1/5/01
6,1,21,30,1/4/01,27.12190244,1/5/01
6,2,22,30,1/4/01,28.02540833,1/5/01
6,3,23,30,1/4/01,29.12440586,1/5/01
6,4,24,30,1/4/01,25.51197282,1/5/01
7,1,25,30,1/4/01,27.84394249,1/5/01
7,2,26,30,1/4/01,26.40462481,1/5/01
7,3,27,30,1/4/01,28.02540833,1/5/01
7,4,28,30,1/4/01,23.63674124,1/5/01
8,1,29,30,1/4/01,29.68173356,1/5/01
8,2,30,30,1/4/01,26.22583783,1/5/01
8,3,31,30,1/4/01,28.02540833,1/5/01
8,4,32,30,1/4/01,25.69030309,1/5/01
9,1,33,30,1/4/01,27.3018954,1/5/01
9,2,34,30,1/4/01,22.91681047,1/5/01
9,3,35,30,1/4/01,26.76278123,1/5/01
9,4,36,30,1/4/01,30.24529673,1/5/01
10,1,37,30,1/4/01,23.63674124,1/5/01
10,2,38,30,1/4/01,28.02540833,1/5/01
10,3,39,30,1/4/01,25.4228258,1/5/01
10,4,40,30,1/4/01,18.90180351,1/5/01
11,1,41,30,1/4/01,27.6628872,1/5/01
11,2,42,30,1/4/01,25.33368616,1/5/01
11,3,43,30,1/4/01,26.04720737,1/5/01
11,4,44,30,1/4/01,27.3018954,1/5/01
12,1,45,30,1/4/01,28.02540833,1/5/01
12,2,46,30,1/4/01,31.78441224,1/5/01
12,3,47,30,1/4/01,28.02540833,1/5/01
12,4,48,30,1/4/01,30.05670246,1/5/01
13,1,49,30,1/5/01,28.57255149,1/5/01
13,2,50,30,1/5/01,27.84394249,1/5/01
13,3,51,30,1/5/01,28.57255149,1/5/01
13,4,52,30,1/5/01,29.68173356,1/5/01
14,1,53,30,1/5/01,26.76278123,1/5/01
14,2,54,30,1/5/01,27.48221425,1/5/01
14,3,55,30,1/5/01,27.6628872,1/5/01
14,4,56,30,1/5/01,30.4346685,1/5/01
15,1,57,30,1/5/01,26.76278123,1/5/01
15,2,58,30,1/5/01,18.60815617,1/5/01
15,3,59,30,1/5/01,22.00845747,1/5/01
15,4,60,30,1/5/01,24.62041106,1/5/01
16,1,61,30,1/5/01,21.54975009,1/5/01
16,2,62,30,1/5/01,27.12190244,1/5/01
16,3,63,30,1/5/01,23.99507708,1/5/01
16,4,64,30,1/5/01,28.93988389,1/5/01
17,1,65,30,1/5/01,26.94220712,1/5/01
17,2,66,30,1/5/01,23.45720828,1/5/01
17,3,67,30,1/5/01,28.20731296,1/5/01
18,1,69,30,1/5/01,24.17393641,1/5/01
18,2,70,30,1/5/01,28.02540833,1/5/01
18,3,71,30,1/5/01,20.43328935,1/5/01
18,4,72,30,1/5/01,27.6628872,1/5/01
19,1,73,30,1/5/01,26.58359653,1/5/01
19,3,75,30,1/5/01,23.99507708,1/5/01
19,4,76,30,1/5/01,22.46399724,1/5/01
20,1,77,30,1/5/01,28.57255149,1/5/01
20,2,78,30,1/5/01,26.94220712,1/5/01
20,3,79,30,1/5/01,22.64542502,1/5/01
20,4,80,30,1/5/01,23.18737313,1/5/01
21,1,81,30,1/5/01,28.02540833,1/5/01
21,2,82,30,1/5/01,27.6628872,1/5/01
21,3,83,30,1/5/01,26.94220712,1/5/01
21,4,84,30,1/5/01,27.3018954,1/5/01
22,1,85,30,1/5/01,28.38968461,1/5/01
22,2,86,30,1/5/01,26.40462481,1/5/01
22,3,87,30,1/5/01,26.22583783,1/5/01
22,4,88,30,1/5/01,26.40462481,1/5/01
23,1,89,30,1/5/01,25.69030309,1/5/01
23,2,90,30,1/5/01,26.94220712,1/5/01
23,3,91,30,1/5/01,29.68173356,1/5/01
23,4,92,30,1/5/01,28.38968461,1/5/01
24,1,93,30,1/5/01,29.68173356,1/5/01
24,2,94,30,1/5/01,28.02540833,1/5/01
24,3,95,30,1/5/01,26.94220712,1/5/01
24,4,96,30,1/5/01,28.57255149,1/5/01
25,1,97,30,1/5/01,29.12440586,1/5/01
25,2,98,30,1/5/01,25.69030309,1/5/01
25,3,99,30,1/5/01,28.57255149,1/5/01
25,4,100,30,1/5/01,27.84394249,1/5/01
26,1,101,30,1/6/01,27.3018954,1/5/01
26,2,102,30,1/6/01,26.22583783,1/5/01
26,3,103,30,1/6/01,26.76278123,1/5/01
26,4,104,30,1/6/01,25.8687052,1/5/01
27,1,105,30,1/6/01,23.72641117,1/5/01
27,2,106,30,1/6/01,27.6628872,1/5/01
27,3,107,30,1/6/01,18.21305777,1/5/01
27,4,108,30,1/6/01,26.22583783,1/5/01
28,1,109,30,1/6/01,27.84394249,1/5/01
28,2,110,30,1/6/01,29.12440586,1/5/01
28,3,111,30,1/6/01,26.40462481,1/5/01
28,4,112,30,1/6/01,28.38968461,1/5/01
29,1,113,30,1/6/01,29.12440586,1/5/01
29,2,114,30,1/6/01,30.24529673,1/5/01
29,3,115,30,1/6/01,31.20049522,1/5/01
29,4,116,30,1/6/01,30.24529673,1/5/01
30,1,117,30,1/6/01,28.93988389,1/5/01
30,2,118,30,1/6/01,28.20731296,1/5/01
30,3,119,30,1/6/01,26.22583783,1/5/01
30,4,120,30,1/6/01,23.72641117,1/5/01
31,1,121,30,1/6/01,28.20731296,1/5/01
31,2,122,30,1/6/01,26.76278123,1/5/01
31,3,123,30,1/6/01,27.3018954,1/5/01
31,4,124,30,1/6/01,25.8687052,1/5/01
32,1,125,30,1/6/01,23.72641117,1/5/01
32,2,126,30,1/6/01,26.58359653,1/5/01
32,3,127,30,1/6/01,28.02540833,1/5/01
32,4,128,30,1/6/01,25.33368616,1/5/01
33,1,129,30,1/6/01,27.3018954,1/5/01
33,3,131,30,1/6/01,24.08452952,1/5/01
34,2,134,30,1/6/01,19.48262866,1/5/01
34,4,136,30,1/6/01,22.73598414,1/5/01
35,1,137,30,1/6/01,26.40462481,1/5/01
35,3,139,30,1/6/01,24.97713075,1/5/01
36,2,142,30,1/6/01,22.09980472,1/5/01
36,4,144,30,1/6/01,23.27739431,1/5/01
1,1,1,30,1/22/01,30.4346685,1/23/01
1,2,2,30,1/22/01,28.38968461,1/23/01
1,4,4,30,1/22/01,30.4346685,1/23/01
2,1,5,30,1/22/01,31.00773114,1/23/01
2,2,6,30,1/22/01,30.4346685,1/23/01
2,3,7,30,1/22/01,28.02540833,1/23/01
2,4,8,30,1/22/01,31.20049522,1/23/01
8,1,29,30,1/22/01,29.86885749,1/23/01
8,2,30,30,1/22/01,27.6628872,1/23/01
8,3,31,30,1/22/01,28.75594185,1/23/01
8,4,32,30,1/22/01,28.02540833,1/23/01
9,1,33,30,1/22/01,27.84394249,1/23/01
9,2,34,30,1/22/01,26.76278123,1/23/01
9,3,35,30,1/22/01,28.38968461,1/23/01
9,4,36,30,1/22/01,28.93988389,1/23/01
12,1,45,30,1/22/01,29.68173356,1/23/01
12,2,46,30,1/22/01,31.78441224,1/23/01
12,3,47,30,1/22/01,29.30953598,1/23/01
12,4,48,30,1/22/01,31.39417794,1/23/01
13,1,49,30,1/23/01,31.78441224,1/23/01
13,2,50,30,1/23/01,29.68173356,1/23/01
13,3,51,30,1/23/01,29.12440586,1/23/01
13,4,52,30,1/23/01,31.00773114,1/23/01
14,1,53,30,1/23/01,29.12440586,1/23/01
14,2,54,30,1/23/01,29.68173356,1/23/01
14,3,55,30,1/23/01,29.12440586,1/23/01
1,1,1,30,1/29/01,32.77805013,1/29/01
1,2,2,30,1/29/01,30.4346685,1/29/01
1,3,3,30,1/29/01,31.00773114,1/29/01
1,4,4,30,1/29/01,33.18331892,1/29/01
2,1,5,30,1/29/01,35.72371197,1/29/01
2,2,6,30,1/29/01,36.61736935,1/29/01
2,3,7,30,1/29/01,35.06973392,1/29/01
2,4,8,30,1/29/01,36.16734848,1/29/01
3,1,9,30,1/29/01,31.98102026,1/29/01
3,2,10,30,1/29/01,33.18331892,1/29/01
3,3,11,30,1/29/01,32.37735918,1/29/01
3,4,12,30,1/29/01,33.59339136,1/29/01
4,1,13,30,1/29/01,31.20049522,1/29/01
4,2,14,30,1/29/01,31.39417794,1/29/01
4,3,15,30,1/29/01,31.58880754,1/29/01
4,4,16,30,1/29/01,26.94220712,1/29/01
5,1,17,30,1/29/01,31.39417794,1/29/01
5,2,18,30,1/29/01,33.80029952,1/29/01
5,3,19,30,1/29/01,32.17865983,1/29/01
5,4,20,30,1/29/01,31.39417794,1/29/01
6,1,21,30,1/29/01,31.98102026,1/29/01
6,2,22,30,1/29/01,31.58880754,1/29/01
6,3,23,30,1/29/01,33.38774057,1/29/01
6,4,24,30,1/29/01,31.58880754,1/29/01
7,1,25,30,1/29/01,31.98102026,1/29/01
7,2,26,30,1/29/01,31.78441224,1/29/01
