1993 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,
CLAYTONIA LANCEOLATA   X/Y = NUMBER FRUITS/NUMBER FLOWERS,,,,,,,,,,,,,
,,,,,,,,,,,,,
plot,#,SPE,5/31/93,6/5/93,6/9/93,6/14/93,comments,6/21/93,comments,6/28/93,comments,7/2/93,7/5/93
1,1,CL,,1,12,12345,,45,,6,,2 fr/7 fl,
1,2,CL,,1,12,1235,,345,,56,,2 fr/8 fl,
1,3,CL,,1,12,1234,,345,,35,,4 fr/9 fl,
1,4,CL,,12,12,2345,,5,,56,,4 fr/4 fl,
1,5,CL,,12,13,134,,45,,5,,0 fr/6 fl,
2,1,CL,,12,12345,12345,,56,,6,,4 fr/10 fl,
2,2,CL,,12,124,45,,,,,,,
2,3,CL,,1234,1245,3456,,456,,6,,4 fr/10 fl,
2,4,CL,,1,1234,245,,45,,6,,4 fr/7 fl,
2,5,CL,,12,1234,1234,,45,,56,,6 fr/15 fl,
3,1,CL,,1,1,12,,4,,5,,1 fr/5 fl,
3,2,CL,,1,1,123,,35,,5,,3 fr/5 fl,6
3,3,CL,,1,1,12,,2345,,45,,2 fr/8 fl,
3,4,CL,,1,1,123,,35,,,,eaten,
3,5,CL,,12,123,124,,2345,,56,,8 fr/13 fl,
4,1,CL,1,,1234,1245,,45,,6,,4 fr/8 fl,
4,2,CL,123,,12345,1345,,345,,6,,2 fr/7 fl,
4,3,CL,12,,1245,1345,,45,,6,,4 fr/9 fl,
4,4,CL,1234,,234,45,,,eaten,,,7 fr/9 fl,
4,5,CL,1,,23,1245,,45,,56,,0 fr/6 fl,
5,1,CL,,,1,1234,,5,,45,,2 fr/5 fl,
5,2,CL,,,12,12345,,45,,56,,2 fr/9 fl,
5,3,CL,1,,124,12345,,45,,56,,7 fr/12 fl,
5,4,CL,1,,12,12345,,345,,56,,1 fr/6 fl,
5,5,CL,1,,124,12345,,25,,,,7 fr/9 fl,
6,1,CL,123,,1245,456,,56,,6,,9 fr/15 fl,
6,2,CL,12,,1234,45,,45,,6,,5 fr/10 fl,
6,3,CL,123,,1245,245,,56,,6,,4 fr/12 fl,
6,4,CL,12,,1345,12345,,56,,6,,2 fr/6 fl,
6,5,CL,1,,124,345,,56,,56,,3 fr/8 fl,
7,1,CL,12,,12345,12345,,56,,56,,8 fr/19 fl,
7,2,CL,12,,12345,1345,,56,,6,,5 fr/13 fl,
7,3,CL,12,,124,456,,5,,6,,4 fr/5 fl,
7,4,CL,12,,2345,45,,56,,6,,1 fr/4 fl,
7,5,CL,1,,124,245,,45,,56,,,
8,1,CL,123,,12345,456,,56,,6,,9 fr/15 fl,
8,2,CL,12,,1234,45,,56,,6,,4 fr/10 fl,
8,3,CL,12,,12345,245,,56,,56,,5 fr/8 fl,
8,4,CL,123,,12345,12345,,56,,56,,8 fr/15 fl,
8,5,CL,12,,12345,345,,56,,,,9 fr/12 fl,
9,1,CL,12,,12345,1345,,56,,6,,2 fr/9 fl,
9,2,CL,12,,1235,,eaten,,eaten,,,,
9,3,CL,12,,12345,1345,,56,,56,,4 fr/12 fl,
9,4,CL,12,,1245,5,,56,,6,,3 fr/4 fl,
9,5,CL,1,,12345,12345,,45,,56,,5 fr/9 fl,
10,1,CL,12345,,1346,456,,6,,,,13 fl/15 fr,
10,2,CL,123,,1245,456,,56,,,,7 fl/9 fr,
10,3,CL,1245,,12345,345,,,eaten,,,,
10,4,CL,123,,1245,345,,56,,56,,9 fr/12 fl,
10,5,CL,12,,12345,345,,56,,56,,7 fr/12 fl,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,12/31/92,12/31/92,12/31/92,12/31/92,12/31/92,12/31/92,,,,,
