1993 WARMED_MEADOW PHENOLOGY,,,,,,,,,,,,
campanula rotundifolia,rotundifolia,,,,,,,,,,,
,,,,,,,,,,,,
PLOT,SP,IND,07/26/93,comments,08/02/93,comments,08/09/93,comments,08/16/93,comments,fruitset,comments
1,CR,1,1,,14,,24,,45,,1/2,
1,CR,2,1,,13,,25,,45,clipped,3/5,
1,CR,3,1,,13,,25,,45,,1/3,
1,CR,4,1,,1,,,missing,,,,
1,CR,5,1,,1,,1,,12,,,
2,CR,1,1,,123,,235,,45,,1/4,
2,CR,2,1,,12,,23,bent,4,,0/2,damaged
2,CR,3,1,,13,,1245,,45,,1/4,
2,CR,4,1,,12,,15,,25,,1/1,
2,CR,5,1,,123,,4,,5,,1/1,
3,CR,1,1,,2,,123,new,14,,0/2,
4,CR,1,12,,123,,2345,,45,,5/5,
5,CR,1,1,,2,,1,new,25,,1/1,
5,CR,2,1,,1,,1234,,4,damaged,1/2,
5,CR,3,1,,1,,12,,125,,1/1,
5,CR,4,1,,1,,12,,125,,1/1,
5,CR,5,1,,1,,2,,,clipped,,clipped
6,CR,1,12,,2,new plant,4,,,clipped,,clipped
6,CR,2,1,,13,,1234,,45,,2/4,
6,CR,3,1,,13,,24,,45,,2/2,
6,CR,4,1,,13,,34,,,clipped,,clipped
6,CR,5,12,,3,,,CO2 chamber damage,,,,
7,CR,1,12,,1,,123,,5,,2/3,
7,CR,2,12,,12,,23,,245,,3/3,
7,CR,3,1,,12,,12,,45,,2/2,
7,CR,4,1,new plant,1,,4,,5,,1/1,
7,CR,5,1,,12,,23,,145,,3/4,
8,CR,1,1,,1,,12,,25,,2/2,
8,CR,2,12,,4,,13,,5,,1/1,
8,CR,3,1,,12,,13,,25,,1/1,
8,CR,4,1,,13,,23,,5,,3/3,
8,CR,5,1,,12,new plant,124,,5,,3/4,
9,CR,1,2,,4,,3,,4,,0/1,
9,CR,2,1,,12,,14,,245,,2/2,
9,CR,3,12,,14,,124,,245,,3/3,
9,CR,4,12,,13,,235,,5,,1/3,
9,CR,5,13,,1234,,1234,,345,,3/5,
10,CR,1,13,,134,,345,,5,,2/4,
10,CR,2,12,,234,,45,,5,,2/4,
10,CR,3,12,,234,,45,,5,,2/3,
10,CR,4,123,,4,,345,,5,,3/3,
10,CR,5,123,,24,,345,,5,,4/6,
