1991 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,,,,
DELPHINIUM NELSONII,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PLOT,SP,IND,06/10/91,06/17/91,06/24/91,07/01/90,COMMENT,07/09/91,FRUIT SET,07/15/91,FRUIT SET,07/23/91,FRUIT SET,07/30/91,FRUIT SET,08/05/91, FRUIT SET
1,DN,1,1,1,2,2345,,5,1/5,0,0/5,0,0/5,0,,0,
1,DN,2,1,1,12,2345,,5,3/6,5,2/6,0,0/6,0,,0,
1,DN,3,1,1,12,235,,5,0/4,5,1/5,5,1/6,0,0/5,0,
1,DN,4,1,1,12,245,,5,1/4,5,2/5,6,1/5,0,,0,
1,DN,5,1,1,12,245,,5,1/4,0,EAT.0/5,0,0/5,0,,0,
2,DN,1,1,1,2,45,,5,2/2,5,1/2(R.EAT.),5,1/2,6,1/2,0,
2,DN,2,1,1,12,245,,5,3/5,56,3/4,6,2/4,0,,0,
2,DN,3,1,1,13,12,,5,1/3,5,1/3,0,0/3,0,,0,
2,DN,4,1,1,12,2345,,5,1/6,5,2/6,0,0/5,0,,0,
2,DN,5,1,1,2,235,,5,3/5,0,EATEN,0,,0,,0,
3,DN,1,1,1,12,235,,34,,0,0/3,0,,0,,0,
3,DN,2,1,1,2,24,,34,,0,0/3,0,,0,,0,
3,DN,3,1,12,2,235,,5,1/5,6,1/5,0,,0,,0,
3,DN,4,1,1,12,245,,5,2/3,56,2/3,6,2/3,0,,0,
3,DN,5,1,1,12,245,,5,3/5,5,4/5,6,3/5,0,,0,
4,DN,1,1,12,12,245,,5,3/5,0,EAT.0/5,0,,0,,0,
4,DN,2,1,1,2,245,,5,2/3,56,2/3,6,1/3,0,,0,
4,DN,3,1,1,2,235,,35,,6,1/3,0,,0,,0,
4,DN,4,1,1,12,2345,,5,2/6,0,?CANTFIND,0,,0,,0,
4,DN,5,1,1,2,345,BR.STALK,5,1/2,0,0/5,0,,0,,0,
5,DN,1,1,1,2,245,,0,0/6,0,0/5,0,,0,,0,
5,DN,2,1,1,12,25,,45,,0,0/5,0,,0,,0,
5,DN,3,1,1,1,45,,5,2/2,56,2/2,6,1/3,0,,0,
5,DN,4,1,1,123,0,SHRIV.,0,BR.STALK,0,0/5,0,,0,,0,
5,DN,5,1,1,12,12345,,2345,,345,,5,2/12,5,2/12,6, 2/12
6,DN,1,1,1,2,23,FLG MVD?,35,,0,0/3,0,,0,,0,
6,DN,2,1,12,23,345,,5,1/4,0,0/3,0,,0,,0,
6,DN,3,1,12,235,2345,,5,8/9,0,EAT.0/10,0,,0,,0,
6,DN,4,1,12,24,245,,5,5/5,5,,0,0/6,0,,0,
6,DN,5,1,1,12,34,,0,0/6,0,0/3,0,,0,,0,
7,DN,1,1,1,2,235,,5,2/4,5,2/4,6,1/4,0,,0,
7,DN,2,1,12,24,245,,56,2/4,6,2/4,0,,0,,0,
7,DN,3,1,12,12,2345,,5,1/5,56,1/7,6,1/7,0,,0,
7,DN,4,1,1,2,345,,5,2/5,0,0/5,0,,0,,0,
7,DN,5,1,1,12,245,,5,3/4,5,3/4,6,3/4,0,,0,
8,DN,1,1,12,245,5,,5,3/50THEAT.,.      6,1/4,0,,0,,0,
8,DN,2,1,12,235,45,,56,5/6,6,3/5,0,,0,,0,
8,DN,3,1,12,23,35,,35,,0,0/4,0,,0,,0,
8,DN,4,12,12,2345,45,,6,"1/7,RST.EAT.",6,1/6,0,,0,,0,
8,DN,5,1,12,234,345,,5,"1/6,RST.EAT.",5,1/5,6,1/5,0,,0,
9,DN,1,1,1,2,5,,0,PLANT EAT.,       0,EAT.,0,,0,,0,
9,DN,2,1,1,2,35,,5,1/2,0,0/2,0,,0,,0,
9,DN,3,1,1,2,35,,5,1/3,0,0/2,0,,0,,0,
9,DN,4,1,12,24,45,,0,"1/4,EAT.",0,0/4,0,,0,,0,
9,DN,5,1,12,24,345,,5,1/4,5,1/3,6,1/4,0,,0,
10,DN,1,1,12,24,45,,5,2/4,0,?GONE,0,,0,,0,
10,DN,2,1,2,25,45,,6,1/2,0,0/2,0,,0,,0,
10,DN,3,12,12,2345,35,,5,1/3,0,0/4,0,,0,,0,
10,DN,4,12,12,2345,45,,56,4/6,5,1/3,6,1/5,0,,0,
10,DN,5,1,12,234,45,,5,1/3,6,1/3,6,1/2,0,,0,
