1991 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,,,,,,,,,
ERYTHRONIUM GRANDIFLORUM,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PLOT,SP,IND,5/27/91,6/4/91,6/10/91,COMMENT,6/17/91,COMMENT,6/24/91,COMMENT,7/1/91,COMMENT,7/9/91,FRUIT SET,7/15/91,FRUIT SET,7/23/91,FRUIT SET,7/30/91,FRUIT SET,8/5/91, FRUIT SET
1,EG,1,1,2,3,,5,,5,,5,YELLOW,0,0/1,6,1-Jan,0,,0,,0,
1,EG,2,1,2,3,,5,,5,,5,,5,1-Jan,5,1-Jan,6,1-Jan,0,,0,
1,EG,3,1,1,2,,5,,5,,5,,5,1-Jan,5,1-Jan,5,,6,1-Jan,0,
1,EG,4,1,1,3,,5,,5,,5,,5,1-Jan,5,1-Jan,6,1-Jan,0,,0,
1,EG,5,1,1,2,EATEN-NEW,5,,5,,5,,5,1-Jan,5,1-Jan,5,,6,1-Jan,0,
2,EG,1,1,2,3,,5,,5,,5,,5,1-Jan,5,1-Jan,6,1-Jan,0,,0,
2,EG,2,1,12,3,,5,,5,,5,,56,2-Feb,56,2-Feb,6,2-Feb,0,,0,
2,EG,3,1,2,3,,5,,5,,5,,5,1-Jan,5,1-Jan,0,CANTFIND,0,,0,
2,EG,4,1,2,3,,5,,5,,0,EATEN,0,EATEN,0,0/1 EAT.,5,1-Jan,6,1-Jan,0,
2,EG,5,1,2,2,EATEN-NEW,5,,5,,5,,6,1-Jan,6,1-Jan,6,2-Jan,0,,0,
3,EG,1,1,2,3,,5,,5,,5,,5,1-Jan,6,1-Jan,0,,0,,0,
3,EG,2,1,2,2,EATEN-NEW,5,,5,,5,,5,2-Feb,5,2-Feb,5,2-Feb,6,2-Feb,0,
3,EG,3,1,2,3,,5,,5,,5,,5,1-Jan,5,1-Jan,6,1-Jan,0,,0,
3,EG,4,1,2,2,EATEN-NEW,5,,5,,5,,5,1-Jan,5,1-Jan,5,1-Jan,6,1-Jan,0,
