1992 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,,,,,,,,
ERIOGON,SUBALPINUM,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PLOT,SP,IND,DIST,6/23/92,COMMENTS,6/29/92,COMMENTS,7/06/92,COMMENTS,7/13/92,COMMENTS,7/21/92,COMMENTS,7/27/92,COMMENTS,8/3/92,COMMENTS,8/10/92,COMMENTS,8/17/92,comments
1,ES,1,2.1,,,1,,12,,123,,1235,,5,,5,,5,FLGPULD,,
1,ES,2,2,,,12,,123,,123,,12,SHRV,0,SHRV,,0/?,,,,
1,ES,3,2.5,,,1,,12,,123,,1234,,2345,,2345,,5,FLGPLD0/?,,
1,ES,4,4.5,,,1,,12,,123,,1234,,2345,,5,,5,SOMEFRUIT,5,6 fruits
2,ES,1,3.5,,,12,,123,SHRIVELED,12,SHRV,12,SHRV,,SHRV,,,,,,
2,ES,2,3.6,,,12,,123,,123,,124,SHRV,2345,,2345,,56,SOMEFRUIT,56,71 fr
2,ES,3,4.7,,,12,,123,,123,,12345,,5,,5,,5,SOMEFRUIT,56,4 fr
2,ES,4,4.8,,,12,,123,,123,,12345,,2345,,5,,5,SOMEFRUIT,56,59 fr
2,ES,5,4.8,,,12,,123,,123,,2345,,2345,,5,,5,SOMEFRUIT,56,8 fr
3,ES,1,1.7,,,1,,12,,123,,12345,,2345,,5,,5,SOMEFRUIT,56,39 fr
3,ES,2,2.4,,,12,,12,,123,,12345,,2345,,5,,5,,56,30 fr
4,ES,1,1.8,,,12,,123,,123,,12345,,345,,5,,5,,6,2 fr
6,ES,1,2,,,1,,12,,123,,12345,,12345,,5,,5,,6,1+ fr min
6,ES,2,3.1,,,12,,12,,123,,1234,,12345,,5,,5,31fruit,,
6,ES,3,3.3,,,12,,1,SHRIV,1,SHRV,1,SHRV,,SHRV,0,,,,,
6,ES,4,4,1,NEW,12,,123,,123,,1234,,12345,,5,,5,ALLABORT,,
7,ES,1,5.2,2,,12,,123,,12,,1345,,345,,,0/?,,,,
7,ES,2,5.3,2,,12,,12,,124,,12345,,,BROKNOFF,,BROKEN,,,,
7,ES,3,5.4,,,12,,12,SHRIV,SHRV,,,SHRV,,SHRV,,0/?,,,,
7,ES,4,5.4,,,12,,12,SHRIV,SHRV,,,SHRV,,SHRV,,0/?,,,,
7,ES,5,5.6,,,12,,12,SHRIV,SHRV,,,SHRV,,SHRV,,0/?,,,,
8,ES,1,2.7,2,,12,,123,,12345,,12345,,0,ABORT,,0/?,,,,
8,ES,2,6.4,2,,12,,123,,123,,12345,,2345,,5,,5,SOMEFRUIT,6,1 fr
8,ES,3,6.5,1,,12,,123,,1234,,12345,,2345,,5,,56,SOMEFRUIT,6,1 fr
8,ES,4,3.5,2,,2,,123,,1234,,2345,,5,,5,,5,SOMEFRUIT,56,6 fr
8,ES,5,4.2,2,,2,,123,,12345,,345,,5,,5,,5,NOFRUIT,6,3 fr
9,ES,1,3.6,1,,1,,12,SOMESHRIV,,SHRV,,SHRV,,SHRV,,0/?,,,,
9,ES,2,3.7,2,,12,,123,SOMESHRIV,S,SHRV,,SHRV,,SHRV,,0/?,,,,
9,ES,3,6.3,2,,12,,123,,12345,,12345,,5,,5,,5,SOMEFRUIT,56,6 fr
9,ES,4,6.2,2,,12,,123,,12345,,2345,,,CLIPPED,CLIPPED,0/?,,,,
9,ES,5,6,2,,12,,123,,12345,,2345,,345,,5,,5,SOMEFRUIT,56,8 fr
10,ES,1,5,2,,12,,1234,,1345,,345,,5,,5,,56,SOMEFRUIT,6,19 fr
10,ES,2,5.1,2,,12,,123,,1234,,12345,,5,,5,,5,SOMEFRUIT,56,28 fr
10,ES,3,5.1,1,,12,,123,,12345,,345,,5,,5,,5,SOMEFRUIT,6,4+ fr min
10,ES,4,6.1,2,,12,,123,,1234,,345,CLIPPED,,CLIPPED,,0/?,,,,
10,ES,5,6.1,2,,12,,123,,1234,,345,,5,,,0/?,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,
,,,jdate,36700,ERR,36706,ERR,36713,ERR,36720,ERR,36728,ERR,36734,ERR,36741,ERR,36748,ERR,36755,
