1991 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,,,,,
LATHYRUS LEUCANTHUS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PLOT,SP,IND,06/17/91,06/24/91,COMMENTS,07/01/91,COMMENTS,07/09/91,07/15/91,COMMENTS,07/23/91,COMMENT,07/30/91,COMMENT,08/05/91,COMMENTS,08/13/91,COMMENT
1,LL,1,1,1,,12,,0,0,,0,,0,,0,,0,
1,LL,2,1,13,,123,,23,0,,0,,0,,0,,0,
1,LL,3,1,1,,1,,2,0,,0,,0,,0,,0,
1,LL,4,1,12,,3,,0,0,,0,,0,,0,,0,
1,LL,5,1,1,,12,"DEAD,NEW",3,0,,0,,0,,0,,0,
2,LL,1,1,1,,2,,3,0,,0,,0,,0,,0,
2,LL,2,1,1,,1,,12,23,,34,,5,,5,,5,
2,LL,3,1,13,?FROZ,12,,12,23,,2345,,345,,5,,0,
2,LL,4,1,1,,1,,0,0,,0,,0,,0,,0,
2,LL,5,1,1,,1,,3,0,,0,,0,,0,,0,
3,LL,1,1,123,?FROZ,12,,1,2,,5,,0,EATEN?,0,,0,
3,LL,2,1,1,,1,,23,3,,0,,0,,0,,0,
3,LL,3,1,1,,12,,123,23,,5,,5,,5,,5,
3,LL,4,1,1,,1,,23,34,,0,,0,,0,,0,
3,LL,5,1,1,,2,,0,0,,0,,0,,0,,0,
4,LL,1,1,1,,12,,23,3,,0,,0,,0,,0,
4,LL,2,1,1,,23,,0,0,,0,,0,,0,,0,
4,LL,3,1,1,,123,,3,0,,0,,0,,0,,0,
4,LL,4,1,12,,123,,123,234,,5,,0,EATEN?,0,,0,
4,LL,5,1,12,,123,,2,234,,4,,0,EATEN?,0,,0,
5,LL,1,1,1,,12,,2,34,,0,,0,,0,,0,
5,LL,2,1,1,,12,,23,3,,0,,0,,0,,0,
5,LL,3,1,1,,1,,2,23,,0,,0,,0,,0,
5,LL,4,1,1,,1,,23,3,,45,,5,,0,EATEN?,0,
5,LL,5,1,12,,23,,3,0,,0,,0,,0,,0,
6,LL,1,1,1,,12,,3,0,,0,,0,,0,,0,
6,LL,2,1,1,,1,,1,0,,0,,0,,0,,0,
6,LL,3,1,12,,13,,0,0,,0,,0,,0,,0,
6,LL,4,1,1,,1,,2,3,,0,,0,,0,,0,
6,LL,5,1,1,,12,,23,45,,5,,5,,5,,5,
7,LL,1,1,1,,12,,23,34,,5,,5,,5,,5,
7,LL,2,1,1,,1,,12,234,,45,,5,,5,,5,
7,LL,3,1,1,,12,,23,0,,0,,0,,0,,0,
7,LL,4,1,1,,12,,3,0,,0,,0,,0,,0,
7,LL,5,1,12,,123,,23,23,,0,,0,,0,,0,
8,LL,1,1,1,,12,,123,345,,5,,5,,5,,5,
8,LL,2,1,1,,12,,123,2345,,5,,5,,5,,5,
8,LL,3,1,1,,12,,23,3,,5,,5,,5,,5,
8,LL,4,1,12,,123,,3,45,,5,,5,,5,,5,
8,LL,5,1,1,,123,,123,3,SHRIV.,0,SHRIV.,0,SHRIV.,0,SHRIV,0,SHRIV
9,LL,1,1,12,NEW,1,,3,0,,5,,0,EATEN?,0,,0,
9,LL,2,1,1,,2,,3,0,,0,,0,,0,,0,
9,LL,3,1,1,,0,,23,3,,45,,5,,5,,5,
9,LL,4,1,1,,12,,23,3,,0,,0,,0,,0,
9,LL,5,1,1,NEW,12,,0,0,,0,,0,,0,,0,
10,LL,1,1,23,,123,,3,0,,0,,0,,0,,0,
10,LL,2,1,123,,123,,0,0,,0,,0,,0,,0,
10,LL,3,1,13,,123,,3,34,,5,,5,,5,,5,
10,LL,4,1,12,,12345,,35,45,,5,,5,,5,,5,
10,LL,5,1,12,,1,,3,5,,5,,5,,5,,5,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,06/17/91,06/24/91,COMMENTS,07/01/91,COMMENTS,07/09/91,07/15/91,COMMENTS,07/23/91,COMMENT,07/30/91,COMMENT,08/05/91,COMMENTS,08/13/91,COMMENT
