1993 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,
LATHYRUS LEUCANTHUS,,,,,,,,,,,,,
,,,,,,,,,,,,,
PLOT,#,SPE,DIST,06/28/93,comments,07/05/93,comments,07/12/93,comments,07/20/93,comments,07/26/93,comments
1,1,LL,2.5,1,,1,,3,,,nofl,,0 fr/1 fl
1,2,LL,3.1,12,,3,,3,frozen,,nofl,,0 fr/1 fl
1,3,LL,3.6,12,,3,,2,,3,nofl,,0 fr/2 fl
1,4,LL,4.9,12,,12,,3,,3,frozen,,0 fr/2 fl
1,5,LL,5.8,1,,1,,2,,34,,,
2,1,LL,2.7,1,,2,,3,,,nofl,,0 fr/1 fl
2,2,LL,3.4,2,,2,,,under gas-exchange equipment,3,dead,,
2,3,LL,4.1,1,,2,,3,,,nofl,,
2,4,LL,5.5,1,,1,,2,,3,,3,2 fr/2 fl
2,5,LL,6.2,12,,2,,34,,,nofl,,0 fr/2 fl
3,1,LL,1.3,1,,1,,3,,3,,,0 fr/1 fl
3,2,LL,2.6,12,,2,,,missing,,,check this,2 fr/2 fl
3,3,LL,3.6,0,,1,,2,,4,,5,1 fr/1 fl
3,4,LL,4.9,1,,12,,123,,4,,5,1 fr/2 fl
3,5,LL,5.4,1,,12,,12,,2,,5,1 fr/2 fl
4,1,LL,1.0,1,,12,,,nofl,,,,0 fr/1 fl
4,2,LL,2.4,1,,2,,4,,5,,5,1 fr/1 fl
4,3,LL,3.5,2,,34,,45,,5,,5,2 fr/2 fl
4,4,LL,4.6,1,,1,,12,,345,,5,3 fr/3 fl
4,5,LL,5.4,1,,12,,23,,,nofl,,0 fr/ 1 fl
5,1,LL,2.0,1,,1,,23,,345,,5,4 fr/6 fl
5,2,LL,3.1,12,,12,,123,,3,,5,1 fr/2 fl
5,3,LL,3.8,1,,1,,23,,3,dead,,
5,4,LL,4.5,1,,12,,23,,34,,5,3 fr/3 fl
5,5,LL,5.7,1,,1,,2,,3,,3,0 fr/1 fl
6,1,LL,2.0,1,,,eaten,,,,,,
6,2,LL,3.0,12,,1,,,frozen,,,,0 fr/1 fl
6,3,LL,3.7,1,,2,,3,,,nofl,,0 fr/3 fl
6,4,LL,4.6,12,,2,frozen,,frozen,,,,eaten
6,5,LL,5.5,0,,0,,,nofl,,,,eaten
7,1,LL,2.1,1,,2,,2,,3,dead,,
7,2,LL,3.2,1,,2,,3,,3,,,0 fr/2 fl
7,3,LL,4.3,12,,2,,3,,3,dead,,0 fr/1 fl
7,4,LL,5.0,1,frozen,,,,nofl,,,,0 fr/1 fl
7,5,LL,6.3,1,,1,,,nofl,,,,0 fr/1 fl
8,1,LL,2.2,1,,12,new,23,,2,dead,,0 fr/2 fl
8,2,LL,3.1,12,,2,,,under gas-exhange equipment,,nofl,,
8,3,LL,4.2,2,,12,,3,,,nofl,,0 fr/1 fl
8,4,LL,4.8,23,,4,,4,,,nofl,4,0 fr/1 fl
8,5,LL,6.4,1,,2,,3,,1,new,1,0 fr/3 fl
9,1,LL,1.7,1,,1,,,nofl,,,,0 fr/1 fl
9,2,LL,2.6,1,frozen,1,,,nofl,,,,0 fr/3 fl
9,3,LL,4.0,1,,2,,3,,,frozen,,0 fr/1 fl
9,4,LL,4.5,12,,3,,4,,,nofl,,0 fr/1 fl
9,5,LL,5.0,12,,1,,,nofl,,,,eaten
10,1,LL,2.2,1,,2,,3,,,nofl,,0 fr/1 fl
10,2,LL,3.1,1,frozen,0,0 fr/2 fl,,,,,,0 fr/1 fl
10,3,LL,4.3,0,,0,fl. drop,,,,,,0 fr/2 fl
10,4,LL,4.9,123,,35,,45,,5,,5,1 fr/1 fl
10,5,LL,5.2,13,,2,0 fr/1 fl,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PLOT,,,,,,,,,,,,,
