1993 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,
MERTENSIA FUSIFORMES,,,,,X/Y=FRUITS/FLOWERS,,,,,,,,,
,,,,,,,,,,,,,,
PLOT,#,SPE,DIST,05/31/93,06/05/93,06/09/93,06/14/93,06/21/93,comments,06/28/93,comments,07/02/93,07/05/93,comments
1,1,MF,1.5,,1,1,12,,eaten,,,,,
1,2,MF,1.9,,1,1,12,234,,5,,12 fr/26 fl,,
1,3,MF,2.4,,1,1,123,1234,,45,,eaten,,
1,4,MF,5.0,,1,1,12,1234,,2345,,,,5 fr/38 fl
1,5,MF,6.0,,1,1,12,1234,,245,,,,8 fr/38 fl
2,1,MF,1.1,,1,1,12,234,,4,,0 fr/11 fl,,
2,2,MF,1.6,,1,12,12345,12345,,245,,21 fr/65 fl,,
2,3,MF,2.5,,1,12,12345,45,,45,,6 fr/22 fl,,
2,4,MF,4.9,,12,12,1234,2345,,5,,,56,8 fr/31 fl
2,5,MF,6.4,,12,12,12345,345,,56,,15 fr/38 fl,,
3,1,MF,1.1,,1,1,12,124,,24,,,,
3,2,MF,1.2,,1,1,12,12345,,2345,,,356,16 fr/64 fl
3,3,MF,1.8,,1,1,12,1234,,245,,,56,11 fr/31 fl
3,4,MF,2.2,,1,1,12,12345,,245,,27 fr/64 fl,,
3,5,MF,2.7,,1,1,12,12345,,245,,,56,17 fr/30 fl
4,1,MF,0.9,1,1,1,124,12345,,12345,,,56,32 fr/70 fl
4,2,MF,1.2,1,1,12,2345,245,,5,,12 fr/36 fl,,
4,3,MF,1.8,12,12,1234,12345,2345,,56,,28 fr/89 fl,,
4,4,MF,1.9,12,12,1245,12345,245,,56,,54 fr/157 fl,,
4,5,MF,3.0,1,1,1234,2345,56,,5,,1 fr/22 fl,,
5,1,MF,1.5,,,1,12,234,,245,,,56,4 fr/31 fl
5,2,MF,2.0,,,12,1234,2345,,45,,30 fr/65 fl,,
5,3,MF,4.1,,,1,12,234,,2345,,,56,21 fr/42 fl
5,4,MF,4.5,,,1,123,12345,,2345,,,56,29 fr/50 fl
5,5,MF,6.7,,,1,12,2345,,12345,,,1245,
6,1,MF,1.3,1,,1234,245,45,,56,,15 fr/25 fl,,
6,2,MF,3.2,123,,1245,12345,456,,6,48 fr/78 fl,,,
6,3,MF,4.7,1,,12,1234,2345,,12345,,,56,16 fr/39 fl
6,4,MF,4.9,1,,12,1245,2345,,45,,,56,15 fr/31 fl
6,5,MF,5.7,1234,,1245,245,456,,56,,18 fr/34 fl,,
7,1,MF,1.9,1,,1,12345,45,,5,,2 fr/13 fl,,
7,2,MF,4.4,1,,1234,1235,345,,5,,6 fr/31 fl,,
7,3,MF,4.9,1,,1234,2345,5,,45,,10 fr/23 fl,,
7,4,MF,5.1,12,,1234,1245,12345,,56,,21 fr/59 fl,,
7,5,MF,6.7,1,,1,1234,1245,,5,,18 fr/42 fl,,
8,1,MF,1.8,1,,12345,12345,56,,6,10 fr/25 fl,,,
8,2,MF,4.5,123,,12345,2345,5,,56,17 fr/23 fl,,,
8,3,MF,4.6,12,,1234,245,45,,6,7 fr/16 fl,,,
8,4,MF,5.7,12,,12345,245,56,,6,4 fr/25 fl,,,
8,5,MF,7.0,1,,1234,12345,12456,,256,,,56,23 fr/38 fl
9,1,MF,2.2,1,,1234,12345,56,,56,23 fr/55 fl,,,
9,2,MF,3.3,12,,1234,12345,56,,56,26 fr/44 fl,,,
9,3,MF,5.4,1,,1234,12345,245,,6,37 fr/64 fl,,,
9,4,MF,6.1,1,,12,1234,12345,,5,,,,
9,5,MF,7.1,1,,12,1234,245,,5,,,56,16 fr/37 fl
10,1,MF,2.2,34,,45,45,56,,6,6 fr/46 fl,,,
10,2,MF,4.2,124,,45,4,56,,6,19 fr/23 fl,,,
10,3,MF,5.2,1234,,1234,23,5,,6,0 fr/12 fl,,,
10,4,MF,6.2,1234,,12345,23456,,26 FR/52 FL,,,,,
,5,MF,8.0,1,,245,2345,56,,6,10 fr/18 fl,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PLOT,,,,,,,,,,,,,,
