JULIAN DAY,TIME,Plot,air,7.5,aa
1,15,1,2.8435,4.4554,
1,15,2,-3.9831,4.7814,
1,15,3,-1.6418,5.3003,
1,15,4,,6.0764,
1,15,5,,5.0564,
1,15,6,-1.5134,4.6257,
1,15,7,2.7542,5.2175,
1,15,8,1.4556,-7.8155,
1,15,9,-4.9182,4.7998,
1,15,10,2.8508,4.9986,
1,15,11,0.96503,3.0873,
1,15,12,5.0053,6.6157,
1,15,13,1.3289,7.0156,
1,15,14,1.5322,4.0008,
1,15,15,3.0753,3.1026,
1,15,16,-2.3514,4.3148,
1,15,17,,,
1,15,18,-7.413,5.168,
1,15,19,-0.58157,4.4472,
1,15,20,-1.918,4.6395,
1,30,1,2.8056,4.4047,
1,30,2,-4.0304,4.7318,
1,30,3,-1.7786,5.2396,
1,30,4,,6.0314,
1,30,5,,5.0013,
1,30,6,-1.5353,4.5801,
1,30,7,2.6993,5.1756,
1,30,8,1.4343,-8.0392,
1,30,9,-4.9801,4.7564,
1,30,10,2.8041,4.9461,
1,30,11,0.92766,3.0564,
1,30,12,4.9536,6.5873,
1,30,13,1.2999,7.0068,
1,30,14,1.497,3.9512,
1,30,15,3.0421,3.0751,
1,30,16,-2.4167,4.2666,
1,30,17,,,
1,30,18,-7.9414,5.1217,
1,30,19,-0.79424,4.3965,
1,30,20,-1.9667,4.5925,
1,45,1,2.718,4.3468,
1,45,2,-4.525,4.6829,
1,45,3,-2.0609,5.1845,
1,45,4,,5.9898,
1,45,5,,4.9487,
1,45,6,-1.7049,4.5359,
1,45,7,2.6315,5.1336,
1,45,8,1.2789,-8.4741,
1,45,9,-5.4409,4.716,
1,45,10,2.694,4.8947,
1,45,11,0.83681,3.0082,
1,45,12,4.9021,6.5607,
1,45,13,1.2623,6.9982,
1,45,14,1.4521,3.9011,
1,45,15,2.982,2.9844,
1,45,16,-2.784,4.2146,
1,45,17,,,
1,45,18,-8.3039,5.0771,
1,45,19,-1.0071,4.3476,
1,45,20,-2.1387,4.5448,
1,100,1,2.6747,4.296,
1,100,2,-4.2703,4.6304,
1,100,3,-1.8756,5.1299,
1,100,4,,5.9475,
1,100,5,,4.8978,
1,100,6,-1.6403,4.4882,
1,100,7,2.576,5.0924,
1,100,8,1.2789,-8.2659,
1,100,9,-5.2605,4.6676,
1,100,10,2.6705,4.842,
1,100,11,0.80011,2.9593,
1,100,12,4.8541,6.5327,
1,100,13,1.2316,6.9867,
1,100,14,1.4141,3.8495,
1,100,15,2.9359,2.9522,
1,100,16,-2.689,4.1626,
1,100,17,,,
1,100,18,-7.5731,5.0342,
1,100,19,-0.74582,4.299,
1,100,20,-2.0075,4.497,
1,115,1,2.6065,4.2404,
1,115,2,-4.3945,4.5743,
1,115,3,-2.032,5.0744,
1,115,4,,5.9073,
1,115,5,,4.8436,
1,115,6,-1.72,4.4428,
1,115,7,2.5127,5.0495,
1,115,8,1.2295,-8.5231,
1,115,9,-5.3849,4.6098,
1,115,10,2.5976,4.7891,
1,115,11,0.73066,2.9127,
1,115,12,4.8076,6.5023,
1,115,13,1.1982,6.9753,
1,115,14,1.374,3.7956,
1,115,15,2.8939,2.8948,
1,115,16,-2.7804,4.1111,
1,115,17,,,
1,115,18,-8.0404,4.9915,
1,115,19,-0.75232,4.2476,
1,115,20,-2.1537,4.4508,
1,130,1,2.5353,4.1885,
1,130,2,-4.5555,4.5256,
1,130,3,-2.1252,5.0226,
1,130,4,,5.8686,
1,130,5,,4.7952,
1,130,6,-1.7897,4.3994,
1,130,7,2.4501,5.011,
1,130,8,1.165,-8.412,
1,130,9,-5.6371,4.5731,
1,130,10,2.5386,4.7361,
1,130,11,0.67781,2.868,
1,130,12,4.7623,6.4747,
1,130,13,1.1653,6.9659,
1,130,14,1.3371,3.7475,
1,130,15,2.8362,2.8263,
1,130,16,-2.8484,4.061,
1,130,17,,,
1,130,18,-8.3516,4.9513,
1,130,19,-0.86227,4.201,
1,130,20,-2.2413,4.4042,
1,145,1,2.4724,4.1359,
1,145,2,-4.6822,4.4791,
1,145,3,-2.2637,4.9698,
1,145,4,,5.8294,
1,145,5,,4.7462,
1,145,6,-1.8462,4.355,
1,145,7,2.3919,4.9719,
1,145,8,1.1089,-8.4459,
1,145,9,-5.7449,4.5394,
1,145,10,2.488,4.6832,
1,145,11,0.63667,2.8231,
1,145,12,4.7178,6.447,
1,145,13,1.1332,6.956,
1,145,14,1.2985,3.698,
1,145,15,2.7787,2.7684,
1,145,16,-2.9238,4.0109,
1,145,17,,,
1,145,18,-8.3729,4.9098,
1,145,19,-0.93789,4.1544,
1,145,20,-2.3043,4.3575,
1,200,1,2.4136,4.0793,
1,200,2,-4.7299,4.4232,
1,200,3,-2.2739,4.9178,
1,200,4,,5.7887,
1,200,5,,4.6954,
1,200,6,-1.881,4.3102,
1,200,7,2.3278,4.9281,
1,200,8,1.0429,-8.4902,
1,200,9,-5.77,4.4847,
1,200,10,2.4369,4.6279,
1,200,11,0.58007,2.7714,
1,200,12,4.671,6.4159,
1,200,13,1.0996,6.9422,
1,200,14,1.2583,3.6456,
