YEAR,JD,Plot, Air 15 cm,7.5cm,Air_SD,7.5_SD
2004,205,1,18.752001,25.023001,0.05414,0.0267
2004,205,2,17.878,25.468,0.08073,0.02433
2004,205,3,18.16,24.546,0.05542,0.01801
2004,205,4,18.733999,24.84,0.07509,0.01432
2004,205,5,-99999,-99999,0,0
2004,205,6,18.594999,24.316999,0.06771,0.0256
2004,205,7,-99999,23.837,0,0.01507
2004,205,8,21.737,17.943001,0.02103,0.09356
2004,205,9,18.777,24.195999,0.0687,0.02027
2004,205,10,18.327,24.450001,0.05704,0.02161
2004,205,11,18.500999,23.445,0.02738,0.0229
2004,205,12,24.438,24.731001,0.01759,0.00714
2004,205,13,18.422001,24.294001,0.04225,0.00505
2004,205,14,18.018999,24.17,0.0399,0.02248
2004,205,15,22.799999,18.181,0.02381,0.05912
2004,205,16,18.148001,24.292999,0.02073,0.0225
2004,205,17,17.635,-99999,0.06422,0
2004,205,18,18.111,25.243999,0.0438,0.01877
2004,205,19,18.115999,25.104,0.04791,0.02141
2004,205,20,18.077,25.283001,0.02839,0.01586
2004,205,1,18.691,24.934,0.04332,0.02705
2004,205,2,17.82,25.386,0.10925,0.02651
2004,205,3,18.055,24.476999,0.02831,0.02482
2004,205,4,18.586,24.790001,0.09607,0.01551
2004,205,5,-99999,-99999,0,0
2004,205,6,18.547001,24.232,0.05435,0.02483
2004,205,7,-99999,23.777,0,0.02052
2004,205,8,21.688,17.853001,0.0249,0.08938
2004,205,9,18.613001,24.122,0.07071,0.02363
2004,205,10,18.219,24.374001,0.05224,0.02402
2004,205,11,18.395,23.365999,0.03531,0.02224
2004,205,12,24.365999,24.707001,0.02617,0.00959
2004,205,13,18.322001,24.294001,0.03175,0.00524
2004,205,14,17.917999,24.094999,0.02324,0.02236
2004,205,15,22.721001,18.046,0.02381,0.0699
2004,205,16,18.045,24.221001,0.03368,0.02165
2004,205,17,17.5,-99999,0.02734,0
2004,205,18,18.025,25.177999,0.01586,0.02033
2004,205,19,18.007999,25.030001,0.04581,0.022
2004,205,20,17.950001,25.216,0.03361,0.02406
2004,205,1,18.563,24.844,0.06284,0.02536
2004,205,2,17.725,25.312,0.02473,0.01944
2004,205,3,18.049,24.405001,0.04138,0.01962
2004,205,4,18.627001,24.739,0.05399,0.01486
2004,205,5,-99999,-99999,0,0
2004,205,6,18.466,24.149,0.04189,0.02352
2004,205,7,-99999,23.712,0,0.01708
2004,205,8,21.606001,17.868,0.01125,0.04182
2004,205,9,18.615,24.037001,0.05883,0.02274
2004,205,10,18.143,24.299,0.05662,0.0212
2004,205,11,18.381001,23.289,0.03473,0.02274
2004,205,12,24.292,24.681999,0.02021,0.00728
2004,205,13,18.245001,24.287001,0.02763,0.00417
2004,205,14,17.882,24.021,0.0194,0.02149
2004,205,15,22.643,18.052999,0.02107,0.03297
2004,205,16,18.01,24.150999,0.02271,0.02133
2004,205,17,17.509001,-99999,0.03444,0
2004,205,18,17.98,25.110001,0.02414,0.0198
2004,205,19,17.988001,24.955,0.05312,0.02125
2004,205,20,18.017,25.142,0.05936,0.02166
2004,205,1,18.577999,24.761999,0.03305,0.02284
2004,205,2,17.733,25.245001,0.06136,0.04052
2004,205,3,17.976999,24.337,0.04134,0.01948
2004,205,4,18.563,24.690001,0.06513,0.01437
2004,205,5,-99999,-99999,0,0
