Erigeron strigosus Phenology 2003,,,,,,,,,,,,,,,,
Fit Curve per Plot,,,,,,,,,,,,,,,,
Mean Values,,,31-Mar,1-Apr,14-Apr,24-Apr,2-May,9-May,21-May,5-Jun,23-Jun,27-Jun,3-Jul,10-Jul,18-Jul,25-Jul
plot,Heat?,Water?,90,91,104,114,122,129,141,156,174,178,184,191,199,206
1,y,y,0,0.033333333,0.096153846,0.216666667,0.716666667,1.120689655,1.733333333,1.963636364,4.470833333,4.838333333,6,6,6,6
2,n,n,0,0,0.371621622,0.354545455,0.783783784,1.098591549,1.285714286,2.916666667,3.925595238,3.729166667,5.325,5.466666667,5.7,6
3,y,n,0,0.055555556,0.277777778,0.666666667,0.722222222,1,1.166666667,2.785714286,4.719444444,5.15,5.883333333,6,6,6
4,n,y,0,0,0.26,0.076923077,0.48,0.825,1.611111111,3.1,3.589880952,3.16,3.8,3.94,5.6625,6
5,y,y,0.05,0.05,0.25,0.65,0.85,1.071428571,1.714285714,2.916666667,3.3,3.854166667,4.322916667,5.09047619,5.583333333,6
6,n,n,0,0,0.5,0.285714286,0.5,1.285714286,1.571428571,2.775,3.702380952,3.266666667,4.208333333,,5.75,6
7,y,n,0,0.071428571,0.214285714,0.111111111,0.346153846,0.791666667,1.714285714,2.8,,6,6,6,6,6
8,n,y,0,0.125,0.5,0.5,0.5,0.375,1.5,,,6,6,6,6,6
9,y,y,0,0,0.5,0.555555556,1.05,1.5,1.916666667,2.775,,4.5,5.060185185,6,6,6
10,n,n,0,0.05,0.5,0.5,0.25,0.6,1.5,2.35,,5.05,5.363095238,6,6,6
11,n,n,0.1,0,0.5,0.5,0.666666667,0.85,1.291666667,2.857142857,,4.841666667,5.341666667,5.455,5.4,6
12,y,y,0,0,0.357142857,0.346153846,0.571428571,0.892857143,1.136363636,3,,4.858333333,5.883333333,6,6,6
13,y,y,0,0,0.5,0.5,1,1.125,1.6,3.2,,5.4,5.75,5.7,6,6
14,n,n,0,0,0.5,0.5,0.25,0.916666667,1.583333333,2.475,,5.333333333,5.708333333,6,6,6
15,y,n,0.076923077,0.076923077,0.538461538,0.384615385,1.392857143,1.5,1.545454545,3,,6,6,6,6,6
16,n,y,0,0,0.208333333,0.375,0.8125,0.977272727,1.636363636,3.2,,3.744047619,5.245833333,4.8,5.883333333,6
17,y,y,0,0,0.133333333,0.35,0.803571429,1.487179487,1.785714286,2.780769231,,3.59,4.475,4.092592593,5.65,6
18,n,n,0,0,0.3,0.325,0.625,1.025,1.93,3.08,,3.966666667,4.879166667,5.275,5.670833333,6
19,y,n,0,0,0.182926829,0.444444444,1.177777778,1.475,1.928888889,2.775,,3.766666667,4.345833333,5.0125,6,6
20,n,y,0,0,0.305555556,0.277777778,0.833333333,0.972222222,1.323529412,3.339285714,,5.7,6,6,6,6
