Plant,Year,Month,Day,Date
Abelia grandiflora ,1985,8,3,8/3/85
Abelia grandiflora ,1985,8,10,8/10/85
Abelia grandiflora ,1985,8,17,8/17/85
Abelia grandiflora ,1985,8,24,8/24/85
Abelia grandiflora ,1985,8,31,8/31/85
Abelia grandiflora ,1985,9,7,9/7/85
Abelia grandiflora ,1985,9,15,9/15/85
Abelia grandiflora ,1985,9,28,9/28/85
Abelia grandiflora ,1985,10,5,10/5/85
Abelia grandiflora ,1985,10,12,10/12/85
Abelia grandiflora ,1985,10,19,10/19/85
Abelia grandiflora ,1985,10,26,10/26/85
Abelia grandiflora ,1985,11,2,11/2/85
Abelia grandiflora ,1985,11,9,11/9/85
Abelia grandiflora ,1985,11,16,11/16/85
Abelia grandiflora ,1985,11,23,11/23/85
Abelia grandiflora ,1985,11,30,11/30/85
Abelia grandiflora ,1985,12,7,12/7/85
Abelia grandiflora ,1985,12,14,12/14/85
Abelia grandiflora ,1985,12,21,12/21/85
Abelia grandiflora ,1985,12,28,12/28/85
Abelia grandiflora ,1986,1,11,1/11/86
Abelia grandiflora ,1986,1,18,1/18/86
Abelia grandiflora ,1986,2,22,2/22/86
Abelia grandiflora ,1986,8,16,8/16/86
Abelia grandiflora ,1986,8,23,8/23/86
Abelia grandiflora ,1986,8,30,8/30/86
Abelia grandiflora ,1986,9,6,9/6/86
Abelia grandiflora ,1986,9,13,9/13/86
Abelia grandiflora ,1986,9,27,9/27/86
Abelia grandiflora ,1986,10,4,10/4/86
Abelia grandiflora ,1986,10,11,10/11/86
Abelia grandiflora ,1986,10,18,10/18/86
Abelia grandiflora ,1986,10,25,10/25/86
Abelia grandiflora ,1986,11,1,11/1/86
Abelia grandiflora ,1986,11,8,11/8/86
Abelia grandiflora ,1986,11,15,11/15/86
Abelia grandiflora ,1986,11,22,11/22/86
Abelia grandiflora ,1986,11,29,11/29/86
Abelia grandiflora ,1986,12,6,12/6/86
Abelia grandiflora ,1986,12,13,12/13/86
Abelia grandiflora ,1986,12,20,12/20/86
Abelia grandiflora ,1986,12,27,12/27/86
Abelia grandiflora ,1987,1,3,1/3/87
Abelia grandiflora ,1987,1,10,1/10/87
Abelia grandiflora ,1987,8,1,8/1/87
Abelia grandiflora ,1987,8,8,8/8/87
Abelia grandiflora ,1987,8,15,8/15/87
Abelia grandiflora ,1987,8,22,8/22/87
Abelia grandiflora ,1987,8,29,8/29/87
Abelia grandiflora ,1987,9,5,9/5/87
Abelia grandiflora ,1987,9,19,9/19/87
Abelia grandiflora ,1987,9,26,9/26/87
Abelia grandiflora ,1987,10,3,10/3/87
Abelia grandiflora ,1987,10,10,10/10/87
Abelia grandiflora ,1987,10,17,10/17/87
Abelia grandiflora ,1987,10,24,10/24/87
Abelia grandiflora ,1987,10,31,10/31/87
Abelia grandiflora ,1987,11,7,11/7/87
Abelia grandiflora ,1987,11,14,11/14/87
Abelia grandiflora ,1987,11,21,11/21/87
Abelia grandiflora ,1987,11,28,11/28/87
Abelia grandiflora ,1987,12,5,12/5/87
Abelia grandiflora ,1987,12,12,12/12/87
Abelia grandiflora ,1987,12,19,12/19/87
Abelia grandiflora ,1987,12,26,12/26/87
Abelia grandiflora ,1988,1,2,1/2/88
Abelia grandiflora ,1988,1,9,1/9/88
Abelia grandiflora ,1988,1,16,1/16/88
Abelia grandiflora ,1988,7,23,7/23/88
Abelia grandiflora ,1988,7,30,7/30/88
Abelia grandiflora ,1988,8,6,8/6/88
Abelia grandiflora ,1988,8,13,8/13/88
Abelia grandiflora ,1988,8,20,8/20/88
Abelia grandiflora ,1988,8,27,8/27/88
Abelia grandiflora ,1988,9,3,9/3/88
Abelia grandiflora ,1988,9,10,9/10/88
Abelia grandiflora ,1988,9,17,9/17/88
Abelia grandiflora ,1988,9,25,9/25/88
Abelia grandiflora ,1988,10,1,10/1/88
Abelia grandiflora ,1988,10,8,10/8/88
Abelia grandiflora ,1988,10,15,10/15/88
Abelia grandiflora ,1988,10,22,10/22/88
Abelia grandiflora ,1988,10,29,10/29/88
Abelia grandiflora ,1988,11,5,11/5/88
Abelia grandiflora ,1988,11,12,11/12/88
Abelia grandiflora ,1988,11,19,11/19/88
Abelia grandiflora ,1988,11,26,11/26/88
Abelia grandiflora ,1988,12,3,12/3/88
Abelia grandiflora ,1988,12,10,12/10/88
Abelia grandiflora ,1988,12,17,12/17/88
Abelia grandiflora ,1988,12,24,12/24/88
Abelia grandiflora ,1988,12,31,12/31/88
Abelia grandiflora ,1989,1,1,1/1/89
Abelia grandiflora ,1989,1,7,1/7/89
Abelia grandiflora ,1989,1,14,1/14/89
Abelia grandiflora ,1989,1,21,1/21/89
Abelia grandiflora ,1989,1,28,1/28/89
Abelia grandiflora ,1989,7,22,7/22/89
