Phenological List of Konza Prairie Plants,,,,1st Bloom2015,1st Bloom,1st Bloom,1st Bloom,1st Bloom,1st Bloom,1st Bloom,1st Bloom,1st Bloom,1st Bloom,1st Bloom,1st Bloom,1st Bloom,1st Bloom,1st Bloom,,
Common Name,Scientific Name,Observer2015,Site2015,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,Comments,Plant type
Red or Slippery elm,Ulmus rubra,V. Wright,"THP,C1B",3/8/2015,3/15/2014,3/15/2013,2/28/2012,3/18/2011,3/22/2010,2/28/2009,3/21/2008,3/10/2007,3/1/2006,3/4/2005,3/13/2004,3/15/2003,2/23/2002,3/23/2001,,"Tree, Deciduous"
Siberian elm (intro.),Ulmus pumila,J. Haukos,HH,3/12/2015,3/29/2014,3/30/2013,02/30/12,3/15/2011,3/23/2010,2/26/2009,3/19/2008,3/12/2007,3/2/2006,3/7/2005,3/6/2004,3/16/2003,3/4/2002,3/23/2001,,"Tree, Deciduous"
American elm,Ulmus americana,J. Haukos,HH,3/12/2015,3/22/2014,3/16/2013,2/27/2012,3/12/2011,3/15/2010,2/26/2009,3/19/2008,3/10/2007,3/1/2006,3/4/2005,3/6/2004,3/15/2003,3/6/2002,3/23/2001,,"Tree, Deciduous"
Eastern Red cedar,Juniperus virginiana,Saturday Morning Ladies,NT,3/14/2015,3/30/2014,4/20/2013,3/6/2012,3/31/2011,3/22/2010,3/6/2009,,3/13/2007,3/2/2006,3/16/2005,3/13/2004,3/16/2003,3/16/2002,3/23/2001,no pollen 08 freeze,"Tree, Coniferous"
Wild parsley,Lomatium foeniculaceum,J. Taylor,C3SC,3/16/2015,3/29/2014,4/3/2013,3/9/2012,3/25/2011,3/31/2010,3/15/2009,3/28/2008,3/19/2007,3/11/2006,3/23/2005,3/20/2004,3/22/2003,3/30/2002,3/28/2001,,Forb
Blue mustard (intro.),Chorispora tenella,J. Taylor,"THP,C1B",3/18/2015,3/30/2014,,,,,,,,,,,,,,,
Ground plum,Astragalus crassicarpus,"J.Adams,N.Goulden",BH,3/21/2015,4/5/2014,4/6/2013,3/14/2012,3/26/2011,4/3/2010,3/21/2009,4/12/2008,3/24/2007,3/1/2006,3/23/2005,3/25/2004,3/25/2003,3/31/2002,4/6/2001,,Forb
Wedge-leaf draba,Draba cuneifolia,Saturday AM Docents,C3SA,4/4/2015,4/18/2014,4/11/2013,3/24/2012,4/9/2011,4/6/2010,4/14/2009,4/22/2008,3/27/2007,4/3/2006,4/14/2005,3/25/2004,4/3/2003,4/9/2002,,,Forb
White Whitlow-wort,Draba reptans,Saturday AM Docents,C3SA,4/4/2015,4/11/2014,4/11/2013,3/16/2012,4/9/2011,4/5/2010,,,,,,,,,,,Forb
"Wild pansy, Johnny-jump-up",Viola rafinesquii,"J.Taylor,J.Haukos","SuA,HQ",4/6/2015,4/12/2014,4/13/2013,3/23/2012,4/9/2011,4/3/2010,4/7/2009,4/19/2008,3/24/2007,4/3/2006,4/4/2005,3/25/2004,4/3/2003,4/9/2002,4/15/2001,,Forb
Western Rock-jasmine,Androsace occidentalis,Saturday AM Docents,C3SA,4/4/2015,4/8/2014,4/9/2013,3/27/2012,4/5/2011,4/5/2010,,,,,,,,,,,Forb
Mead's sedge,Carex meadii,J. Taylor,SuA,4/6/2015,4/11/2014,4/9/2013,3/16/2012,4/2/2011,4/6/2010,4/4/2009,4/15/2008,3/24/2007,4/13/2006,4/14/2005,3/25/2004,4/2/2003,4/11/2002,4/7/2001,,Sedge
Prairie sedge,Carex inops,J. Taylor,C3SA,3/24/2015,4/1/2014,4/8/2013,,,,,,,,,,,,,,
Redbud,Cercis canadensis,Saturday AM Docents,C3SA,4/4/2015,4/15/2014,4/13/2013,3/18/2012,4/5/2011,4/6/2010,3/26/2009,4/19/2008,3/26/2007,4/3/2006,4/5/2005,4/3/2004,4/3/2003,4/11/2002,4/12/2001,,"Tree, Deciduous"
Pussy-toes,Antennaria neglecta,Saturday AM Docents,C3SC,3/28/2015,4/3/2014,4/3/2013,3/23/2012,4/2/2011,4/1/2010,3/21/2009,4/15/2008,3/24/2007,4/7/2006,4/4/2005,3/25/2004,4/5/2003,4/13/2002,4/8/2001,,Forb
Small bluets,Hedyotis crassifolia,"E.Allen,G.Brecken,H.Tyler",HP,4/7/2015,4/3/2014,4/20/2013,3/24/2012,4/9/2011,4/1/2010,4/11/2009,4/19/2008,,4/5/2006,4/4/2005,3/25/2004,,4/13/2002,,,Forb
Bushy Wallflower,Erysimum repandum,J. Taylor,THP,,,,,,,,,,,,,,,,,
Wild plum,Prunus americanus,C. Hedinger,K4A,4/1/2015,4/11/2014,4/21/2013,3/19/2012,4/5/2011,4/6/2010,4/7/2009,4/19/2008,3/26/2007,4/3/2006,4/7/2005,4/3/2004,4/1/2003,4/13/2002,4/13/2001,,"Shrub, Deciduous"
Sandhill plum,Prunus angustifolius,J. Taylor,N20A,4/6/2015,,4/26/2013,3/24/2012,4/10/2011,4/6/2010,,,,,,,,,,,"Shrub, Deciduous"
Prickly ash,Zanthoxylum americanum,V. Wright,HH,4/9/2015,4/12/2014,4/21/2013,3/23/2012,4/10/2011,4/6/2010,3/26/2009,4/19/2008,3/31/2007,4/7/2006,4/9/2005,3/27/2004,4/5/2003,4/13/2002,4/14/2001,,"Shrub, Deciduous"
Prairie blue violet,Viola pratincola,"Docent trainees,Sat.Docents","BH,C3SA",4/4/2015,4/5/2014,4/20/2013,3/18/2012,4/8/2011,4/2/2010,4/14/2009,4/16/2008,3/28/2007,4/5/2006,4/7/2005,4/1/2004,4/5/2003,4/14/2002,4/12/2001,,Forb
Slender fumewort,Corydalis micrantha,B. VanSlyke,HQB,4/13/2015,4/19/2014,4/15/2013,4/3/2012,4/9/2011,4/6/2010,4/23/2009,4/25/2008,3/31/2007,4/5/2006,4/15/2005,4/3/2004,4/5/2003,4/14/2002,4/20/2001,,Forb
Wild strawberry,Fragaria virginiana,Docent trainees,BH,4/11/2015,4/19/2014,,,,,,,,,,,,,,,
Prairie groundsel,Packera plattensis,Saturday AM Docents,C3SA,4/18/2015,4/25/2014,4/15/2013,3/28/2012,4/18/2011,4/16/2010,4/23/2009,4/26/2008,4/17/2007,4/15/2006,4/18/2005,4/15/2004,4/18/2003,4/14/2002,4/21/2001,,Forb
Box elder,Acer negundo,"E.Allen,G.Brecken,H.Tyler",Geo,4/7/2015,4/23/2014,4/15/2013,,,,,,,,,,,,,,
Hackberry,Celtis occidentalis,G. Breckon,C3SA,4/7/2015,5/2/2014,,3/20/2012,4/30/2011,4/6/2010,5/1/2009,4/19/2008,3/26/2007,4/13/2006,4/8/2005,3/29/2004,,4/16/2002,4/12/2001,,"Tree, Deciduous"
Cottonwood,Populus deltoides,J. Taylor,N4A,4/7/2015,4/24/2014,5/16/2013,3/23/2012,4/9/2011,4/2/2010,4/22/2009,4/19/2008,3/26/2007,4/7/2006,4/7/2005,3/27/2004,4/5/2003,4/18/2002,4/8/2001,,"Tree, Deciduous"
Green ash,Fraxinus pennsylvanica,V. Wright,KL,04/00/15,4/25/2014,,3/27/2012,4/18/2011,4/8/2010,,4/24/2008,,,,,,,,,"Tree, Deciduous"
Garlic mustard (intro.),Alliaria officinalis,J. Haukos,NT,4/14/2014,4/22/2014,4/27/2013,3/27/2012,4/16/2011,4/10/2010,4/22/2009,4/23/2008,4/20/2007,4/7/2006,4/14/2005,4/8/2004,4/18/2003,4/18/2002,4/20/2001,,Forb
Missouri gooseberry,Ribes missouriense,"E.Allen,G.Brecken,H.Tyler",Geo,4/7/2015,4/19/2014,4/20/2013,3/24/2012,4/17/2011,4/6/2010,4/11/2009,4/24/2008,3/31/2007,4/11/2006,4/9/2005,4/8/2004,4/18/2003,4/18/2002,,,"Shrub, Deciduous"
Chinquapin oak,Quercus muehlenbergii,J. Taylor,WP,4/10/2015,4/24/2014,5/7/2013,3/30/2012,4/30/2011,4/11/2010,4/26/2009,4/26/2008,4/2/2007,4/13/2006,4/18/2005,4/10/2004,4/18/2003,4/18/2002,4/23/2001,,"Tree, Deciduous"
Blue phlox,Phlox divaricata,E. Allen,KC,4/6/2015,4/22/2014,5/7/2013,3/24/2012,4/28/2011,4/10/2010,4/22/2009,4/24/2008,4/20/2007,4/7/2006,4/17/2005,4/10/2004,4/18/2003,4/18/2002,4/24/2001,,Forb
