,,birch,,,buds,,,,,,,,,,,,,,,,,,,,
,year,phenotype,d/mo/yr,julian date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,total
12,1997,puu 2,10/5/97,130.00,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,15
13,1997,puu 2,11/5/97,131.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
18,1997,puu 3,8/5/97,128.00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19,1997,puu 3,9/5/97,129.00,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,8
20,1997,puu 3,10/5/97,130.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
27,1997,puu 4,9/5/97,129.00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
28,1997,puu 4,10/5/97,130.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
35,1997,puu 5,9/5/97,129.00,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,6
36,1997,puu 5,10/5/97,130.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
44,1997,puu 6,10/5/97,130.00,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
45,1997,puu 6,11/5/97,131.00,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,12
46,1997,puu 6,12/5/97,132.00,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,17
47,1997,puu 6,13/5/97,133.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
59,1997,puu 8,9/5/97,129.00,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,12
60,1997,puu 8,10/5/97,130.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
69,1997,puu 9,11/5/97,131.00,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,6
70,1997,puu 9,12/5/97,132.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
75,1997,puu10,9/5/97,129.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
76,1997,puu10,10/5/97,130.00,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,5
77,1997,puu10,11/5/97,131.00,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,15
78,1997,puu10,12/5/97,132.00,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
79,1997,puu10,13/5/97,133.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
84,1997,puu11,10/5/97,130.00,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,6
85,1997,puu11,11/5/97,131.00,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,10
86,1997,puu11,12/5/97,132.00,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,17
87,1997,puu11,13/5/97,133.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
93,1997,puu12,11/5/97,131.00,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5
94,1997,puu12,12/5/97,132.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
100,1997,puu13,10/5/97,130.00,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3
101,1997,puu13,11/5/97,131.00,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,8
102,1997,puu13,12/5/97,132.00,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,19
103,1997,puu13,13/5/97,133.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
108,1997,puu14,10/5/97,130.00,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3
109,1997,puu14,11/5/97,131.00,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,8
110,1997,puu14,12/5/97,132.00,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,16
111,1997,puu14,13/5/97,133.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
116,1997,puu15,10/5/97,130.00,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,19
