Code,Latin name,Common name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,124,140,143
AMSP,Amelanchier sp.,Juneberry,1,104,127,133
BEAL,Betula alleghaniensis,Yellow Birch,2,123,139,143
BEPA,Betula papyrifera,Paper birch,2,109,128,133
CACA,Carpinus caroliniana,Musclewood,1,115,142,147
CACO,Carya cordiformis,Yellowbud hickory,2,122,146,150
CAOV,Carya ovata,Shagbark hickory,2,137,145,147
COAL,Cornus alternifolia,Pagoda dogwood,2,106,130,135
CORA,Cornus racemosa,Grey Dogwood,3,106,135,142
COSE,Cornus sericea,Red Osier Dogwood,2,106,136,142
CRSP,Crataegus spp.,Hawthorn,2,116,134,139
DIPA,Dirca palustris,Leatherwood,2,95,127,133
FAAM,Fagus americana,Beech,2,124,138,142
FRAM,Fraxinus americana,White ash,3,134,147,150
FRNI,Fraxinus nigra,Black ash,2,141,148,151
HAVI,Hamamelis virginiana,Witch hazel,2,124,141,145
ILVE,Ilex verticillata,Winterberry,1,124,143,146
LALA,Larix laricina,Tamarack,2,102,122,126
OSVI,Ostrya virginiana,Ironwood,3,107,133,139
POTR,Populus tremuloides,Quaking aspen,2,106,123,127
PRSE,Prunus serotina,Black cherry,3,102,126,132
QURU,Quercus rubra,Red oak,2,116,136,141
TIAM,Tilia americana,Basswood,3,123,140,145
ULAM,Ulmus americana,American elm,2,127,143,146
VILE,Viburnum lentago,Nannyberry,1,95,122,128
VIOP,Viburnum opulus,Highbush cranberry,1,121,137,142
,,,52,,,
