"Weather Records, Gothic, CO",,,,,,,,,,,
,,,"Temp.,","Temp.,",New ,Water,Total,Total,On ,,
Year,Month,Day,Minimum,Maximum,Snow,inches,Snow cm,"water """,Ground,rainfall,
197475,C,01,,,0,,79,,46,0.00,
197475,C,02,,,4,,83,,37,0.00,
197475,C,03,,,6,,89,,39,0.00,
197475,C,04,,,2,,91,,37,0.00,
197475,C,05,,,0,,91,,33,0.00,
197475,C,06,,,0,,91,,32,0.00,
197475,C,07,,,0,,91,,31,0.00,
197475,C,08,,,0,,91,,30,0.00,
197475,C,09,,,5,,96,,34,0.00,
197475,C,10,,,2,,98,,34,0.00,
197475,C,11,,,0,,98,,31,0.00,
197475,C,12,,,0,,98,,29,0.00,
197475,C,13,,,0,,98,,27,0.00,
197475,C,14,,,0,,98,,27,0.00,
197475,C,15,,,0,,98,,26,0.00,
197475,C,16,,,0,,98,,26,0.00,
197475,C,17,,,0,,98,,26,0.00,
197475,C,18,,,9,,107,,34,0.00,
197475,C,19,,,16,,123,,48,0.00,
197475,C,20,,,0,,123,,43,0.00,
197475,C,21,,,0,,123,,41,0.00,
197475,C,22,,,0,,123,,39,0.00,
197475,C,23,,,10,,133,,47,0.00,
197475,C,24,,,0,,133,,44,0.00,
197475,C,25,,,0,,133,,44,0.00,
197475,C,26,,,0,,133,,43,0.00,
197475,C,27,,,0,,133,,42,0.00,
197475,C,28,,,1,,134,,41,0.00,
197475,C,29,,,0,,134,,41,0.00,
197475,C,30,,,0,,134,,40,0.00,
197475,D,01,,,0,,134,,40,0.00,
197475,D,02,,,0,,134,,40,0.00,
197475,D,03,,,0,,134,,39,0.00,
197475,D,04,,,0,,134,,39,0.00,
197475,D,05,,,4,,138,,43,0.00,
197475,D,06,,,1,,139,,41,0.00,
197475,D,07,,,2,,141,,42,0.00,
197475,D,08,,,2,,143,,44,0.00,
197475,D,09,,,0,,143,,43,0.00,
197475,D,10,,,0,,143,,,0.00,
197475,D,11,,,0,,143,,,0.00,
197475,D,12,,,0,,143,,,,
197475,D,13,,,21,,164,,,,
197475,D,14,,,3,,167,,,,
197475,D,15,,,0,,167,,,,
197475,D,16,,,8,,175,,,,
197475,D,17,,,2,,177,,,,
197475,D,18,,,0,,177,,,,
197475,D,19,,,2,,179,,,,
197475,D,20,,,36,,215,,,,
197475,D,21,,,0,,215,,,,
197475,D,22,,,5,,220,,,,
197475,D,23,,,1,,221,,,,
197475,D,24,,,8,,229,,,,
197475,D,25,,,0,,229,,,,
197475,D,26,,,0,,229,,,,
197475,D,27,,,0,,229,,,,
197475,D,28,,,0,,229,,,,
197475,D,29,,,4,,233,,,,
197475,D,30,,,0,,233,,,,
197475,D,31,,,0,,233,,,,
197475,E,01,,,3,,236,,,,
197475,E,02,,,2,,238,,,,
197475,E,03,,,8,,246,,,,
197475,E,04,,,0,,246,,,,
197475,E,05,,,46,,292,,,,
197475,E,06,,,8,,300,,,,
197475,E,07,,,30,,330,,,,
197475,E,08,,,28,,358,,,,
197475,E,09,,,0,,358,,,,
197475,E,10,,,0,,358,,150,,
197475,E,11,,,0,,358,,142,,
197475,E,12,,,0,,358,,138,,
197475,E,13,,,0,,358,,131,,
197475,E,14,,,0,,358,,126,,
197475,E,15,,,0,,358,,123,,
197475,E,16,,,0,,358,,119,,
197475,E,17,,,3,,361,,118,,
197475,E,18,,,0,,361,,115,,
197475,E,19,,,1,,362,,114,,
197475,E,20,,,0,,362,,110,,
197475,E,21,,,10,,372,,120,,
197475,E,22,,,0,,372,,115,,
197475,E,23,,,0,,372,,112,,
197475,E,24,,,4,,376,,109,,
197475,E,25,,,10,,386,,116,,
197475,E,26,,,0,,386,,112,,
197475,E,27,,,0,,386,,110,,
197475,E,28,,,38,,424,,135,,
197475,E,29,,,0,,424,,128,,
197475,E,30,,,4,,428,,127,,
197475,E,31,,,10,,438,,131,,
197475,F,01,,,1,,439,,128,,
197475,F,02,,,0,,439,,126,,
197475,F,03,,,0,,439,,124,,
197475,F,04,,,1,,440,,123,,
197475,F,05,,,20,,460,,140,,
197475,F,06,,,0,,460,,135,,
197475,F,07,,,3,,463,,132,,
197475,F,08,,,4,,467,,133,,
197475,F,09,,,14,,481,,147,,
197475,F,10,,,39,,520,,180,,
197475,F,11,,,0,,520,,172,,
197475,F,12,,,0,,520,,165,,
197475,F,13,,,8,,528,,169,,
197475,F,14,,,8,,536,,168,,
197475,F,15,,,5,,541,,169,,
197475,F,16,,,16,,557,,173,,
197475,F,17,,,3,,560,,169,,
197475,F,18,,,0,,560,,165,,
197475,F,19,,,0,,560,,163,,
197475,F,20,,,29,,589,,185,,
197475,F,21,,,4,,593,,182,,
197475,F,22,,,1,,594,,177,,
197475,F,23,,,0,,594,,173,,
197475,F,24,,,0,,594,,168,,
197475,F,25,,,0,,594,,165,,
197475,F,26,,,0,,594,,163,,
197475,F,27,,,1,,595,,158,,
197475,F,28,,,1,,596,,156,,
197475,G,01,,,0,,596,,150,,
197475,G,02,,,0,,596,,148,,
197475,G,03,,,1,,597,,147,,
197475,G,04,,,0,,597,,146,,
197475,G,05,,,0,,597,,145,,
197475,G,06,,,37,,634,,177,,
197475,G,07,,,15,,649,,175,,
197475,G,08,,,0,,649,,170,,
197475,G,09,,,20,,669,,179,,
197475,G,10,,,23,,692,,194,,
197475,G,11,,,13,,705,,199,,
197475,G,12,,,3,,708,,188,,
197475,G,13,,,1,,709,,182,,
197475,G,14,,,1,,710,,180,,
197475,G,15,,,2,,712,,180,,
197475,G,16,,,0,,712,,179,,
197475,G,17,,,7,,719,,183,,
197475,G,18,,,0,,719,,180,,
197475,G,19,,,0,,719,,178,,
197475,G,20,,,0,,719,,173,,
197475,G,21,,,25,,744,,185,,
197475,G,22,,,15,,759,,188,,
197475,G,23,,,4,,763,,190,,
197475,G,24,,,3,,766,,188,,
197475,G,25,,,23,,789,,204,,
197475,G,26,,,14,,803,,208,,
197475,G,27,,,1,,804,,203,,
197475,G,28,,,0,,804,,199,,
197475,G,29,,,0,,804,,198,,
197475,G,30,,,0,,804,,193,,
197475,G,31,,,10,,814,,199,,
197475,H,01,,,27,,841,,213,,
197475,H,02,,,0,,841,,201,,
197475,H,03,,,0,,841,,193,,
197475,H,04,,,0,,841,,188,,
197475,H,05,,,0,,841,,184,,
197475,H,06,,,0,,841,,180,,
197475,H,07,,,8,,849,,186,,
197475,H,08,,,8,,857,,189,,
197475,H,09,,,11,,868,,191,,
197475,H,10,,,1,,869,,188,,
197475,H,11,,,4,,873,,189,,
197475,H,12,,,6,,879,,186,,
197475,H,13,,,0,,879,,184,,
197475,H,14,,,0,,879,,182,,
197475,H,15,,,2,,881,,179,,
197475,H,16,,,0,,881,,173,,
197475,H,17,,,14,,895,,185,,
197475,H,18,,,5,,900,,183,,
197475,H,19,,,2,,902,,174,,
197475,H,20,,,3,,905,,171,,
197475,H,21,,,0,,905,,168,,
197475,H,22,,,0,,905,,162,,
197475,H,23,,,0,,905,,157,,
197475,H,24,,,0,,905,,152,,
197475,H,25,,,0,,905,,147,,
197475,H,26,,,0,,905,,143,,
197475,H,27,,,11,,916,,152,,
197475,H,28,,,15,,931,,160,,
197475,H,29,,,6,,937,,160,,
197475,H,30,,,1,,938,,155,,
197475,I,01,,,4,,942,,152,,
197475,I,02,,,2,,944,,150,,
197475,I,03,,,0,,944,,146,,
197475,I,04,,,0,,944,,139,,
197475,I,05,,,20,,964,,159,,
197475,I,06,,,32,,996,,179,,
197475,I,07,,,13,,1009,,177,,
197475,I,08,,,10,,1019,,163,,
197475,I,09,,,0,,1019,,152,,
197475,I,10,,,0,,1019,,144,,
197475,I,11,,,0,,1019,,138,,
197475,I,12,,,1,,1020,,137,,
197475,I,13,,,0,,1020,,130,,
197475,I,14,,,0,,1020,,124,,
197475,I,15,,,0,,1020,,117,,
197475,I,16,,,0,,1020,,108,,
197475,I,17,,,0,,1020,,103,,
197475,I,18,,,2,,1022,,99,,
197475,I,19,,,0,,1022,,94,,
197475,I,20,,,0,,1022,,88,,
197475,I,21,,,0,,1022,,81,,
197475,I,22,,,8,,1030,,76,,
197475,I,23,,,9,,1039,,79,,
197475,I,24,,,0,,1039,,69,,
197475,I,25,,,0,,1039,,63,,
197475,I,26,,,0,,1039,,57,,
197475,I,27,,,0,,1039,,53,,
197475,I,28,,,4,,1043,,51,,
197475,I,29,,,10,,1053,,53,,
197475,I,30,,,0,,1053,,48,,
197475,I,31,,,0,,1053,,43,,
197475,J,01,,,0,,1053,,37,,
197475,J,02,,,0,,1053,,28,,
197475,J,03,,,0,,1053,,23,,
197475,J,04,,,0,,1053,,15,,
197475,J,05,,,0,,1053,,5,,
197475,J,06,,,0,,1053,,0,,
197475,J,09,,,1,,1054,,0,,
197475,J,10,,,30,,1084,,,,
197475,J,19,,,1,,1085,,0,,
197576,A,20,0.0,0.0,1,0.04,1,,0,,
197576,B,01,-7.0,17.0,0,0.00,1,,0,,
197576,B,02,-5.0,18.5,0,0.00,1,,0,,
197576,B,03,-4.0,18.5,0,0.00,1,,0,,
197576,B,04,-4.0,17.0,0,0.00,1,,0,,
197576,B,05,-2.0,21.0,0,0.00,1,,0,,
197576,B,06,-2.0,20.0,0,0.00,1,,0,,
197576,B,07,0.0,15.0,1,0.02,2,,0,,
197576,B,08,-3.0,5.0,3,0.08,5,,0,,
197576,B,09,-9.0,13.5,0,0.00,5,,0,,
197576,B,10,-3.5,15.0,0,0.00,5,,0,,
197576,B,11,-3.5,16.0,0,0.00,5,,0,,
197576,B,12,-1.5,18.0,3,0.10,8,,0,,
197576,B,13,0.0,2.0,5,0.15,13,,3,,
197576,B,14,-6.0,2.0,0,0.00,13,,0,,
197576,B,15,-8.5,11.0,0,0.00,13,,0,,
197576,B,16,-6.5,10.0,0,0.00,13,,0,,
197576,B,17,-5.0,17.0,0,0.00,13,,0,,
197576,B,18,-3.5,15.5,0,0.00,13,,0,,
197576,B,19,-4.0,16.5,0,0.00,13,,0,,
197576,B,20,-6.0,16.0,0,0.00,13,,0,,
197576,B,21,-6.0,16.0,0,0.00,13,,0,,
197576,B,22,-4.5,14.0,4,0.10,17,,3,,
197576,B,23,-6.0,-1.0,17,0.58,34,,17,,
197576,B,24,-10.0,-5.0,0,0.00,34,,15,,
197576,B,25,-19.0,2.0,0,0.00,34,,13,,
197576,B,26,-3.0,9.0,0,0.00,34,,12,,
197576,B,27,-4.0,8.0,0,0.00,34,,10,,
197576,B,28,-6.5,7.0,0,0.00,34,,8,,
197576,B,29,-8.5,12.0,0,0.00,34,,7,,
197576,B,30,-5.5,7.0,10,0.35,44,,12,,
197576,B,31,1.5,12.0,0,0.00,44,,8,,
197576,C,01,-2.0,8.0,0,0.00,44,,8,,
197576,C,02,-2.5,11.5,0,0.00,44,,8,,
197576,C,03,-4.0,12.0,0,0.00,44,,7,,
197576,C,04,-4.0,17.5,0,0.00,44,,5,,
197576,C,05,-3.5,17.5,0,0.00,44,,0,,
197576,C,06,-5.5,10.0,0,0.00,44,,0,,
197576,C,07,1.5,10.5,3,0.06,47,,3,,
197576,C,08,-6.0,5.0,17,0.43,64,,19,,
197576,C,09,-15.5,-2.0,0,0.00,44,,17,,
