year,plot_code,plant_id,1st_snowfree,1st_leaf,1st_flower,1st_flower_open,1st_petal_shed,last_petal_shed,1st_seed_disp,1st_red_leaf
1993,101E,AR1,NaN,NaN,NaN,NaN,197,197,NaN,NaN
1993,101E,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101E,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101E,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101E,AR5,NaN,NaN,NaN,NaN,197,202,NaN,NaN
1993,101E,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101E,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101E,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101E,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101E,BB5,NaN,NaN,NaN,197,215,NaN,NaN,NaN
1993,101C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101C,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101C,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101C,BB3,NaN,NaN,NaN,201,215,NaN,NaN,NaN
1993,101C,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,101C,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102E,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102E,AR2,NaN,NaN,NaN,NaN,197,197,NaN,NaN
1993,102E,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102E,AR4,NaN,NaN,NaN,NaN,200,210,NaN,NaN
1993,102E,AR5,NaN,NaN,NaN,NaN,197,215,NaN,NaN
1993,102E,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102E,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102E,BB3,NaN,NaN,NaN,197,200,NaN,NaN,NaN
1993,102E,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102E,BB5,NaN,NaN,NaN,197,207,230,NaN,NaN
1993,102C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102C,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102C,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102C,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102C,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,102C,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,103E,AR1,NaN,NaN,NaN,NaN,197,215,NaN,NaN
1993,103E,AR2,NaN,NaN,NaN,NaN,197,197,NaN,NaN
1993,103E,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,103E,AR4,NaN,NaN,NaN,NaN,197,222,NaN,NaN
1993,103E,AR5,NaN,NaN,NaN,NaN,197,215,NaN,NaN
1993,103E,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,103E,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,103E,BB3,NaN,NaN,NaN,201,230,NaN,NaN,NaN
1993,103E,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,103E,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,103C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,103C,AR2,NaN,NaN,NaN,NaN,NaN,222,NaN,NaN
1993,103C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,103C,AR4,NaN,NaN,NaN,NaN,NaN,230,NaN,NaN
1993,103C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,103C,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,103C,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,103C,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,103C,BB4,NaN,NaN,NaN,200,215,NaN,NaN,NaN
1993,103C,BB5,NaN,NaN,NaN,201,215,NaN,NaN,NaN
1993,104E,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104E,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104E,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104E,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104E,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104E,BB1,NaN,NaN,NaN,197,230,NaN,NaN,NaN
1993,104E,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104E,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104E,BB4,NaN,NaN,NaN,197,NaN,NaN,NaN,NaN
1993,104E,BB5,NaN,NaN,NaN,NaN,210,NaN,NaN,NaN
1993,104C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104C,BB1,NaN,NaN,NaN,201,215,NaN,NaN,NaN
1993,104C,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104C,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104C,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104C,BB5,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,105E,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105E,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105E,AR3,NaN,NaN,NaN,NaN,202,215,NaN,NaN
1993,105E,AR4,NaN,NaN,NaN,NaN,197,215,NaN,NaN
1993,105E,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105E,BB1,NaN,NaN,NaN,197,202,NaN,NaN,NaN
1993,105E,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105E,BB3,NaN,NaN,NaN,197,197,NaN,NaN,NaN
1993,105E,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105E,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,BB1,NaN,NaN,NaN,NaN,201,NaN,NaN,NaN
