code,genusspecies
ACPE,Acer pensylvanicum
ACRU,Acer rubrum
ACRU,Acer saccharum
AMCA,Amelanchier canadensis
AR,Aronia
BEAL,Betula alleghaniensis
BELE,Betula lenta
BEPA,Betula papyrifera
BEPO,Betula populifolia
CADE,Castanea dentata
COAL,Cornus alternifolia
CR,Crataegus
FAGR,Fagus grandifolia
FRAM,Fraxinus americana
HAVI,Hamamelis virginiana
ILVE,Ilex verticillata
KAAN,Kalmia angustifolia
KALA,Kalmia latifolia
LYLI,Lyonia ligustrina
NEMU,Nemopanthus mucronata
NYSY,Nyssa sylvatica
PIST,Pinus strobus
QUAL,Quercus alba
QURU,Quercus rubra
QUVE,Quercus velutina
RHNU,Rhododendron nudiflorum
SACA,Sambucus canadensis
TSCA,Tsuga canadensis
VACO,Vaccinium corymbosum
VIAL,Viburnum alnifolium
VICA,Viburnum cassinoides
