,V1,V2,V3,V4,V5,V6
78758,washdc,Abutilon,theophrasti,ffd,1995,148
78759,washdc,Acer,negundo,ffd,1985,89
78760,washdc,Acer,negundo,ffd,1986,91
78761,washdc,Acer,negundo,ffd,1987,94
78762,washdc,Acer,negundo,ffd,1988,94
78763,washdc,Acer,negundo,ffd,1989,93
78764,washdc,Acer,negundo,ffd,1990,90
78765,washdc,Acer,negundo,ffd,1991,90
78766,washdc,Acer,negundo,ffd,1992,81
78767,washdc,Acer,negundo,ffd,1993,101
78768,washdc,Acer,negundo,ffd,1994,85
78769,washdc,Acer,negundo,ffd,1995,84
78770,washdc,Acer,negundo,ffd,1996,97
78771,washdc,Acer,negundo,ffd,1997,81
78772,washdc,Acer,negundo,ffd,1998,87
78773,washdc,Acer,negundo,ffd,1999,93
78774,washdc,Acer,negundo,ffd,2000,72
78775,washdc,Acer,negundo,ffd,2001,91
78776,washdc,Acer,negundo,ffd,2002,82
78777,washdc,Acer,negundo,ffd,2003,90
78778,washdc,Acer,negundo,ffd,2004,87
78779,washdc,Acer,negundo,ffd,2005,93
78780,washdc,Acer,negundo,ffd,2006,84
78781,washdc,Acer,negundo,ffd,2007,87
78782,washdc,Acer,palmatum,ffd,1985,103
78783,washdc,Acer,palmatum,ffd,1986,102
78784,washdc,Acer,palmatum,ffd,1988,107
78785,washdc,Acer,palmatum,ffd,1989,98
78786,washdc,Acer,palmatum,ffd,1990,90
78787,washdc,Acer,palmatum,ffd,1991,96
78788,washdc,Acer,palmatum,ffd,1992,109
78789,washdc,Acer,palmatum,ffd,1994,99
78790,washdc,Acer,palmatum,ffd,1995,99
78791,washdc,Acer,palmatum,ffd,1996,104
78792,washdc,Acer,palmatum,ffd,1998,94
78793,washdc,Acer,palmatum,ffd,1999,100
78794,washdc,Acer,palmatum,ffd,2000,92
78795,washdc,Acer,palmatum,ffd,2001,100
78796,washdc,Acer,palmatum,ffd,2002,103
78797,washdc,Acer,palmatum,ffd,2003,102
78798,washdc,Acer,palmatum,ffd,2004,94
78799,washdc,Acer,palmatum,ffd,2005,113
78800,washdc,Acer,pensylvanicum,ffd,1985,110
78801,washdc,Acer,pensylvanicum,ffd,1989,120
78802,washdc,Acer,pensylvanicum,ffd,1994,107
78803,washdc,Acer,pensylvanicum,ffd,1995,109
78804,washdc,Acer,pensylvanicum,ffd,1996,125
78805,washdc,Acer,pensylvanicum,ffd,1997,103
78806,washdc,Acer,pensylvanicum,ffd,1998,115
78807,washdc,Acer,pensylvanicum,ffd,1999,128
78808,washdc,Acer,pensylvanicum,ffd,2000,120
78809,washdc,Acer,pensylvanicum,ffd,2001,118
78810,washdc,Acer,pensylvanicum,ffd,2003,117
78811,washdc,Acer,platanoides,ffd,1985,89
78812,washdc,Acer,platanoides,ffd,1986,92
78813,washdc,Acer,platanoides,ffd,1987,90
78814,washdc,Acer,platanoides,ffd,1988,91
78815,washdc,Acer,platanoides,ffd,1989,91
78816,washdc,Acer,platanoides,ffd,1990,77
78817,washdc,Acer,platanoides,ffd,1991,96
78818,washdc,Acer,platanoides,ffd,1992,101
78819,washdc,Acer,platanoides,ffd,1993,100
78820,washdc,Acer,platanoides,ffd,1994,96
78821,washdc,Acer,platanoides,ffd,1995,95
78822,washdc,Acer,platanoides,ffd,1996,96
78823,washdc,Acer,platanoides,ffd,1998,87
78824,washdc,Acer,platanoides,ffd,1999,107
78825,washdc,Acer,platanoides,ffd,2000,99
78826,washdc,Acer,platanoides,ffd,2002,101
78827,washdc,Acer,platanoides,ffd,2003,102
78828,washdc,Acer,platanoides,ffd,2004,106
78829,washdc,Acer,platanoides,ffd,2007,89
78830,washdc,Acer,rubrum,ffd,1985,62
78831,washdc,Acer,rubrum,ffd,1986,74
78832,washdc,Acer,rubrum,ffd,1987,66
78833,washdc,Acer,rubrum,ffd,1988,65
78834,washdc,Acer,rubrum,ffd,1989,23
78835,washdc,Acer,rubrum,ffd,1990,42
78836,washdc,Acer,rubrum,ffd,1991,54
78837,washdc,Acer,rubrum,ffd,1992,61
78838,washdc,Acer,rubrum,ffd,1993,68
78839,washdc,Acer,rubrum,ffd,1994,73
78840,washdc,Acer,rubrum,ffd,1995,69
78841,washdc,Acer,rubrum,ffd,1996,67
78842,washdc,Acer,rubrum,ffd,1997,61
78843,washdc,Acer,rubrum,ffd,1998,39
78844,washdc,Acer,rubrum,ffd,1999,44
78845,washdc,Acer,rubrum,ffd,2000,51
78846,washdc,Acer,rubrum,ffd,2001,62
78847,washdc,Acer,rubrum,ffd,2002,36
78848,washdc,Acer,rubrum,ffd,2003,72
78849,washdc,Acer,rubrum,ffd,2004,67
78850,washdc,Acer,rubrum,ffd,2005,78
78851,washdc,Acer,rubrum,ffd,2006,42
78852,washdc,Acer,rubrum,ffd,2007,1
78853,washdc,Acer,saccharinum,ffd,1985,55
78854,washdc,Acer,saccharinum,ffd,1986,74
78855,washdc,Acer,saccharinum,ffd,1987,60
78856,washdc,Acer,saccharinum,ffd,1988,51
78857,washdc,Acer,saccharinum,ffd,1989,51
78858,washdc,Acer,saccharinum,ffd,1990,41
78859,washdc,Acer,saccharinum,ffd,1991,96
78860,washdc,Acer,saccharinum,ffd,1992,54
78861,washdc,Acer,saccharinum,ffd,1993,66
78862,washdc,Acer,saccharinum,ffd,1994,72
78863,washdc,Acer,saccharinum,ffd,1995,57
78864,washdc,Acer,saccharinum,ffd,1996,56
78865,washdc,Acer,saccharinum,ffd,1997,53
78866,washdc,Acer,saccharinum,ffd,1998,52
78867,washdc,Acer,saccharinum,ffd,1999,44
78868,washdc,Acer,saccharinum,ffd,2000,50
78869,washdc,Acer,saccharinum,ffd,2001,42
78870,washdc,Acer,saccharinum,ffd,2002,33
78871,washdc,Acer,saccharinum,ffd,2003,72
78872,washdc,Acer,saccharinum,ffd,2004,64
78873,washdc,Acer,saccharinum,ffd,2005,44
78874,washdc,Acer,saccharinum,ffd,2006,35
78875,washdc,Acer,saccharum,ffd,1985,89
