"netID","wisID","probeID","daysSince1Jan2000","Moisture","time_stamp"
40960,192,1,2950.583414,9.9609,2008-01-29 14:00:06
40960,192,2,2950.583414,33.8053,2008-01-29 14:00:06
40960,193,1,2950.583414,NA,2008-01-29 14:00:06
40960,193,2,2950.583414,NA,2008-01-29 14:00:06
40960,305,1,2950.583414,42.1875,2008-01-29 14:00:06
40960,305,2,2950.583414,52.9297,2008-01-29 14:00:06
40960,192,1,2950.66647,8.903,2008-01-29 15:59:43
40960,192,2,2950.66647,33.5612,2008-01-29 15:59:43
40960,193,1,2950.66647,NA,2008-01-29 15:59:43
40960,193,2,2950.66647,NA,2008-01-29 15:59:43
40960,305,1,2950.66647,42.3503,2008-01-29 15:59:43
40960,305,2,2950.66647,52.8483,2008-01-29 15:59:43
40960,192,1,2950.750081,NA,2008-01-29 18:00:06
40960,192,2,2950.750081,26.5625,2008-01-29 18:00:06
40960,305,1,2950.750081,42.8385,2008-01-29 18:00:06
40960,305,2,2950.750081,53.3366,2008-01-29 18:00:06
40960,192,1,2950.833414,NA,2008-01-29 20:00:06
40960,192,2,2950.833414,23.5514,2008-01-29 20:00:06
40960,305,1,2950.833414,41.3737,2008-01-29 20:00:06
40960,305,2,2950.833414,53.8249,2008-01-29 20:00:06
40960,305,1,2950.916748,41.1296,2008-01-29 22:00:07
40960,305,2,2950.916748,53.9876,2008-01-29 22:00:07
40960,192,1,2950.916933,NA,2008-01-29 22:00:23
40960,192,2,2950.916933,NA,2008-01-29 22:00:23
40960,192,1,2951.000081,NA,2008-01-30 00:00:06
40960,192,2,2951.000081,NA,2008-01-30 00:00:06
40960,305,1,2951.000081,40.804,2008-01-30 00:00:06
40960,305,2,2951.000081,53.9876,2008-01-30 00:00:06
40960,192,1,2951.083414,NA,2008-01-30 02:00:06
40960,192,2,2951.083414,NA,2008-01-30 02:00:06
40960,305,1,2951.083414,41.2923,2008-01-30 02:00:06
40960,305,2,2951.083414,54.1504,2008-01-30 02:00:06
40960,192,1,2951.166563,NA,2008-01-30 03:59:51
40960,192,2,2951.166563,NA,2008-01-30 03:59:51
40960,305,1,2951.166748,41.4551,2008-01-30 04:00:07
40960,305,2,2951.166748,54.1504,2008-01-30 04:00:07
40960,192,1,2951.249896,NA,2008-01-30 05:59:51
40960,192,2,2951.249896,NA,2008-01-30 05:59:51
40960,305,1,2951.250081,41.2109,2008-01-30 06:00:06
40960,305,2,2951.250081,54.1504,2008-01-30 06:00:06
40960,192,1,2951.333137,NA,2008-01-30 07:59:43
40960,192,2,2951.333137,NA,2008-01-30 07:59:43
40960,305,1,2951.333137,40.7227,2008-01-30 07:59:43
40960,305,2,2951.333137,53.9876,2008-01-30 07:59:43
40960,192,1,2951.416748,10.8561,2008-01-30 10:00:07
40960,192,2,2951.416748,31.2826,2008-01-30 10:00:07
40960,305,1,2951.416748,40.0716,2008-01-30 10:00:07
40960,305,2,2951.416748,53.0111,2008-01-30 10:00:07
40960,192,1,2951.500081,7.3568,2008-01-30 12:00:06
40960,192,2,2951.500081,30.6315,2008-01-30 12:00:06
40960,305,1,2951.500081,39.9902,2008-01-30 12:00:06
40960,305,2,2951.500081,52.5228,2008-01-30 12:00:06
40960,192,1,2951.583414,5.2409,2008-01-30 14:00:06
40960,192,2,2951.583414,30.0618,2008-01-30 14:00:06
40960,305,1,2951.583414,39.6647,2008-01-30 14:00:06
40960,305,2,2951.583414,52.4414,2008-01-30 14:00:06
40960,305,1,2951.666563,39.0951,2008-01-30 15:59:51
40960,305,2,2951.666563,52.4414,2008-01-30 15:59:51
40960,192,1,2951.666748,NA,2008-01-30 16:00:07
40960,192,2,2951.666748,28.597,2008-01-30 16:00:07
40960,192,1,2951.750081,NA,2008-01-30 18:00:06
40960,192,2,2951.750081,22.7376,2008-01-30 18:00:06
40960,305,1,2951.750081,40.0716,2008-01-30 18:00:06
40960,305,2,2951.750081,52.6855,2008-01-30 18:00:06
40960,192,1,2951.833414,NA,2008-01-30 20:00:06
40960,192,2,2951.833414,21.5169,2008-01-30 20:00:06
40960,305,1,2951.833414,39.9902,2008-01-30 20:00:06
40960,305,2,2951.833414,52.6855,2008-01-30 20:00:06
40960,192,1,2951.916748,NA,2008-01-30 22:00:07
40960,192,2,2951.916748,21.0286,2008-01-30 22:00:07
40960,305,1,2951.916748,39.9902,2008-01-30 22:00:07
40960,305,2,2951.916748,52.8483,2008-01-30 22:00:07
40960,192,1,2951.999803,NA,2008-01-30 23:59:42
40960,192,2,2951.999803,20.6217,2008-01-30 23:59:42
40960,305,1,2951.999803,39.5833,2008-01-30 23:59:42
40960,305,2,2951.999803,52.9297,2008-01-30 23:59:42
40960,192,1,2952.083414,NA,2008-01-31 02:00:06
40960,192,2,2952.083414,20.1335,2008-01-31 02:00:06
40960,305,1,2952.083414,40.153,2008-01-31 02:00:06
40960,305,2,2952.083414,53.1738,2008-01-31 02:00:06
40960,192,1,2952.166748,NA,2008-01-31 04:00:07
40960,192,2,2952.166748,19.6452,2008-01-31 04:00:07
40960,305,1,2952.166852,NA,2008-01-31 04:00:16
40960,305,2,2952.166852,NA,2008-01-31 04:00:16
40960,305,1,2952.249931,55.4525,2008-01-31 05:59:54
40960,305,2,2952.249931,NA,2008-01-31 05:59:54
40960,192,1,2952.250081,NA,2008-01-31 06:00:06
40960,192,2,2952.250081,20.7031,2008-01-31 06:00:06
40960,192,1,2952.333414,NA,2008-01-31 08:00:06
40960,192,2,2952.333414,25.179,2008-01-31 08:00:06
40960,305,1,2952.333519,NA,2008-01-31 08:00:16
40960,305,2,2952.333519,NA,2008-01-31 08:00:16
40960,192,1,2952.416748,5.8919,2008-01-31 10:00:07
40960,192,2,2952.416748,27.2949,2008-01-31 10:00:07
40960,305,1,2952.416852,NA,2008-01-31 10:00:16
40960,305,2,2952.416852,NA,2008-01-31 10:00:16
40960,192,1,2952.500081,9.554,2008-01-31 12:00:06
40960,192,2,2952.500081,29.6549,2008-01-31 12:00:06
40960,305,1,2952.500116,56.429,2008-01-31 12:00:10
40960,305,2,2952.500116,NA,2008-01-31 12:00:10
40960,305,1,2952.583229,45.1172,2008-01-31 13:59:50
40960,305,2,2952.583229,60.498,2008-01-31 13:59:50
40960,192,1,2952.583414,11.3444,2008-01-31 14:00:06
40960,192,2,2952.583414,30.7943,2008-01-31 14:00:06
40960,192,1,2952.66647,9.1471,2008-01-31 15:59:43
40960,192,2,2952.66647,30.4688,2008-01-31 15:59:43
40960,305,1,2952.66647,46.582,2008-01-31 15:59:43
40960,305,2,2952.66647,58.8704,2008-01-31 15:59:43
40960,192,1,2952.750081,NA,2008-01-31 18:00:06
40960,192,2,2952.750081,21.9238,2008-01-31 18:00:06
40960,305,1,2952.750081,46.6634,2008-01-31 18:00:06
40960,305,2,2952.750081,58.7891,2008-01-31 18:00:06
40960,192,1,2952.833414,NA,2008-01-31 20:00:06
40960,192,2,2952.833414,19.9707,2008-01-31 20:00:06
40960,305,1,2952.833414,46.4193,2008-01-31 20:00:06
40960,305,2,2952.833414,58.5449,2008-01-31 20:00:06
40960,192,1,2952.916748,NA,2008-01-31 22:00:07
40960,192,2,2952.916748,19.4824,2008-01-31 22:00:07
40960,305,1,2952.916782,NA,2008-01-31 22:00:09
40960,305,2,2952.916782,NA,2008-01-31 22:00:09
40960,192,1,2953.000081,NA,2008-02-01 00:00:06
40960,192,2,2953.000081,18.6686,2008-02-01 00:00:06
40960,305,1,2953.000116,47.8841,2008-02-01 00:00:10
40960,305,2,2953.000116,NA,2008-02-01 00:00:10
40960,192,1,2953.083414,NA,2008-02-01 02:00:06
40960,192,2,2953.083414,18.5059,2008-02-01 02:00:06
40960,305,1,2953.083414,47.7214,2008-02-01 02:00:06
40960,305,2,2953.083414,69.6126,2008-02-01 02:00:06
40960,305,1,2953.166782,NA,2008-02-01 04:00:09
40960,305,2,2953.166782,NA,2008-02-01 04:00:09
40960,305,1,2953.250116,NA,2008-02-01 06:00:10
40960,305,2,2953.250116,NA,2008-02-01 06:00:10
40960,305,1,2953.333171,NA,2008-02-01 07:59:45
40960,305,2,2953.333171,NA,2008-02-01 07:59:45
40960,192,1,2953.33331,NA,2008-02-01 07:59:57
40960,192,2,2953.33331,NA,2008-02-01 07:59:57
40960,305,1,2953.416748,43.8965,2008-02-01 10:00:07
40960,305,2,2953.416748,56.9173,2008-02-01 10:00:07
40960,192,1,2953.417627,6.3802,2008-02-01 10:01:22
40960,192,2,2953.417627,27.8646,2008-02-01 10:01:22
40960,192,1,2953.500081,4.2643,2008-02-01 12:00:06
40960,192,2,2953.500081,27.7018,2008-02-01 12:00:06
40960,305,1,2953.500081,44.1406,2008-02-01 12:00:06
40960,305,2,2953.500081,55.9408,2008-02-01 12:00:06
40960,305,1,2953.583229,41.4551,2008-02-01 13:59:50
40960,305,2,2953.583229,55.5339,2008-02-01 13:59:50
40960,192,1,2953.583414,1.8229,2008-02-01 14:00:06
40960,192,2,2953.583414,27.0508,2008-02-01 14:00:06
40960,192,1,2953.666748,0.3581,2008-02-01 16:00:07
40960,192,2,2953.666748,26.3997,2008-02-01 16:00:07
40960,305,1,2953.666748,42.4316,2008-02-01 16:00:07
40960,305,2,2953.666748,55.3711,2008-02-01 16:00:07
40960,192,1,2953.749896,NA,2008-02-01 17:59:51
40960,192,2,2953.749896,16.9596,2008-02-01 17:59:51
40960,305,1,2953.750081,45.1172,2008-02-01 18:00:06
40960,305,2,2953.750081,56.2663,2008-02-01 18:00:06
40960,192,1,2953.833414,NA,2008-02-01 20:00:06
40960,192,2,2953.833414,15.2507,2008-02-01 20:00:06
40960,305,1,2953.833414,45.7682,2008-02-01 20:00:06
40960,305,2,2953.833414,56.6732,2008-02-01 20:00:06
40960,192,1,2953.916748,NA,2008-02-01 22:00:07
40960,192,2,2953.916748,15.2507,2008-02-01 22:00:07
40960,305,1,2953.916748,46.4193,2008-02-01 22:00:07
40960,305,2,2953.916748,56.8359,2008-02-01 22:00:07
40960,192,1,2953.999803,NA,2008-02-01 23:59:42
40960,192,2,2953.999803,15.0065,2008-02-01 23:59:42
40960,305,1,2953.999803,46.0938,2008-02-01 23:59:42
40960,305,2,2953.999803,56.7546,2008-02-01 23:59:42
40960,305,1,2954.083414,46.3379,2008-02-02 02:00:06
40960,305,2,2954.083414,56.7546,2008-02-02 02:00:06
40960,192,1,2954.084294,NA,2008-02-02 02:01:23
40960,192,2,2954.084294,15.332,2008-02-02 02:01:23
40960,192,1,2954.166748,NA,2008-02-02 04:00:07
40960,192,2,2954.166748,NA,2008-02-02 04:00:07
40960,305,1,2954.166748,46.3379,2008-02-02 04:00:07
40960,305,2,2954.166748,56.6732,2008-02-02 04:00:07
40960,305,1,2954.249896,46.1751,2008-02-02 05:59:51
40960,305,2,2954.249896,56.6732,2008-02-02 05:59:51
40960,192,1,2954.250081,NA,2008-02-02 06:00:06
40960,192,2,2954.250081,NA,2008-02-02 06:00:06
40960,192,1,2954.333229,NA,2008-02-02 07:59:50
40960,192,2,2954.333229,NA,2008-02-02 07:59:50
40960,305,1,2954.333414,46.3379,2008-02-02 08:00:06
40960,305,2,2954.333414,56.5918,2008-02-02 08:00:06
40960,192,1,2954.416748,5.0781,2008-02-02 10:00:07
40960,192,2,2954.416748,26.5625,2008-02-02 10:00:07
40960,305,1,2954.416748,45.1986,2008-02-02 10:00:07
40960,305,2,2954.416748,55.6152,2008-02-02 10:00:07
40960,192,1,2954.500081,4.5898,2008-02-02 12:00:06
40960,192,2,2954.500081,27.2949,2008-02-02 12:00:06
40960,305,1,2954.500081,40.6413,2008-02-02 12:00:06
40960,305,2,2954.500081,54.5573,2008-02-02 12:00:06
40960,192,1,2954.583414,3.2064,2008-02-02 14:00:06
40960,192,2,2954.583414,26.5625,2008-02-02 14:00:06
40960,305,1,2954.583414,39.8275,2008-02-02 14:00:06
40960,305,2,2954.583414,54.4759,2008-02-02 14:00:06
40960,192,1,2954.66647,3.2064,2008-02-02 15:59:43
40960,192,2,2954.66647,26.3184,2008-02-02 15:59:43
40960,305,1,2954.66647,39.4206,2008-02-02 15:59:43
40960,305,2,2954.66647,54.3945,2008-02-02 15:59:43
40960,192,1,2954.750081,NA,2008-02-02 18:00:06
40960,192,2,2954.750081,16.2272,2008-02-02 18:00:06
40960,305,1,2954.750081,42.4316,2008-02-02 18:00:06
40960,305,2,2954.750081,55.2897,2008-02-02 18:00:06
40960,192,1,2954.833414,NA,2008-02-02 20:00:06
40960,192,2,2954.833414,15.2507,2008-02-02 20:00:06
40960,305,1,2954.833414,45.6868,2008-02-02 20:00:06
40960,305,2,2954.833414,66.0319,2008-02-02 20:00:06
40960,192,1,2954.916748,NA,2008-02-02 22:00:07
40960,192,2,2954.916748,14.9251,2008-02-02 22:00:07
40960,305,1,2954.916782,NA,2008-02-02 22:00:09
40960,305,2,2954.916782,NA,2008-02-02 22:00:09
40960,192,1,2955.000081,NA,2008-02-03 00:00:06
40960,192,2,2955.000081,14.5182,2008-02-03 00:00:06
40960,305,1,2955.000081,46.8262,2008-02-03 00:00:06
40960,305,2,2955.000081,66.1133,2008-02-03 00:00:06
40960,192,1,2955.083414,NA,2008-02-03 02:00:06
40960,192,2,2955.083414,14.0299,2008-02-03 02:00:06
40960,305,1,2955.083449,NA,2008-02-03 02:00:09
40960,305,2,2955.083449,NA,2008-02-03 02:00:09
40960,305,1,2955.166597,46.7448,2008-02-03 03:59:53
40960,305,2,2955.166597,NA,2008-02-03 03:59:53
40960,192,1,2955.166748,NA,2008-02-03 04:00:07
40960,192,2,2955.166748,13.9486,2008-02-03 04:00:07
40960,192,1,2955.250081,NA,2008-02-03 06:00:06
40960,192,2,2955.250081,14.0299,2008-02-03 06:00:06
40960,305,1,2955.250116,NA,2008-02-03 06:00:10
40960,305,2,2955.250116,NA,2008-02-03 06:00:10
40960,192,1,2955.333137,4.9967,2008-02-03 07:59:43
40960,192,2,2955.333137,25.5046,2008-02-03 07:59:43
40960,305,1,2955.333171,NA,2008-02-03 07:59:45
40960,305,2,2955.333171,NA,2008-02-03 07:59:45
40960,192,1,2955.416748,7.8451,2008-02-03 10:00:07
40960,192,2,2955.416748,27.2949,2008-02-03 10:00:07
40960,305,1,2955.416782,NA,2008-02-03 10:00:09
40960,305,2,2955.416782,NA,2008-02-03 10:00:09
40960,192,1,2955.500081,6.2174,2008-02-03 12:00:06
40960,192,2,2955.500081,27.8646,2008-02-03 12:00:06
40960,305,1,2955.500081,40.3158,2008-02-03 12:00:06
40960,305,2,2955.500081,54.6387,2008-02-03 12:00:06
40960,192,1,2955.583229,3.3691,2008-02-03 13:59:50
40960,192,2,2955.583229,28.0273,2008-02-03 13:59:50
40960,305,1,2955.583414,41.1296,2008-02-03 14:00:06
40960,305,2,2955.583414,54.2318,2008-02-03 14:00:06
40960,192,1,2955.666748,3.9388,2008-02-03 16:00:07
40960,192,2,2955.666748,28.1901,2008-02-03 16:00:07
