"netID","wisID","probeID","daysSince1Jan2000","Moisture","time_stamp"
416,302,1,2922.0836,18.4245,2008-01-01 02:00:23
416,302,2,2922.0836,26.7253,2008-01-01 02:00:23
416,302,1,2922.166748,18.9941,2008-01-01 04:00:07
416,302,2,2922.166748,26.888,2008-01-01 04:00:07
416,302,1,2922.250081,19.0755,2008-01-01 06:00:06
416,302,2,2922.250081,26.9694,2008-01-01 06:00:06
416,302,1,2922.333414,19.1569,2008-01-01 08:00:06
416,302,2,2922.333414,26.888,2008-01-01 08:00:06
416,302,1,2922.41684,NA,2008-01-01 10:00:14
416,302,2,2922.41684,27.5391,2008-01-01 10:00:14
416,302,1,2922.500081,19.0755,2008-01-01 12:00:06
416,302,2,2922.500081,25.9115,2008-01-01 12:00:06
416,302,1,2922.583414,19.0755,2008-01-01 14:00:06
416,302,2,2922.583414,25.7487,2008-01-01 14:00:06
416,302,1,2922.66647,19.5638,2008-01-01 15:59:43
416,302,2,2922.66647,26.3997,2008-01-01 15:59:43
416,156,1,2922.666644,NA,2008-01-01 15:59:58
416,156,2,2922.666644,NA,2008-01-01 15:59:58
416,302,1,2922.750266,19.6452,2008-01-01 18:00:22
416,302,2,2922.750266,27.2135,2008-01-01 18:00:22
416,302,1,2922.833414,19.8079,2008-01-01 20:00:06
416,302,2,2922.833414,27.7832,2008-01-01 20:00:06
416,302,1,2922.916748,19.7266,2008-01-01 22:00:07
416,302,2,2922.916748,28.1087,2008-01-01 22:00:07
416,156,1,2923.33331,NA,2008-01-02 07:59:57
416,156,2,2923.33331,NA,2008-01-02 07:59:57
416,156,1,2923.999977,NA,2008-01-02 23:59:58
416,156,2,2923.999977,NA,2008-01-02 23:59:58
416,156,1,2924.666644,NA,2008-01-03 15:59:58
416,156,2,2924.666644,NA,2008-01-03 15:59:58
416,156,1,2925.33331,NA,2008-01-04 07:59:57
416,156,2,2925.33331,NA,2008-01-04 07:59:57
416,151,1,2926.249942,28.1087,2008-01-05 05:59:54
8112,151,1,2926.249942,28.1087,2008-01-05 05:59:54
416,151,2,2926.249942,34.7819,2008-01-05 05:59:54
8112,151,2,2926.249942,34.7819,2008-01-05 05:59:54
8112,152,1,2926.249942,32.5846,2008-01-05 05:59:54
8112,152,2,2926.249942,33.9681,2008-01-05 05:59:54
416,151,1,2926.333275,28.1901,2008-01-05 07:59:54
8112,151,1,2926.333275,28.1901,2008-01-05 07:59:54
416,151,2,2926.333275,34.9447,2008-01-05 07:59:54
8112,151,2,2926.333275,34.9447,2008-01-05 07:59:54
8112,152,1,2926.333275,32.4219,2008-01-05 07:59:54
8112,152,2,2926.333275,33.8867,2008-01-05 07:59:54
416,151,1,2926.416609,27.946,2008-01-05 09:59:55
8112,151,1,2926.416609,27.946,2008-01-05 09:59:55
416,151,2,2926.416609,34.6191,2008-01-05 09:59:55
8112,151,2,2926.416609,34.6191,2008-01-05 09:59:55
8112,152,1,2926.416609,32.2591,2008-01-05 09:59:55
8112,152,2,2926.416609,33.6426,2008-01-05 09:59:55
416,151,1,2926.499942,27.0508,2008-01-05 11:59:54
8112,151,1,2926.499942,27.0508,2008-01-05 11:59:54
416,151,2,2926.499942,33.0729,2008-01-05 11:59:54
8112,151,2,2926.499942,33.0729,2008-01-05 11:59:54
8112,152,1,2926.499942,32.9102,2008-01-05 11:59:54
8112,152,2,2926.499942,32.5033,2008-01-05 11:59:54
416,151,1,2926.583275,26.3184,2008-01-05 13:59:54
8112,151,1,2926.583275,26.3184,2008-01-05 13:59:54
416,151,2,2926.583275,32.666,2008-01-05 13:59:54
8112,151,2,2926.583275,32.666,2008-01-05 13:59:54
8112,152,1,2926.583275,NA,2008-01-05 13:59:54
8112,152,2,2926.583275,18.3431,2008-01-05 13:59:54
416,151,1,2926.666516,26.3184,2008-01-05 15:59:46
8112,151,1,2926.666516,26.3184,2008-01-05 15:59:46
416,151,2,2926.666516,32.1777,2008-01-05 15:59:46
8112,151,2,2926.666516,32.1777,2008-01-05 15:59:46
8112,152,2,2926.666516,18.5059,2008-01-05 15:59:46
416,156,1,2926.666644,NA,2008-01-05 15:59:58
8112,156,1,2926.666644,NA,2008-01-05 15:59:58
416,156,2,2926.666644,NA,2008-01-05 15:59:58
8112,156,2,2926.666644,NA,2008-01-05 15:59:58
416,151,1,2926.749942,26.6439,2008-01-05 17:59:54
8112,151,1,2926.749942,26.6439,2008-01-05 17:59:54
416,151,2,2926.749942,32.8288,2008-01-05 17:59:54
8112,151,2,2926.749942,32.8288,2008-01-05 17:59:54
8112,152,2,2926.750127,18.6686,2008-01-05 18:00:10
416,151,1,2926.833275,27.1322,2008-01-05 19:59:54
8112,151,1,2926.833275,27.1322,2008-01-05 19:59:54
416,151,2,2926.833275,33.3984,2008-01-05 19:59:54
8112,151,2,2926.833275,33.3984,2008-01-05 19:59:54
8112,152,2,2926.833275,19.0755,2008-01-05 19:59:54
416,151,1,2926.916609,27.1322,2008-01-05 21:59:55
8112,151,1,2926.916609,27.1322,2008-01-05 21:59:55
