"netID","wisID","probeID","daysSince1Jan2000","Temperature","time_stamp"
194,"181",2,3943.437546,18.06,2010-10-18 10:30:03
194,"181",1,3943.437546,17,2010-10-18 10:30:03
194,"181",2,3943.458333,19.31,2010-10-18 10:59:59
194,"181",1,3943.458333,17.69,2010-10-18 10:59:59
194,"181",2,3943.479167,20.63,2010-10-18 11:30:00
194,"181",1,3943.479167,18.69,2010-10-18 11:30:00
194,"181",2,3943.500046,21.88,2010-10-18 12:00:03
194,"181",1,3943.500046,19.56,2010-10-18 12:00:03
194,"181",2,3943.520833,22.94,2010-10-18 12:29:59
194,"181",1,3943.520833,20.38,2010-10-18 12:29:59
194,"181",2,3943.541667,24.19,2010-10-18 13:00:00
194,"181",1,3943.541667,21.25,2010-10-18 13:00:00
194,"181",2,3943.562546,24.94,2010-10-18 13:30:03
194,"181",1,3943.562546,21.94,2010-10-18 13:30:03
194,"181",2,3943.583333,25.19,2010-10-18 13:59:59
194,"181",1,3943.583333,22.13,2010-10-18 13:59:59
194,"181",2,3943.604167,24.88,2010-10-18 14:30:00
194,"181",1,3943.604167,22.13,2010-10-18 14:30:00
194,"181",2,3943.625046,24.81,2010-10-18 15:00:03
194,"181",1,3943.625046,22,2010-10-18 15:00:03
194,"181",2,3943.645833,24.69,2010-10-18 15:29:59
194,"181",1,3943.645833,22.06,2010-10-18 15:29:59
194,"181",2,3943.666667,24.25,2010-10-18 16:00:00
194,"181",1,3943.666667,21.75,2010-10-18 16:00:00
194,"181",2,3943.687546,23.56,2010-10-18 16:30:03
194,"181",1,3943.687546,21.44,2010-10-18 16:30:03
194,"181",2,3943.708333,22.69,2010-10-18 16:59:59
194,"181",1,3943.708333,21,2010-10-18 16:59:59
194,"181",2,3943.729167,21.63,2010-10-18 17:30:00
194,"181",1,3943.729167,20.25,2010-10-18 17:30:00
194,"181",2,3943.750046,20.63,2010-10-18 18:00:03
194,"181",1,3943.750046,19.56,2010-10-18 18:00:03
194,"181",2,3943.770833,19.44,2010-10-18 18:29:59
194,"181",1,3943.770833,18.94,2010-10-18 18:29:59
194,"181",2,3943.791667,18.5,2010-10-18 19:00:00
194,"181",1,3943.791667,18.19,2010-10-18 19:00:00
194,"181",2,3943.812546,17.94,2010-10-18 19:30:03
194,"181",1,3943.812546,17.94,2010-10-18 19:30:03
194,"181",2,3943.833333,16.81,2010-10-18 19:59:59
194,"181",1,3943.833333,17.31,2010-10-18 19:59:59
194,"181",2,3943.854167,15.69,2010-10-18 20:30:00
194,"181",1,3943.854167,16.5,2010-10-18 20:30:00
194,"181",2,3943.875046,14.88,2010-10-18 21:00:03
194,"181",1,3943.875046,15.94,2010-10-18 21:00:03
194,"181",2,3943.895833,14.75,2010-10-18 21:29:59
194,"181",1,3943.895833,15.69,2010-10-18 21:29:59
194,"181",2,3943.916667,14.88,2010-10-18 22:00:00
194,"181",1,3943.916667,15.56,2010-10-18 22:00:00
194,"181",2,3943.937546,14.5,2010-10-18 22:30:03
194,"181",1,3943.937546,15.5,2010-10-18 22:30:03
194,"181",2,3943.958333,14,2010-10-18 22:59:59
194,"181",1,3943.958333,15.19,2010-10-18 22:59:59
194,"181",2,3943.979167,13.5,2010-10-18 23:30:00
194,"181",1,3943.979167,14.88,2010-10-18 23:30:00
194,"181",2,3943.999954,13.31,2010-10-18 23:59:56
194,"181",1,3943.999954,14.69,2010-10-18 23:59:56
