"netID","wisID","probeID","daysSince1Jan2000","Temperature","time_stamp"
6294,147,3,2680.020787,11.2393,2007-05-04 00:29:55
6294,147,2,2680.02088,13.5803,2007-05-04 00:30:04
6294,155,1,2680.02088,16.1517,2007-05-04 00:30:04
6294,155,2,2680.02088,13.4564,2007-05-04 00:30:04
7029,173,2,2680.021065,13.4574,2007-05-04 00:30:20
7029,173,3,2680.021111,13.2721,2007-05-04 00:30:23
7029,173,2,2680.041528,13.2701,2007-05-04 00:59:48
6294,147,3,2680.04162,10.9285,2007-05-04 00:59:55
6294,155,1,2680.04162,16.0876,2007-05-04 00:59:55
6294,155,2,2680.04162,13.1461,2007-05-04 00:59:55
6294,147,2,2680.041713,13.5158,2007-05-04 01:00:04
7029,173,3,2680.041852,13.0856,2007-05-04 01:00:16
6294,147,2,2680.062454,13.2671,2007-05-04 01:29:56
6294,155,1,2680.062546,15.9635,2007-05-04 01:30:03
6294,155,2,2680.062546,13.1442,2007-05-04 01:30:03
6294,147,3,2680.062593,10.6166,2007-05-04 01:30:08
7029,173,2,2680.062593,13.0212,2007-05-04 01:30:08
7029,173,3,2680.062639,12.9597,2007-05-04 01:30:12
6294,147,3,2680.083287,10.6156,2007-05-04 01:59:55
7029,173,3,2680.083287,12.9587,2007-05-04 01:59:55
6294,147,2,2680.08338,13.2047,2007-05-04 02:00:04
6294,155,1,2680.08338,15.9616,2007-05-04 02:00:04
6294,155,2,2680.08338,13.0807,2007-05-04 02:00:04
7029,173,2,2680.08338,13.0202,2007-05-04 02:00:04
6294,147,3,2680.10412,10.4291,2007-05-04 02:29:55
7029,173,3,2680.10412,12.7732,2007-05-04 02:29:55
6294,147,2,2680.104213,13.2037,2007-05-04 02:30:04
6294,155,1,2680.104213,15.8384,2007-05-04 02:30:04
6294,155,2,2680.104213,12.9568,2007-05-04 02:30:04
7029,173,2,2680.104213,12.8338,2007-05-04 02:30:04
6294,147,3,2680.124954,9.9922,2007-05-04 02:59:56
7029,173,3,2680.124954,12.5233,2007-05-04 02:59:56
6294,147,2,2680.125046,13.0164,2007-05-04 03:00:03
6294,155,1,2680.125046,15.7124,2007-05-04 03:00:03
6294,155,2,2680.125046,12.6454,2007-05-04 03:00:03
7029,173,2,2680.125046,12.5839,2007-05-04 03:00:03
6294,147,3,2680.145787,9.8046,2007-05-04 03:29:55
7029,173,3,2680.145787,12.2733,2007-05-04 03:29:55
6294,147,2,2680.14588,12.7676,2007-05-04 03:30:04
6294,155,1,2680.14588,15.7106,2007-05-04 03:30:04
6294,155,2,2680.14588,12.6436,2007-05-04 03:30:04
7029,173,2,2680.14588,12.3965,2007-05-04 03:30:04
6294,147,2,2680.16662,12.6436,2007-05-04 03:59:55
7029,173,3,2680.16662,12.2715,2007-05-04 03:59:55
6294,155,1,2680.166713,15.5865,2007-05-04 04:00:04
6294,155,2,2680.166713,12.4571,2007-05-04 04:00:04
7029,173,2,2680.166713,12.334,2007-05-04 04:00:04
6294,147,3,2680.166759,9.6798,2007-05-04 04:00:07
6294,147,3,2680.187454,9.3682,2007-05-04 04:29:56
7029,173,3,2680.187454,12.2099,2007-05-04 04:29:56
6294,147,2,2680.187546,12.7034,2007-05-04 04:30:03
6294,155,1,2680.187546,15.5245,2007-05-04 04:30:03
6294,155,2,2680.187546,12.4563,2007-05-04 04:30:03
7029,173,2,2680.187546,12.3331,2007-05-04 04:30:03
6294,147,3,2680.208287,9.2424,2007-05-04 04:59:55
7029,173,3,2680.208287,12.209,2007-05-04 04:59:55
6294,147,2,2680.20838,12.4554,2007-05-04 05:00:04
6294,155,1,2680.20838,15.4616,2007-05-04 05:00:04
6294,155,2,2680.20838,12.3314,2007-05-04 05:00:04
7029,173,2,2680.20838,12.3322,2007-05-04 05:00:04
6294,147,3,2680.22912,8.9926,2007-05-04 05:29:55
7029,173,3,2680.22912,12.0225,2007-05-04 05:29:55
6294,147,2,2680.229213,12.3921,2007-05-04 05:30:04
6294,155,1,2680.229213,15.3979,2007-05-04 05:30:04
6294,155,2,2680.229213,12.0824,2007-05-04 05:30:04
7029,173,2,2680.229213,12.2082,2007-05-04 05:30:04
6294,147,3,2680.249954,8.8047,2007-05-04 05:59:56
7029,173,3,2680.249954,12.0225,2007-05-04 05:59:56
6294,147,2,2680.250046,12.2056,2007-05-04 06:00:03
6294,155,1,2680.250046,15.2738,2007-05-04 06:00:03
6294,155,2,2680.250046,12.0807,2007-05-04 06:00:03
7029,173,2,2680.250046,12.0841,2007-05-04 06:00:03
6294,147,3,2680.270787,8.7418,2007-05-04 06:29:55
7029,173,3,2680.270787,12.0216,2007-05-04 06:29:55
6294,147,2,2680.27088,12.1431,2007-05-04 06:30:04
6294,155,1,2680.27088,15.2738,2007-05-04 06:30:04
6294,155,2,2680.27088,12.0191,2007-05-04 06:30:04
7029,173,2,2680.27088,12.2064,2007-05-04 06:30:04
