"Accepted Symbol","Synonym Symbol","Scientific Name"
"ABES","","Abelmoschus esculentus"
"ABAL","","Abronia alpina"
"ABAM2","","Abronia ameliae"
"ABAM3","","Abronia ammophila"
"ABAN","","Abronia angustifolia"
"ABAR","","Abronia argillosa"
"ABBI","","Abronia bigelovii"
"ABBO","","Abronia bolackii"
"ABCA","","Abronia carletonii"
"ABEL","","Abronia elliptica"
"ABFR2","","Abronia fragrans"
"ABGR2","","Abronia gracilis"
"ABIN2","","Abronia insularis"
"ABLA2","","Abronia latifolia"
"ABMA5","","Abronia macrocarpa"
"ABMA2","","Abronia maritima"
"ABME","","Abronia mellifera"
"ABMI2","","Abronia minor"
"ABNA","","Abronia nana"
"ABNAC","","Abronia nana var. covillei"
"ABNAH","","Abronia nana var. harrisii"
"ABNAN","","Abronia nana var. nana"
"ABNE","","Abronia neurophylla"
"ABPO","","Abronia pogonantha"
"ABTU","","Abronia turbinata"
"ABUM","","Abronia umbellata"
"ABUMB","","Abronia umbellata ssp. breviflora"
"ABUMU","","Abronia umbellata ssp. umbellata"
"ABVI","","Abronia villosa"
"ABVIA","","Abronia villosa var. aurita"
"ABVIV","","Abronia villosa var. villosa"
"ABAB","","Abutilon abutiloides"
"ABHI","","Abutilon hirtum"
"ABHU","","Abutilon hulseanum"
"ABIN","","Abutilon incanum"
"ABMA3","","Abutilon malacum"
"ABMO2","","Abutilon mollicomum"
"ABPA2","","Abutilon parishii"
"ABPA3","","Abutilon parvulum"
"ABPE","","Abutilon permolle"
"ABRE","","Abutilon reventum"
"ABTH","","Abutilon theophrasti"
"ABTH2","","Abutilon thurberi"
"ABWR","","Abutilon wrightii"
"ACAN","","Acacia angustissima"
"ACANC","","Acacia angustissima var. chisosiana"
"ACANH","","Acacia angustissima var. hirta"
"ACANL","","Acacia angustissima var. leucothrix"
"ACANS","","Acacia angustissima var. shrevei"
"ACANS2","","Acacia angustissima var. suffrutescens"
"ACAN11","","Acaciella angustissima"
"ACANC3","","Acaciella angustissima var. chisosiana"
"ACANH2","","Acaciella angustissima var. hirta"
"ACLE10","","Acaciella leucothrix"
"ACSH2","","Acaciella shrevei"
"ACSU12","","Acaciella suffrutescens"
"ACEX","","Acaena exigua"
"ACNO7","","Acaena novae-zelandiae"
"ACPA14","","Acaena pallida"
"ACPI3","","Acaena pinnatifida"
"ACPIC2","","Acaena pinnatifida var. californica"
"ACAL2","","Acalypha alopecuroidea"
"ACAR16","","Acalypha arvensis"
"ACAU6","","Acalypha australis"
"ACCH2","","Acalypha chamaedryfolia"
"ACDE4","","Acalypha deamii"
"ACGR2","","Acalypha gracilens"
"ACIN12","","Acalypha indica"
"ACLA9","","Acalypha lanceolata"
"ACME7","","Acalypha mexicana"
"ACMO4","","Acalypha monococca"
"ACMO","","Acalypha monostachya"
"ACNE","","Acalypha neomexicana"
"ACOS","","Acalypha ostryifolia"
"ACPH3","","Acalypha phleoides"
"ACPO","","Acalypha poiretii"
"ACRA","","Acalypha radians"
"ACRH","","Acalypha rhomboidea"
"ACSE","","Acalypha setosa"
"ACVI","","Acalypha virginica"
"ACDU2","","Acanthomintha duttonii"
"ACIL","","Acanthomintha ilicifolia"
"ACLA2","","Acanthomintha lanceolata"
"ACOB","","Acanthomintha obovata"
"ACOBC","","Acanthomintha obovata ssp. cordata"
"ACOBO","","Acanthomintha obovata ssp. obovata"
"ACAU2","","Acanthospermum australe"
"ACHI","","Acanthospermum hispidum"
"ACHU","","Acanthospermum humile"
"ACEB3","","Acanthus ebracteatus"
"ACMO8","","Acanthus mollis"
"ACAG3","","Achillea ageratum"
"ACAL17","","Achillea alpina"
"ACDI6","","Achillea distans"
"ACFI","","Achillea filipendulina"
"ACLI2","","Achillea ligustica"
"ACMI2","","Achillea millefolium"
"ACMIA","","Achillea millefolium var. alpicola"
"ACMIA2","","Achillea millefolium var. arenicola"
"ACMIB","","Achillea millefolium var. borealis"
"ACMIC","","Achillea millefolium var. californica"
