"Accepted Symbol","Synonym Symbol","Scientific Name"
"ABOV","","Abildgaardia ovata"
"ACBL","","Achnatherum ×bloomeri"
"ACAR14","","Achnatherum aridum"
"ACBR5","","Achnatherum brachychaetum"
"ACBR6","","Achnatherum bromoides"
"ACCA30","","Achnatherum calamagrostis"
"ACCA34","","Achnatherum capense"
"ACCA36","","Achnatherum caragana"
"ACCA31","","Achnatherum caudatum"
"ACCL7","","Achnatherum clandestinum"
"ACCO22","","Achnatherum contractum"
"ACCO21","","Achnatherum coronatum"
"ACCU6","","Achnatherum curvifolium"
"ACDI10","","Achnatherum diegoense"
"ACEM4","","Achnatherum eminens"
"ACHE10","","Achnatherum hendersonii"
"ACHY","","Achnatherum hymenoides"
"ACLA8","","Achnatherum latiglume"
"ACLE8","","Achnatherum lemmonii"
"ACLEL","","Achnatherum lemmonii var. lemmonii"
"ACLEP","","Achnatherum lemmonii var. pubescens"
"ACLE9","","Achnatherum lettermanii"
"ACLO7","","Achnatherum lobatum"
"ACNE9","","Achnatherum nelsonii"
"ACNED","","Achnatherum nelsonii ssp. dorei"
"ACNEN2","","Achnatherum nelsonii ssp. nelsonii"
"ACNE10","","Achnatherum nevadense"
"ACOC3","","Achnatherum occidentale"
"ACOCC","","Achnatherum occidentale ssp. californicum"
"ACOCO","","Achnatherum occidentale ssp. occidentale"
"ACOCP","","Achnatherum occidentale ssp. pubescens"
"ACPA13","","Achnatherum parishii"
"ACPAD","","Achnatherum parishii var. depauperatum"
"ACPAP","","Achnatherum parishii var. parishii"
"ACPE12","","Achnatherum pekinense"
"ACPE13","","Achnatherum perplexum"
"ACPI2","","Achnatherum pinetorum"
"ACRI8","","Achnatherum richardsonii"
"ACRO7","","Achnatherum robustum"
"ACSC11","","Achnatherum scribneri"
"ACSP12","","Achnatherum speciosum"
"ACSP8","","Achnatherum splendens"
"ACST7","","Achnatherum stillmanii"
"ACSW3","","Achnatherum swallenii"
"ACTH7","","Achnatherum thurberianum"
"ACWA","","Achnatherum wallowaense"
"ACWE3","","Achnatherum webberi"
"ACCA32","","×Achnella caduca"
"ACRA6","","Acrachne racemosa"
"ACAM8","","Acroceras amplectens"
"ACMA5","","Acroceras macrum"
"ACOR2","","Acroceras oryzoides"
"AEBI","","Aegilops bicornis"
"AECO","","Aegilops comosa"
"AECR","","Aegilops crassa"
"AECY","","Aegilops cylindrica"
"AEGE","","Aegilops geniculata"
"AELO","","Aegilops longissima"
"AELO2","","Aegilops lorentii"
"AENE2","","Aegilops neglecta"
"AESE3","","Aegilops searsii"
"AESP2","","Aegilops speltoides"
"AETA2","","Aegilops tauschii"
"AETR","","Aegilops triuncialis"
"AEUM","","Aegilops umbellulata"
"AEVE","","Aegilops ventricosa"
"AECE","","Aegopogon cenchroides"
"AETE","","Aegopogon tenellus"
"AELA2","","Aeluropus lagopoides"
"AELI2","","Aeluropus littoralis"
"AGAD4","","×Agroelymus adamsii"
"AGBO5","","×Agroelymus bowdenii"
"AGLI","","×Agropogon littoralis"
"AGHY2","","Agropyron ×hybrid"
"AGCR","","Agropyron cristatum"
"AGCRC","","Agropyron cristatum ssp. cristatum"
"AGCRP8","","Agropyron cristatum ssp. pectinatum"
"AGCRI","","Agropyron cristatum ssp. pectinatum var. imbricatum"
"AGDE2","","Agropyron desertorum"
"AGFR","","Agropyron fragile"
"AGAE","","Agrostis aequivalvis"
"AGAN6","","Agrostis anadyrensis"
"AGAV","","Agrostis avenacea"
"AGBL","","Agrostis blasdalei"
"AGCA4","","Agrostis canina"
"AGCA5","","Agrostis capillaris"
"AGCA11","","Agrostis castellana"
"AGCL","","Agrostis clavata"
"AGCL2","","Agrostis clivicola"
"AGCLC","","Agrostis clivicola var. clivicola"
"AGCLP","","Agrostis clivicola var. punta-reyesensis"
"AGCU4","","Agrostis curtisii"
"AGDE7","","Agrostis densiflora"
"AGEL4","","Agrostis elliottiana"
"AGEX","","Agrostis exarata"
"AGGI2","","Agrostis gigantea"
"AGHA2","","Agrostis hallii"
"AGHE3","","Agrostis hendersonii"
"AGHO","","Agrostis hooveri"
"AGHO2","","Agrostis howellii"
"AGHU","","Agrostis humilis"
"AGHY","","Agrostis hyemalis"
"AGID","","Agrostis idahoensis"
"AGLA","","Agrostis lacuna-vernalis"
"AGME3","","Agrostis mertensii"
"AGMI3","","Agrostis microphylla"
"AGNE9","","Agrostis nebulosa"
"AGOR","","Agrostis oregonensis"
"AGPA8","","Agrostis pallens"
"AGPA9","","Agrostis pauzhetica"
"AGPE","","Agrostis perennans"
"AGRO4","","Agrostis rossiae"
"AGSA3","","Agrostis sandwicensis"
"AGSC5","","Agrostis scabra"
"AGST2","","Agrostis stolonifera"
"AGTR10","","Agrostis transcaspica"
"AGVA","","Agrostis variabilis"
"AGVI9","","Agrostis vinealis"
"AGVIV3","","Agrostis vinealis ssp. vinealis"
"AICA","","Aira caryophyllea"
"AICAC2","","Aira caryophyllea var. caryophyllea"
"AICAC3","","Aira caryophyllea var. cupaniana"
"AICAM2","","Aira caryophyllea var. multiculmis"
"AIEL4","","Aira elegans"
"AIPR","","Aira praecox"
"ALTE3","","Allolepis texana"
"ALCI3","","Alloteropsis cimicina"
"ALHA7","","Alopecurus ×haussknechtianus"
"ALAE","","Alopecurus aequalis"
