Site,Tag,Species,SeedOrigin,Chamber,ChSide,ChRow,ChCol,GermDate,SpringSeeder,CensInDate,DatePlanted,DeathDate,PossibleDeathDate,CensorDate,Path_Harvest,MIA,Status,Phen_04.15.10,Phen_04.21.10,Phen_04.30.10,Phen_05.17.10,Phen_05.24.10,Phen_06.16.10,Phen_07.07.10,Phen_08.02.10,Phen_04.20.11,Phen_05.05.11,Phen_05.26.11,Phen_06.13.11,Phen_07.26.11,Phen_02.27.12,Phen_03.07.12,Phen_03.15.12,Phen_03.21.12,Phen_03.26.12,Phen_04.03.12,Phen_04.12.12,Phen_04.17.12,Phen_05.04.12,Phen_05.09.12,Phen_05.31.12,Phen_07.16.12,Phen_08.13.12,Phen_05.13.14
HF,11246,acru,MA_Worcester_Natural,S06_3,1,1,1,5/26/2011,NA,NA,NA,7/26/2011,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,2485,acru,MA_Worcester_Planted_A,S06_3,1,1,3,7/27/2009,NA,NA,6/17/2009,5/24/2010,NA,NA,NA,NA,0,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,8246,acru,NC_Orange_Planted_A,S06_3,1,1,5,NA,NA,4/17/2012,6/17/2009,8/13/2012,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,6,6,NA
HF,3206,nysy,NC_Durham_Planted_A,S06_3,1,2,1,6/16/2010,NA,NA,10/26/2009,5/26/2011,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,10694,acru,MA_Worcester_Natural,S06_3,1,2,4,7/29/2009,NA,NA,NA,4/3/2012,NA,NA,NA,NA,0,4,5,5,5,5,5,5,3,1,1,4,5,6,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,2758,pist,NY_NA_Planted_B,S06_3,1,2,7,7/7/2010,NA,NA,3/17/2010,8/2/2010,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,10682,acru,MA_Worcester_Natural,S06_3,1,3,1,7/29/2009,NA,NA,NA,8/2/2010,NA,NA,NA,NA,0,4,4,5,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,2465,acru,MA_Worcester_Planted_A,S06_3,1,3,4,7/27/2009,NA,NA,6/17/2009,9/28/2009,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,10669,acru,MA_Worcester_Natural,S06_3,1,3,5,7/29/2009,NA,NA,NA,5/5/2011,NA,NA,NA,NA,0,4,4,5,5,5,5,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,10699,acru,MA_Worcester_Natural,S06_3,1,3,6,7/29/2009,NA,NA,NA,8/2/2010,NA,NA,NA,NA,0,3,3,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,9338,acru,MA_Worcester_Natural,S06_3,1,4,4,5/5/2011,NA,NA,NA,5/31/2012,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,6,NA,NA,1,1,1,1,1,1,1,5,NA,1,NA,NA
HF,2752,piun,MA_Worcester_Natural,S06_3,1,4,5,7/7/2010,NA,NA,NA,10/6/2010,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,10660,acru,MA_Worcester_Natural,S06_3,1,5,2,7/29/2009,NA,NA,NA,8/2/2010,NA,NA,NA,NA,0,NA,NA,5,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,3617,piun,MA_Worcester_Natural,S06_3,1,5,4,8/2/2010,NA,NA,NA,10/6/2010,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,10666,acru,MA_Worcester_Natural,S06_3,1,5,4,7/29/2009,NA,NA,NA,8/2/2010,NA,NA,NA,NA,0,2,3,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,2978,quru,MA_Worcester_Natural,S06_3,1,5,5,10/3/2011,NA,NA,NA,4/12/2012,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
HF,10695,acru,MA_Worcester_Natural,S06_3,1,5,5,7/29/2009,NA,NA,NA,4/15/2010,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,10649,acru,MA_Worcester_Natural,S06_3,1,6,2,7/29/2009,NA,NA,NA,5/31/2012,NA,NA,NA,NA,0,3,4,4,5,5,5,5,5,1,1,5,5,6,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA
HF,2434,fagr,MA_Worcester_Planted_A,S06_3,1,6,3,7/27/2009,NA,NA,6/23/2009,9/28/2009,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,9341,acru,GA_Athens-Clarke_Planted_A,S06_3,1,6,5,5/5/2011,NA,NA,6/17/2010,5/26/2011,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,9373,acru,MA_Worcester_Natural,S06_3,1,6,5,5/5/2011,NA,NA,NA,7/26/2011,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,8258,nysy,LA_NA_Planted_A,S06_3,1,6,6,NA,NA,4/17/2012,11/15/2011,8/13/2012,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,5,6,NA,NA
HF,2747,piun,MA_Worcester_Natural,S06_3,1,7,7,7/7/2010,NA,NA,NA,8/2/2010,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,10628,acru,MA_Worcester_Natural,S06_3,1,7,7,7/29/2009,NA,NA,NA,8/2/2010,NA,NA,NA,NA,0,3,4,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,3668,litu,KY_NA_Planted_B,S06_3,1,8,1,6/16/2010,NA,NA,3/17/2010,8/2/2010,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,3659,litu,KY_NA_Planted_A,S06_3,1,8,7,6/16/2010,NA,NA,6/17/2009,4/20/2011,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,10601,acru,MA_Worcester_Natural,S06_3,1,8,7,7/29/2009,NA,NA,NA,5/5/2011,NA,NA,NA,NA,0,3,4,4,4,5,4,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,10606,acru,MA_Worcester_Natural,S06_3,1,8,7,7/29/2009,NA,NA,NA,4/15/2010,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,10613,acru,MA_Worcester_Natural,S06_3,1,8,7,7/29/2009,NA,NA,NA,8/2/2010,NA,NA,NA,NA,0,4,4,4,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,10626,acru,MA_Worcester_Natural,S06_3,1,8,7,9/28/2009,NA,NA,NA,6/13/2011,NA,NA,NA,NA,0,4,4,4,4,5,4,5,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,2497,mavi,GA_NA_Planted_A,S06_3,1,9,6,7/27/2009,NA,NA,7/9/2009,9/28/2009,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,4135,pist,NC_NA_Planted_B,S06_3,1,9,6,10/2/2012,NA,NA,6/5/2012,9/23/2013,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,3674,piun,MA_Worcester_Natural,S06_3,1,10,2,8/2/2010,NA,NA,NA,10/6/2010,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF,9345,acsa,MA_Worcester_Natural,S06_3,1,10,4,5/5/2011,NA,NA,NA,7/26/2011,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
