Year,Species,Chamber,Delta_AirT,Feb15_Mar15_AirT,Feb15_AirT_GDD,Budburst_Date,Budburst_JD
2011,ACRU,1,2.262724138,12.20757112,374.52,29-Mar,88
2011,ACRU,1,2.262724138,12.20757112,352.36475,24-Mar,83
2011,ACRU,1,2.262724138,12.20757112,444.591,6-Apr,96
2011,ACRU,1,2.262724138,12.20757112,288.27725,20-Mar,79
2011,ACRU,1,2.262724138,12.20757112,352.36475,24-Mar,83
2011,ACRU,1,2.262724138,12.20757112,304.16975,21-Mar,80
2011,ACRU,1,2.262724138,12.20757112,304.16975,21-Mar,80
2011,ACRU,1,2.262724138,12.20757112,374.52,29-Mar,88
2011,ACRU,1,2.262724138,12.20757112,394.919,2-Apr,92
2011,ACRU,1,2.262724138,12.20757112,394.919,2-Apr,92
2011,CATO,1,2.262724138,12.20757112,444.591,6-Apr,96
2011,QUAL,1,2.262724138,12.20757112,352.36475,24-Mar,83
2011,QUAL,1,2.262724138,12.20757112,288.27725,20-Mar,79
2011,QUAL,1,2.262724138,12.20757112,352.36475,24-Mar,83
2011,QUAL,1,2.262724138,12.20757112,323.44975,22-Mar,81
2011,QUAL,1,2.262724138,12.20757112,288.27725,20-Mar,79
2011,QUAL,1,2.262724138,12.20757112,288.27725,20-Mar,79
2011,QUAL,1,2.262724138,12.20757112,288.27725,20-Mar,79
2011,QUAL,1,2.262724138,12.20757112,288.27725,20-Mar,79
2011,QUAL,1,2.262724138,12.20757112,340.53725,23-Mar,82
2011,QUAL,1,2.262724138,12.20757112,304.16975,21-Mar,80
2011,ACRU,2,-0.15942816,9.785418822,203.683,20-Mar,79
2011,ACRU,2,-0.15942816,9.785418822,203.683,20-Mar,79
2011,ACRU,2,-0.15942816,9.785418822,203.683,20-Mar,79
2011,ACRU,2,-0.15942816,9.785418822,259.648,24-Mar,83
2011,ACRU,2,-0.15942816,9.785418822,203.683,20-Mar,79
2011,ACRU,2,-0.15942816,9.785418822,259.648,24-Mar,83
2011,ACRU,2,-0.15942816,9.785418822,203.683,20-Mar,79
2011,ACRU,2,-0.15942816,9.785418822,259.648,24-Mar,83
2011,ACRU,2,-0.15942816,9.785418822,259.648,24-Mar,83
2011,ACRU,2,-0.15942816,9.785418822,234.9355,22-Mar,81
2011,CATO,2,-0.15942816,9.785418822,259.648,24-Mar,83
2011,CATO,2,-0.15942816,9.785418822,259.648,24-Mar,83
2011,QUAL,2,-0.15942816,9.785418822,203.683,20-Mar,79
2011,QUAL,2,-0.15942816,9.785418822,203.683,20-Mar,79
2011,QUAL,2,-0.15942816,9.785418822,203.683,20-Mar,79
2011,QUAL,2,-0.15942816,9.785418822,127.69625,11-Mar,70
2011,QUAL,2,-0.15942816,9.785418822,203.683,20-Mar,79
2011,QUAL,2,-0.15942816,9.785418822,217.453,21-Mar,80
2011,QUAL,2,-0.15942816,9.785418822,155.179,15-Mar,74
2011,QUAL,2,-0.15942816,9.785418822,203.683,20-Mar,79
2011,QUAL,2,-0.15942816,9.785418822,217.453,21-Mar,80
2011,QUAL,2,-0.15942816,9.785418822,270.66625,29-Mar,88
2011,VAPA,2,-0.15942816,9.785418822,203.683,20-Mar,79
2011,VAST,2,-0.15942816,9.785418822,259.648,24-Mar,83
2011,VAST,2,-0.15942816,9.785418822,272.9705,31-Mar,90
2011,VAST,2,-0.15942816,9.785418822,319.28825,6-Apr,96
2011,VAST,2,-0.15942816,9.785418822,362.94875,10-Apr,100
2011,VAST,2,-0.15942816,9.785418822,259.648,24-Mar,83
2011,VAST,2,-0.15942816,9.785418822,259.648,24-Mar,83
2011,VAST,2,-0.15942816,9.785418822,203.683,20-Mar,79
2011,ACRU,3,3.151946118,13.0967931,379.48525,24-Mar,83
2011,ACRU,3,3.151946118,13.0967931,314.55775,20-Mar,79
2011,ACRU,3,3.151946118,13.0967931,350.38025,22-Mar,81
2011,ACRU,3,3.151946118,13.0967931,314.55775,20-Mar,79
2011,ACRU,3,3.151946118,13.0967931,314.55775,20-Mar,79
2011,ACRU,3,3.151946118,13.0967931,262.9195,16-Mar,75
2011,ACRU,3,3.151946118,13.0967931,314.55775,20-Mar,79
2011,ACRU,3,3.151946118,13.0967931,379.48525,24-Mar,83
2011,ACRU,3,3.151946118,13.0967931,330.69025,21-Mar,80
2011,ACRU,3,3.151946118,13.0967931,379.48525,24-Mar,83
2011,QUAL,3,3.151946118,13.0967931,379.48525,24-Mar,83
2011,QUAL,3,3.151946118,13.0967931,379.48525,24-Mar,83
2011,QUAL,3,3.151946118,13.0967931,452.29175,4-Apr,94
2011,QUAL,3,3.151946118,13.0967931,262.9195,16-Mar,75
2011,QUAL,3,3.151946118,13.0967931,199.3915,9-Mar,68
2011,QUAL,3,3.151946118,13.0967931,379.48525,24-Mar,83
2011,QUAL,3,3.151946118,13.0967931,379.48525,24-Mar,83
2011,QUAL,3,3.151946118,13.0967931,350.38025,22-Mar,81
2011,QUAL,3,3.151946118,13.0967931,314.55775,20-Mar,79
2011,QUAL,3,3.151946118,13.0967931,314.55775,20-Mar,79
2011,QUAL,3,3.151946118,13.0967931,403.26375,29-Mar,88
2011,VAPA,3,3.151946118,13.0967931,379.48525,24-Mar,83
2011,VAPA,3,3.151946118,13.0967931,379.48525,24-Mar,83
2011,VAPA,3,3.151946118,13.0967931,424.64175,2-Apr,92
2011,VAPA,3,3.151946118,13.0967931,199.3915,9-Mar,68
2011,VAPA,3,3.151946118,13.0967931,314.55775,20-Mar,79
2011,VAPA,3,3.151946118,13.0967931,379.48525,24-Mar,83
2011,VAPA,3,3.151946118,13.0967931,379.48525,24-Mar,83
2011,VAPA,3,3.151946118,13.0967931,262.9195,16-Mar,75
2011,VAPA,3,3.151946118,13.0967931,262.9195,16-Mar,75
2011,VAST,3,3.151946118,13.0967931,314.55775,20-Mar,79
2011,VAST,3,3.151946118,13.0967931,314.55775,20-Mar,79
2011,ACRU,4,1.408237068,11.35308405,229.5855,18-Mar,77
2011,CATO,4,1.408237068,11.35308405,400.978,7-Apr,97
2011,QUAL,4,1.408237068,11.35308405,251.40125,20-Mar,79
2011,QUAL,4,1.408237068,11.35308405,284.30875,22-Mar,81
2011,QUAL,4,1.408237068,11.35308405,311.34875,24-Mar,83
2011,QUAL,4,1.408237068,11.35308405,311.34875,24-Mar,83
2011,QUAL,4,1.408237068,11.35308405,251.40125,20-Mar,79
2011,QUAL,4,1.408237068,11.35308405,311.34875,24-Mar,83
