,Panicum virgatum (Switchgrass) Phenology Data 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fit Curve per plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Julian Date 2003,,,,,,,,,,,,,,,,,,,,,,,,,
plot,Plant,Heat?,Water?,141,148,156,164,171,174,178,181,184,188,191,195,199,202,206,213,218,225,231,239,247,252,262,267,276,281
1,1,y,y,2.5,2.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4
1,2,y,y,1.5,2.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
1,3,y,y,1.5,2,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4
1,4,y,y,1.5,2,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4
1,7,y,y,1,1.5,2.5,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,9,y,y,1,1,2.5,3,3.25,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4
1,10,y,y,1,1,1.67,2,2.5,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
2,3,n,n,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3.25,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4
2,4,n,n,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4
2,5,n,n,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3.5,3.5,3.5,3.5,4,4,4,4,4,4
2,6,n,n,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3.5,3.5,4,4,4,4,4,4,4,4,4,4
2,7,n,n,0,0,0,0,0,1,1,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
2,8,n,n,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4
2,9,n,n,0,0,0,0,0,1,1,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4
2,10,n,n,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
3,1,y,n,0,0,1,1,1,1,1,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4
3,2,y,n,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4
3,3,y,n,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1.5,2,4,4,4,4,4,4,4
3,5,y,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.5,4,4,4,4,4,4,4
3,8,y,n,,,2.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
