Date,Chamber,Delta_JulyT,Flower_JD,Flower_Loss JD,Fruit_JD,Seed_JD
2010,7,2.1,202,225,,
2010,11,0,209,225,225,295
2010,11,0,211,228,228,295
2010,11,0,213,228,228,295
2010,OUT,0,201,217,217,295
2010,OUT,0,204,217,217,295
2010,OUT,0,205,221,221,274
2010,OUT,0,203,221,221,295
2010,OUT,0,208,219,,
2010,OUT,0,207,221,221,
2010,OUT,0,210,225,225,
2010,OUT,0,206,219,,
2010,OUT,0,,221,221,302
2010,OUT,0,,221,221,302
2010,OUT,0,,221,221,
2010,OUT,0,,221,221,302
2010,OUT,0,,221,221,302
2010,OUT,0,,221,221,302
2010,OUT,0,,,,286
2011,4,1.3,217,234,234,313
2011,4,1.3,219,234,234,327
2011,4,1.3,223,237,,
2011,4,1.3,216,230,,
2011,7,2.6,222,237,,
2011,OUT,0,205,227,227,306
2011,OUT,0,208,,,
2011,OUT,0,210,227,227,313
2011,OUT,0,209,227,227,306
2011,OUT,0,210,234,234,313
2011,OUT,0,210,234,234,313
2011,OUT,0,210,227,227,299
2011,OUT,0,213,227,227,299
2011,OUT,0,204,227,227,299
2011,OUT,0,211,227,227,313
2011,OUT,0,208,227,,
