Color code of the species and populations,,,,,,,,,,,,,,
,,,,Populations,,,,,,,,,,
,,,,1,,,2,,,3,,,4,
Species code,Species name,,,,,,,,,,,,,
lr,Lolium,rigidum,,,,,,,,,,,,
,,,,,,,,,,,,,,
lp,Lolium,perenne,,,,,,,,,,,,
,,,,,,,,,,,,,,
sv,Setaria,viridis,,,,,,,,,,,,
,,,,,,,,,,,,,,
sp,Setaria,parviflora,,,,,,,,,,,,
,,,,,,,,,,,,,,
aa,Artemisia,annua,,Transparent,Transparent,,,Transparent,,,Transparent,,,
,,,,,,,,,,,,,,
av,Artemisia,vulgaris,,,,,,,,,,,,
,,,,,,,,,,,,,,
ar,Amaranthus,retroflexus,,,,,,,,,,,,
,,,,,,,,,,,,,,
ad,Amaranthus,deflexus,,,,,,,,,,,,
,,,,,,,,,,,,,,
qr,Quercus,robur,,,,,,,,,,,,
,,,,,,,,,,,,,,
qp,Quercus,pubescens,,,,,,,,,,,,
,,,,,,,,,,,,,,
qi,Quercus,ilex,,,,,,,,,,,,
