Mesure de l'humidité du sol  !!!!!!!!!!!!!!!!!!  ERREUR FACTERU TEMP REP E  DANS TOUTES FICHES SAUF 2002_SAS!!!!!!!!!!!!!!!!!!!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Densité du sol,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesure avec le TDR. Les électrode de longueur 30 cm sont les + près du bord ouest et les plus éloignées du bord nord.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courbes de l'humidité f(tps) sur l'ensemble de la période,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 macros Ctrl t et Ctrl d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guides d'ondes = 30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dates,3/5/02,17/5/02,23/5/02,5/6/02,13/6/02,19/6/02,27/6/02,3/7/02,15/7/02,26/7/02,31/7/02,12/8/02,22/8/02,29/8/02,4/9/02,12/9/02,18/9/02,30/9/02,16/10/02,23/10/02,4/11/02,,,,,,,,,,,,,,,,,,,,,
Ts,28.1,29.58,32.5,26.4,24.76,19.5,17.8,19.6,17.9,16.28,18.78,16.46,16.64,27.26,23.18,25.64,23.06,19.76,28.08,28.66,29.38,,,,,,,,,,,,,,,,,,,,,
T+2s,28.2,29.28,32.64,24.94,22.2,16.52,14.08,16.66,13.02,13.42,21.28,13.7,15.52,28.12,23.7,26.92,23.46,23.26,28.76,28.9,29.36,,,,,,,,,,,,,,,,,,,,,
T+4s,27.7,28.58,31.8,24.54,23.68,17.92,16.96,18.08,13.56,15.92,17.94,15.18,15.34,27.28,22.56,27.54,21.2,22.22,27.9,27.54,28.04,,,,,,,,,,,,,,,,,,,,,
Th,29.3,31.26,33.7,28.8,25.28,19.84,20.28,20.06,18.44,16.98,22.98,18.1,18.54,28.72,25.84,28.32,25.34,24.46,29.26,29.46,30.72,,,,,,,,,,,,,,,,,,,,,
T+2h,28.6,29.14,32.66,26.36,24.32,18.38,18.3,18.8,14.96,14.72,19.7,14.28,15.5,28.8,23.74,27.8,23.54,23.12,28.28,28.42,28.9,,,,,,,,,,,,,,,,,,,,,
T+4h,29.1,29.325,30.38,23.86,23.56,17.44,16.68,18.3,14.72,14.7,21.98,14.66,15.5,27.46,22.9,27.08,21.68,22.1,28.12,28.3,28.14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S30,28.0,29.1,32.3,25.3,23.5,18.0,16.3,18.1,14.8,15.2,19.3,15.1,15.8,27.6,23.1,26.7,22.6,21.7,28.2,28.4,28.9,,,,,,,,,,,,,,,,,,,,,
H30,29.0,29.9,32.2,26.3,24.4,18.6,18.4,19.1,16.0,15.5,21.6,15.7,16.5,28.3,24.2,27.7,23.5,23.2,28.6,28.7,29.3,,,,,,,,,,,,,,,,,,,,,
H30-S30,1.0,0.8,-0.1,1.0,0.8,0.6,2.1,0.9,1.2,0.3,2.2,0.6,0.7,0.8,1.0,1.0,0.9,1.5,0.3,0.4,0.3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guides d'ondes = 15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dates,3/5/02,17/5/02,23/5/02,5/6/02,13/6/02,19/6/02,27/6/02,3/7/02,15/7/02,26/7/02,31/7/02,12/8/02,22/8/02,29/8/02,4/9/02,12/9/02,18/9/02,30/9/02,16/10/02,23/10/02,4/11/02,,,,,,,,,,,,,,,,,,,,,
Ts,25.76,29.7,35.16,27.28,21.02,16.64,17.12,21.94,16.26,14.16,20.22,14.26,16.92,26.64,22.98,23.78,20.76,19.58,27.36,28.9,28.2,,,,,,,,,,,,,,,,,,,,,
T+2s,26.1,26.22,32.18,24.3,17.2,13.2,16.78,19.94,15.2,14.72,19.8,14.16,15.76,25.4,21.62,22.34,18.48,19.46,26.48,27.98,26.14,,,,,,,,,,,,,,,,,,,,,
T+4s,26.18,26.18,30.2,24.6,18.42,14.02,16.98,18.76,15.1,13.6,16.96,13.26,14.32,24.96,20.06,24.66,16.1,16.96,24.6,25.44,24.68,,,,,,,,,,,,,,,,,,,,,
Th,29,28.76,34.1,26.62,19.24,15.72,16.66,18.34,13.28,13.9,20.14,13.22,15.36,26.58,23.1,26.08,20.18,19.1,27.72,29.42,29.16,,,,,,,,,,,,,,,,,,,,,
T+2h,26.84,28.02,33.44,26.26,19.24,15.62,16.78,20.36,14.26,13.4,19.62,12.54,13.86,26.16,20.84,22.24,17.22,17.74,26.3,28.9,26.96,,,,,,,,,,,,,,,,,,,,,
T+4h,27.84,28.94,32.82,25.22,18.24,15.7,17.94,19.82,15.32,14.14,20.66,13.68,15.54,26.98,21.64,22.7,17.56,17.7,26.84,27.6,26.08,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S15,26.01333333,27.36666667,32.51333333,25.39333333,18.88,14.62,16.96,20.21333333,15.52,14.16,18.99333333,13.89333333,15.66666667,25.66666667,21.55333333,23.59333333,18.44666667,18.66666667,26.14666667,27.44,26.34,,,,,,,,,,,,,,,,,,,,,
H15,27.89333333,28.57333333,33.45333333,26.03333333,18.90666667,15.68,17.12666667,19.50666667,14.28666667,13.81333333,20.14,13.14666667,14.92,26.57333333,21.86,23.67333333,18.32,18.18,26.95333333,28.64,27.4,,,,,,,,,,,,,,,,,,,,,
H15-S15,1.88,1.206666667,0.94,0.64,0.026666667,1.06,0.166666667,-0.706666667,-1.233333333,-0.346666667,1.146666667,-0.746666667,-0.746666667,0.906666667,0.306666667,0.08,-0.126666667,-0.486666667,0.806666667,1.2,1.06,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dates,3/5/02,17/5/02,23/5/02,5/6/02,13/6/02,19/6/02,27/6/02,3/7/02,15/7/02,26/7/02,31/7/02,12/8/02,22/8/02,29/8/02,4/9/02,12/9/02,18/9/02,30/9/02,16/10/02,23/10/02,4/11/02,,,,,,,,,,,,,,,,,,,,,
Ts,2.3,-0.1,-2.7,-0.9,3.7,2.9,0.7,-2.3,1.6,2.1,-1.4,2.2,-0.3,0.6,0.2,1.9,2.3,0.2,0.7,-0.2,1.2,,,,,,,,,,,,,,,,,,,,,
T+2s,2.1,3.1,0.5,0.6,5.0,3.3,-2.7,-3.3,-2.2,-1.3,1.5,-0.5,-0.2,2.7,2.1,4.6,5.0,3.8,2.3,0.9,3.2,,,,,,,,,,,,,,,,,,,,,
T+4s,1.5,2.4,1.6,-0.1,5.3,3.9,0.0,-0.7,-1.5,2.3,1.0,1.9,1.0,2.3,2.5,2.9,5.1,5.3,3.3,2.1,3.4,,,,,,,,,,,,,,,,,,,,,
