plot,block,hum,temp,date,30 cm,15 cm,,plot,block,hum,temp,30 cm,15 cm,,,,temp,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,040116,29.1,26.6,,a1,A,H,T+,24.41666667,22.22,,hum,Données,T,T+,T++,Total,,,,,,,,,,,,,,,,,,
b1,B,H,T,040116,31.1,28.1,,a2,A,S,T++,23.77333333,22.69,,H,Moyenne de 30 cm,25.99556322,25.07733333,23.572,24.88163218,,,,,,,,,,,,,,,,,,
c1,C,S,T,040116,30.1,27,,a3,A,S,T,26.59333333,23.96666667,,,Moyenne de 15 cm,25.49333333,24.79333333,23.50466667,24.59711111,,,,,,,,,,,,,,,,,,
d1,D,S,T++,040116,26.2,21.5,,a4,A,H,T++,22.05,22.65666667,,S,Moyenne de 30 cm,25.50666667,24.76333333,23.46266667,24.57755556,,,,,,,,,,,,,,,,,,
e1,E,H,T+,040116,27.2,27.6,,a5,A,H,T,26.53448276,26.01,,,Moyenne de 15 cm,24.84466667,24.28733333,23.182,24.10466667,,,,,,,,,,,,,,,,,,
a2,A,S,T++,040116,25.8,21.2,,a6,A,S,T+,24.93,24.23333333,,Total Moyenne de 30 cm,,25.75111494,24.92033333,23.51733333,24.72959387,,,,,,,,,,,,,,,,,,
b2,B,S,T+,040116,26.7,25.1,,b1,B,H,T,25.17,26.01,,Total Moyenne de 15 cm,,25.169,24.54033333,23.34333333,24.35088889,,,,,,,,,,,,,,,,,,
c2,C,H,T++,040116,25.4,18.5,,b2,B,S,T+,23.12333333,22.81333333,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,040116,29,27.3,,b3,B,S,T++,23.04333333,22.57333333,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,040116,31,29.2,,b4,B,H,T+,23.88333333,23.79666667,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,040116,29.6,29.3,,b5,B,S,T,24.68333333,25.38,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,040116,23.3,18.1,,b6,B,H,T++,23.02,24.20333333,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,040116,31,30.2,,c1,C,S,T,26.57333333,24.85333333,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,040116,26.3,22.4,,c2,C,H,T++,22.79,23.29666667,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,040116,27,21.9,,c3,C,H,T,25.25,23.44333333,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,040116,25.2,25,,c4,C,S,T++,24.02333333,22.81,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,040116,27.3,22.7,,c5,C,H,T+,25.02333333,25.61,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,040116,26.1,20.8,,c6,C,S,T+,25.25,24.68333333,,,,,,,,,,,,,,,,,,,,,,,,,
