2004,,Météo Camp Redon,,maxi,,,,,,,,,,mini,,,,,,,,,,,,,moy,,,,,,,,,,,,,,,,,,,,,,,,,
date,janvier ,février,mars,avril,mai,juin,juillet,août,sept,oct,nov,dec,,janvier ,février,mars,avril,mai,juin,juillet,août,sept,octobre,nov,dec,,janvier ,février,mars,avril,mai,juin,juillet,août,sept,octobre,nov,dec,,janvier ,février,mars,avril,mai,juin,juillet,août,sept,oct,nov,dec,
1,9.5,11,9.5,13.5,16,26.5,30,32,28.5,23.5,14.5,9.5,,-3.5,6,-1,10.5,4,15.5,18,20,12,9,11,5,,3,8.5,4.25,12,10,21,24,26,20.25,16.25,12.75,7.25,,3,8.5,4.25,12,10,21,24,26,20.25,16.25,12.75,7.25,
2,7,16,8.5,14.5,16,25.5,32,32.5,26.5,24,18,13.5,,-2,1.5,-5,10.5,14,17,19.5,22,14,9.5,8,7,,2.5,8.75,1.75,12.5,15,21.25,25.75,27.25,20.25,16.75,13,10.25,,2.5,8.75,1.75,12.5,15,21.25,25.75,27.25,20.25,16.75,13,10.25,
3,10.5,12.5,11.5,12,17,26,28,33.5,25.5,25,17,15.5,,-2,1.5,-2,3.5,11.5,16.5,14,22.5,16,12,8.5,5.5,,4.25,7,4.75,7.75,14.25,21.25,21,28,20.75,18.5,12.75,10.5,,4.25,7,4.75,7.75,14.25,21.25,21,28,20.75,18.5,12.75,10.5,
4,8,10.5,17,19.5,16,25,30.5,34,29,25,17.5,16.5,,-5.5,3,-1,5.5,12.5,12,14.5,21.5,17,13.5,14.5,0,,1.25,6.75,8,12.5,14.25,18.5,22.5,27.75,23,19.25,16,8.25,,1.25,6.75,8,12.5,14.25,18.5,22.5,27.75,23,19.25,16,8.25,
5,7,8.5,17.5,22,21,28,28.5,29.5,33,23,18.5,13,,-3,4,2,9.5,5,17,20.5,20,18,17,13,1.5,,2,6.25,9.75,15.75,13,22.5,24.5,24.75,25.5,20,15.75,7.25,,2,6.25,9.75,15.75,13,22.5,24.5,24.75,25.5,20,15.75,7.25,
6,11.5,10.5,17,19.5,15.5,29,27.5,28,29,21,22.5,12.5,,-3,2,9.5,6.5,9,15,19,17,19,18,6,-0.5,,4.25,6.25,13.25,13,12.25,22,23.25,22.5,24,19.5,14.25,6,,4.25,6.25,13.25,13,12.25,22,23.25,22.5,24,19.5,14.25,6,
7,9.5,7.5,11.5,16.5,16,28,28,30,27,22,17.5,11.5,,-1.5,3,0.5,9,6,14,20,18,17,18,4,2,,4,5.25,6,12.75,11,21,24,24,22,20,10.75,6.75,,4,5.25,6,12.75,11,21,24,24,22,20,10.75,6.75,
8,12,16,12.5,16,16,26,26.5,29,28,23,16.5,9,,0.5,3,3,1.5,9,13,20,22.5,15,17,7,6,,6.25,9.5,7.75,8.75,12.5,19.5,23.25,25.75,21.5,20,11.75,7.5,,6.25,9.5,7.75,8.75,12.5,19.5,23.25,25.75,21.5,20,11.75,7.5,
9,11,13.5,13,15,17,27,27.5,27,29,23,15.5,10.5,,3.5,-1,0.5,4,7,12,16,22,14,19.5,3.5,5.5,,7.25,6.25,6.75,9.5,12,19.5,21.75,24.5,21.5,21.25,9.5,8,,7.25,6.25,6.75,9.5,12,19.5,21.75,24.5,21.5,21.25,9.5,8,
10,11,14.5,14,14.5,19.5,29,26,27,27.5,22.5,11.5,13,,5,-1,-3,5,6,11,18,23,15,15.5,-0.5,3,,8,6.75,5.5,9.75,12.75,20,22,25,21.25,19,5.5,8,,8,6.75,5.5,9.75,12.75,20,22,25,21.25,19,5.5,8,
11,15.5,15,10,12.5,18.5,26.5,25.5,25.5,26.5,21.5,10,17,,6,-1,-3,4,7.5,14,17,20.5,19,12.5,0.5,-0.5,,10.75,7,3.5,8.25,13,20.25,21.25,23,22.75,17,5.25,8.25,,10.75,7,3.5,8.25,13,20.25,21.25,23,22.75,17,5.25,8.25,
12,17,15,10,16.5,19.5,27,26.5,31,25,21.5,11.5,14,,9,0,0,5.5,10,17,17,21,18,13.5,5,0,,13,7.5,5,11,14.75,22,21.75,26,21.5,17.5,8.25,7,,13,7.5,5,11,14.75,22,21.75,26,21.5,17.5,8.25,7,
13,16,16.5,11,18.5,22,30.5,25,29.5,27.5,19,16.5,14.5,,10,2.5,4.5,7.5,8,14,15.5,19,15,12,1,3,,13,9.5,7.75,13,15,22.25,20.25,24.25,21.25,15.5,8.75,8.75,,13,9.5,7.75,13,15,22.25,20.25,24.25,21.25,15.5,8.75,8.75,
14,20,14.5,11,18.5,22,25,26.5,28,26.5,18,15.5,14.5,,10.5,0.5,7,4,6.5,14.5,16,16.5,15,12,3,2,,15.25,7.5,9,11.25,14.25,19.75,21.25,22.25,20.75,15,9.25,8.25,,15.25,7.5,9,11.25,14.25,19.75,21.25,22.25,20.75,15,9.25,8.25,
15,13,13,13.5,16.5,22.5,27,29.5,31.5,19,18,12,14,,7,0.5,4,7,12,14.5,13,17,14,10,-3.5,2.5,,10,6.75,8.75,11.75,17.25,20.75,21.25,24.25,16.5,14,4.25,8.25,,10,6.75,8.75,11.75,17.25,20.75,21.25,24.25,16.5,14,4.25,8.25,
16,12,17,21,16,24,27,30.5,33,24.5,17,10.5,9.5,,1,0,6,8,10,16.5,16.5,18,12,5.5,-2.5,6.5,,6.5,8.5,13.5,12,17,21.75,23.5,25.5,18.25,11.25,4,8,,6.5,8.5,13.5,12,17,21.75,23.5,25.5,18.25,11.25,4,8,
17,9,11,20,11,29.5,31,27,25.5,24,13.5,13.5,11.5,,2.5,0,6,9,13.5,15.5,18.5,19.5,10,6,0,6,,5.75,5.5,13,10,21.5,23.25,22.75,22.5,17,9.75,6.75,8.75,,5.75,5.5,13,10,21.5,23.25,22.75,22.5,17,9.75,6.75,8.75,
18,12.5,12,20.5,18,21.5,31,26.5,24.5,25.5,18.5,16,14.5,,6,3.5,5,8,12,17,16,18,10,7.5,-0.5,7,,9.25,7.75,12.75,13,16.75,24,21.25,21.25,17.75,13,7.75,10.75,,9.25,7.75,12.75,13,16.75,24,21.25,21.25,17.75,13,7.75,10.75,
19,10,9,13,15,24,32.5,28,26,25.5,19.5,15,12,,0,0.5,5,6.5,12,18,17,20,12,10.5,0,6,,5,4.75,9,10.75,18,25.25,22.5,23,18.75,15,7.5,9,,5,4.75,9,10.75,18,25.25,22.5,23,18.75,15,7.5,9,
20,11.5,9.5,21,15.5,25.5,24.5,29,25.5,27,21,17,16,,1,0,7,8,16,18,20,18,12.5,17.5,3,6,,6.25,4.75,14,11.75,20.75,21.25,24.5,21.75,19.75,19.25,10,11,,6.25,4.75,14,11.75,20.75,21.25,24.5,21.75,19.75,19.25,10,11,
21,13,10,20,19.5,23,23.5,28,28,27,23,13.5,10.5,,9,1,10,7,11,13,20,15.5,13,17,1,-2.5,,11,5.5,15,13.25,17,18.25,24,21.75,20,20,7.25,4,,11,5.5,15,13.25,17,18.25,24,21.75,20,20,7.25,4,
22,15,13.5,18.5,19.5,22.5,24,27.5,26,24,21,16.5,8.5,,6.5,11,8.5,10.5,12,17,19.5,11.5,10.5,16.5,3,-3.5,,10.75,12.25,13.5,15,17.25,20.5,23.5,18.75,17.25,18.75,9.75,2.5,,10.75,12.25,13.5,15,17.25,20.5,23.5,18.75,17.25,18.75,9.75,2.5,
23,15,12.5,15,16,24.5,21,27.5,26,26.5,21.5,16,8.5,,5,6.5,7,9.5,7,17.5,19.5,14,10.5,15.5,3,-3,,10,9.5,11,12.75,15.75,19.25,23.5,20,18.5,18.5,9.5,2.75,,10,9.5,11,12.75,15.75,19.25,23.5,20,18.5,18.5,9.5,2.75,
24,10.5,11,13,22,24.5,24.5,32,25.5,25,20.5,18,15.5,,4,-0.5,5,8.5,7.5,19.5,22.5,19,16.5,18,2,7,,7.25,5.25,9,15.25,16,22,27.25,22.25,20.75,19.25,10,11.25,,7.25,5.25,9,15.25,16,22,27.25,22.25,20.75,19.25,10,11.25,
25,8.5,12.5,13,24,21.5,28.5,35,26.5,23,20,16.5,15.5,,2.5,1.5,5.5,9,10,15,21,15.5,13,17,2.5,2,,5.5,7,9.25,16.5,15.75,21.75,28,21,18,18.5,9.5,8.75,,5.5,7,9.25,16.5,15.75,21.75,28,21,18,18.5,9.5,8.75,
26,11,7,13,21.5,21.5,27,34,25.5,21.5,20.5,11.5,10,,0.5,4.5,2,8,8,16.5,19.5,16.5,10,13,6.5,4,,5.75,5.75,7.5,14.75,14.75,21.75,26.75,21,15.75,16.75,9,7,,5.75,5.75,7.5,14.75,14.75,21.75,26.75,21,15.75,16.75,9,7,
27,7,9.5,13,19,23,29.5,33,26,21.5,15,16,9,,2,-3.5,-1.5,10,10.5,18,21,15,9.5,5.5,4,4,,4.5,3,5.75,14.5,16.75,23.75,27,20.5,15.5,10.25,10,6.5,,4.5,3,5.75,14.5,16.75,23.75,27,20.5,15.5,10.25,10,6.5,
28,8,5.5,11.5,19,26.5,29,32,28.5,25.5,18.5,18.5,9.5,,1,-2,0,12,11.5,20,15,14,10,6.5,3,3.5,,4.5,1.75,5.75,15.5,19,24.5,23.5,21.25,17.75,12.5,10.75,6.5,,4.5,1.75,5.75,15.5,19,24.5,23.5,21.25,17.75,12.5,10.75,6.5,
29,8,9,15,16,24.5,32,29.5,28,25,19,13,8.5,,0,-2.5,5,12,12,19.5,17,15,10.5,13.5,4,4.5,,4,3.25,10,14,18.25,25.75,23.25,21.5,17.75,16.25,8.5,6.5,,4,,10,14,18.25,25.75,23.25,21.5,17.75,16.25,8.5,6.5,
30,8.5,,19,13.5,25.5,33.5,28,28,23,20,12,12,,-5,,8,10,12.5,16,18.5,15,10,5.5,2,-1,,1.75,,13.5,11.75,19,24.75,23.25,21.5,16.5,12.75,7,5.5,,1.75,,13.5,11.75,19,24.75,23.25,21.5,16.5,12.75,7,5.5,
31,11,,12.5,,23,,33,28.5,,18,,12,,-4.5,,8,,15,,18.5,14.5,,6.5,,-1,,3.25,,10.25,,19,,25.75,21.5,,12.25,,5.5,,3.25,,10.25,,19,,25.75,21.5,,12.25,,5.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
somme,349,343.5,446.5,511,659,824.5,898,879,776,636.5,458,381.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.75,190.75,274.5,370.25,483.75,649.25,728,720.25,592,513.5,285,234.5,GDD0
moyenne,11.26,11.84,14.40,17.03,21.26,27.48,28.97,28.35,25.87,20.53,15.27,12.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T° max,20,17,21,24,29.5,33.5,35,34,33,25,22.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
