2005,,Météo Camp Redon,,,pluie,,,,,,,,
date,janvier,février,mars,avril,mai,juin,juillet,août,sept,octobre,nov,dec,total
1,,,,,,,,,,,,,
2,,,,,,,,T,,,,,
3,,,,,1.5,,,2.5,,,,,
4,,,,,,,T,,,,,,
5,,,,T,,,3,,1.5,,,,
6,,17,,,,,,,163,,,,
7,,5.5,,,,,,,132,,,,
8,,,,6.5,,,,,12,,,,
9,,,,,,,,,22,,,,
10,,,,,,,,,,,,,
11,,,,,0.7,,,4.5,1.2,,,,
12,,,,,,,,T,13.5,,,,
13,,0.8,,,T,T,,,,,,,
14,,,,,30,66,,,,,,,
15,,,,1.5,T,,,,,,,,
16,,,,6.5,3.5,,,,,,,,
17,,,,,,,,,,,,,
18,,,,0.4,5,,,,,,,,
19,1,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,,,T,,,,,,,,,,
22,,,2.5,,T,0.5,,0.5,,,,,
23,,,0.3,0.1,3.5,,,,,,,,
24,0.1,,3.5,5.5,,,,,,,,,
25,,,1,13.5,,,,,,,,,
26,,,3,,,,T,,5.5,,,,
27,,,2.5,,,,,11,,,,,
28,,,,,,,,,,,,,
29,,,,,,T,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
,,,,,,,,,,,,,
somme,1.1,23.3,12.8,34,44.2,66.5,3,18.5,350.7,0,0,0,554.1
nb. jours,2,3,6,7,6,2,1,4,8,0,0,0,39
